size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[3134, 3132, 3064, 3143, 3146, 3060, 3121, 3127, 3300, 3202]","[3468, 3511, 3452, 3440, 3428, 3344, 3402, 3468, 3522, 3478]","[2650, 2544, 2698, 2687, 2644, 2594, 2611, 2660, 2713, 2668]","[2507, 2627, 2598, 2532, 2538, 2539, 2532, 2549, 2571, 2592]","[2553, 2450, 2463, 2620, 2530, 2554, 2514, 2540, 2473, 2515]","[2484, 2552, 2473, 2493, 2490, 2403, 2559, 2522, 2465, 2493]","[2477, 2482, 2555, 2503, 2548, 2533, 2499, 2567, 2508, 2635]","[2496, 2541, 2403, 2510, 2462, 2514, 2507, 2561, 2454, 2527]","[2387, 2461, 2502, 2462, 2469, 2457, 2556, 2468, 2541, 2492]","[2512, 2390, 2509, 2425, 2427, 2413, 2410, 2404, 2397, 2426]","[2466, 2393, 2502, 2459, 2490, 2414, 2361, 2471, 2404, 2467]","[2438, 2431, 2472, 2408, 2366, 2341, 2421, 2452, 2404, 2350]","[2405, 2440, 2332, 2351, 2492, 2454, 2447, 2547, 2484, 2416]","[2465, 2364, 2363, 2428, 2377, 2396, 2402, 2398, 2391, 2377]","[2390, 2383, 2344, 2399, 2379, 2329, 2330, 2389, 2379, 2395]","[2343, 2328, 2246, 2371, 2336, 2403, 2379, 2314, 2289, 2404]","[2236, 2401, 2362, 2255, 2353, 2238, 2366, 2341, 2365, 2325]","[2386, 2320, 2347, 2376, 2324, 2419, 2305, 2252, 2324, 2334]","[2364, 2338, 2234, 2263, 2363, 2371, 2193, 2234, 2256, 2262]","[2288, 2278, 2342, 2290, 2437, 2298, 2345, 2358, 2322, 2364]","[2316, 2356, 2280, 2323, 2300, 2381, 2255, 2332, 2353, 2300]"
4,"[856, 756, 792, 800, 809, 770, 818, 791, 857, 771]","[870, 892, 842, 873, 867, 896, 877, 826, 864, 898]","[710, 670, 640, 666, 703, 651, 650, 684, 691, 674]","[670, 627, 629, 588, 675, 692, 643, 640, 663, 674]","[646, 634, 640, 676, 683, 626, 658, 689, 636, 648]","[631, 673, 604, 652, 583, 646, 698, 643, 631, 621]","[621, 661, 653, 645, 619, 627, 662, 673, 658, 673]","[672, 659, 623, 633, 643, 630, 662, 649, 588, 627]","[650, 610, 616, 628, 625, 649, 632, 640, 608, 612]","[626, 654, 669, 660, 606, 691, 638, 634, 655, 624]","[632, 614, 603, 641, 673, 611, 672, 669, 608, 618]","[632, 608, 655, 606, 628, 637, 643, 613, 632, 580]","[640, 602, 640, 606, 613, 653, 602, 574, 617, 581]","[633, 601, 623, 671, 624, 619, 611, 612, 611, 604]","[611, 628, 567, 646, 594, 598, 602, 560, 596, 648]","[611, 586, 606, 601, 663, 631, 608, 621, 640, 621]","[627, 607, 603, 570, 649, 629, 616, 583, 618, 599]","[595, 589, 586, 626, 582, 568, 605, 642, 611, 611]","[595, 607, 548, 579, 576, 537, 603, 594, 593, 559]","[597, 545, 613, 551, 584, 581, 586, 573, 589, 611]","[588, 588, 613, 541, 578, 605, 591, 594, 583, 610]"
5,"[201, 219, 243, 183, 208, 198, 215, 200, 208, 202]","[240, 241, 221, 256, 264, 217, 229, 218, 247, 221]","[177, 186, 191, 165, 181, 183, 151, 173, 194, 158]","[163, 157, 171, 167, 163, 170, 197, 198, 189, 166]","[164, 186, 155, 172, 159, 142, 179, 187, 166, 150]","[141, 158, 174, 164, 164, 157, 156, 158, 156, 157]","[154, 177, 175, 163, 170, 156, 162, 155, 191, 178]","[188, 185, 164, 163, 143, 176, 174, 174, 153, 149]","[158, 154, 148, 161, 168, 167, 182, 172, 183, 160]","[175, 146, 151, 168, 184, 182, 197, 163, 175, 139]","[183, 152, 165, 161, 157, 145, 163, 161, 140, 155]","[143, 147, 165, 150, 150, 155, 168, 164, 157, 154]","[166, 158, 160, 152, 169, 163, 138, 128, 154, 149]","[178, 147, 163, 177, 170, 161, 148, 150, 147, 173]","[167, 166, 163, 149, 158, 150, 135, 148, 161, 149]","[148, 117, 191, 186, 161, 141, 179, 144, 191, 153]","[143, 145, 133, 165, 165, 138, 150, 158, 156, 132]","[156, 152, 154, 170, 158, 166, 178, 159, 154, 153]","[160, 145, 170, 148, 155, 151, 152, 157, 164, 163]","[166, 135, 138, 171, 128, 167, 145, 154, 125, 160]","[157, 168, 152, 162, 153, 158, 143, 143, 158, 154]"
6,"[41, 46, 57, 66, 59, 47, 49, 50, 49, 52]","[68, 50, 50, 52, 67, 58, 58, 70, 66, 67]","[46, 35, 46, 49, 45, 35, 46, 44, 46, 62]","[52, 45, 37, 47, 36, 50, 49, 34, 50, 59]","[46, 38, 41, 38, 42, 45, 32, 45, 46, 39]","[38, 37, 55, 44, 33, 51, 37, 41, 50, 32]","[34, 36, 37, 47, 41, 40, 47, 45, 43, 45]","[41, 41, 41, 38, 48, 38, 50, 44, 44, 59]","[26, 35, 47, 39, 45, 38, 36, 33, 38, 28]","[43, 53, 47, 47, 41, 39, 36, 38, 47, 50]","[47, 36, 54, 39, 32, 50, 45, 32, 44, 31]","[32, 35, 33, 42, 35, 44, 40, 43, 36, 43]","[43, 42, 36, 38, 41, 43, 48, 43, 40, 35]","[33, 40, 37, 45, 40, 35, 38, 47, 45, 50]","[35, 40, 45, 37, 47, 51, 42, 37, 35, 40]","[32, 38, 40, 38, 44, 36, 44, 39, 34, 39]","[46, 36, 42, 32, 40, 39, 46, 38, 33, 34]","[35, 38, 53, 37, 27, 39, 34, 47, 34, 41]","[34, 52, 47, 39, 51, 47, 37, 34, 41, 30]","[32, 35, 43, 49, 47, 43, 35, 40, 40, 48]","[40, 43, 39, 43, 35, 48, 38, 32, 32, 32]"
7,"[16, 17, 13, 15, 12, 7, 14, 10, 14, 9]","[19, 13, 11, 19, 14, 11, 14, 15, 13, 17]","[13, 15, 7, 6, 8, 8, 10, 13, 5, 12]","[8, 6, 12, 22, 8, 10, 9, 15, 10, 16]","[15, 7, 11, 10, 7, 19, 19, 14, 11, 11]","[14, 15, 6, 13, 8, 16, 9, 14, 9, 6]","[6, 11, 14, 9, 6, 5, 7, 14, 17, 9]","[5, 9, 10, 13, 8, 15, 8, 12, 12, 13]","[10, 7, 8, 13, 11, 13, 12, 14, 7, 10]","[22, 11, 5, 13, 8, 13, 12, 17, 14, 12]","[12, 11, 13, 14, 13, 12, 10, 13, 15, 8]","[10, 5, 5, 13, 13, 14, 9, 9, 9, 7]","[11, 14, 9, 12, 6, 14, 13, 9, 6, 7]","[10, 13, 5, 14, 6, 9, 9, 6, 8, 11]","[13, 13, 15, 7, 18, 12, 14, 9, 9, 14]","[11, 12, 10, 10, 14, 12, 7, 9, 8, 7]","[11, 12, 10, 10, 7, 4, 7, 10, 11, 9]","[10, 12, 14, 10, 9, 8, 17, 15, 8, 10]","[11, 11, 11, 7, 11, 5, 10, 14, 17, 8]","[4, 8, 9, 13, 11, 14, 11, 9, 5, 16]","[8, 11, 9, 13, 12, 7, 12, 12, 10, 10]"
8,"[6, 1, 6, 5, 2, 3, 3, 4, 1, 1]","[3, 4, 2, 4, 5, 6, 5, 4, 2, 1]","[5, 3, 2, 3, 4, 4, 1, 3, 1, 5]","[4, 2, 3, 0, 2, 1, 3, 3, 3, 2]","[4, 3, 2, 5, 1, 2, 3, 2, 4, 1]","[1, 4, 4, 1, 3, 1, 4, 2, 2, 4]","[2, 0, 5, 4, 4, 5, 4, 1, 3, 4]","[3, 5, 2, 3, 2, 2, 5, 2, 2, 5]","[6, 1, 2, 2, 3, 3, 6, 1, 3, 2]","[2, 7, 5, 2, 2, 3, 2, 1, 5, 1]","[9, 0, 2, 0, 2, 3, 0, 1, 3, 3]","[3, 3, 5, 3, 1, 2, 3, 7, 4, 3]","[1, 3, 3, 3, 5, 8, 1, 2, 2, 2]","[4, 3, 2, 2, 5, 4, 3, 6, 1, 1]","[0, 2, 1, 3, 8, 3, 4, 3, 3, 2]","[3, 0, 1, 4, 1, 4, 4, 4, 1, 4]","[3, 2, 1, 4, 0, 2, 3, 0, 3, 1]","[4, 2, 3, 1, 0, 4, 3, 0, 6, 5]","[3, 3, 2, 1, 6, 3, 3, 7, 4, 3]","[0, 3, 2, 3, 2, 2, 3, 2, 3, 5]","[2, 2, 3, 3, 1, 2, 2, 2, 6, 4]"
9,"[0, 0, 0, 0, 1, 2, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]","[0, 4, 1, 1, 0, 1, 0, 0, 1, 2]","[1, 2, 2, 1, 0, 1, 3, 2, 0, 1]","[0, 0, 1, 0, 1, 1, 1, 0, 1, 2]","[1, 0, 0, 0, 0, 1, 1, 2, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 2, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 2, 1, 1, 1, 0]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 2, 0, 2, 1, 0, 2, 1, 0]","[0, 1, 1, 1, 2, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 1, 2, 0, 0]","[0, 0, 3, 1, 1, 0, 1, 0, 1, 1]","[1, 2, 0, 1, 0, 0, 0, 0, 2, 2]","[1, 0, 0, 2, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 2, 2, 0]","[0, 0, 0, 3, 0, 1, 1, 0, 2, 0]","[3, 0, 1, 0, 0, 1, 1, 0, 0, 1]","[3, 1, 0, 1, 1, 2, 2, 1, 1, 1]"
10,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 1, 0, 0, 2]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 2, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
