size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.6491916673369259,0.9064239160770279,0.9267185314256264,0.9554448260848531,0.9922336494787132,1.0022860644340224,1.0065797259236469,0.987950095878412,0.9984540373409442,1.017023300047551,1.0011691720353137,0.9907965194109772,1.0129494684028193,0.9873299482659513,0.9929164865773423,1.0117074580844094,0.9894427304280756,0.9983355044145318,1.0119228634180484,0.9902830485122429,0.98989898989899
4,0.6361117951243536,0.8950442811381195,0.9421315963372038,0.9583449041932797,1.0395968322534197,1.0611337868480726,1.0429039897977774,1.0436406705539358,1.0231124807395995,1.0104280014508524,1.0254602069786611,1.0265486725663717,1.0190703218116806,1.0050352467270895,0.9913674350261732,1.0093870789618995,1.0122637159981558,1.0218131615278416,1.017599110781771,1.0223763291724457,1.0231300130572654
5,0.6432955618508026,0.937137330754352,1.0637608069164266,1.056523284749378,1.1469681397738951,1.1700208188757808,1.1054646710755307,1.0789110957960029,1.0759448957965383,1.0197573656845753,1.0602284527518173,1.0765217391304347,1.053921568627451,1.0125874125874126,1.0289037715897074,1.0769502294387574,1.0045630045630045,1.0826210826210827,1.0410328970640255,1.0561171139769954,1.0604337006754354
6,0.7144136078782453,1.0729455216989843,1.1092669432918396,1.0547945205479452,1.1452879581151831,1.152,1.1378848728246318,1.018791946308725,1.0921228304405874,1.1078167115902966,1.0982264665757162,1.0551816958277254,1.0909090909090908,1.0527704485488127,1.067842605156038,1.0961791831357048,1.0745257452574526,1.0629274965800273,0.9945945945945946,1.031372549019608,1.0790190735694822
7,0.6909722222222222,0.9932432432432432,1.1041666666666667,0.9790575916230366,1.3317535545023698,1.235,1.2941176470588236,1.010204081632653,1.4020100502512562,1.171875,1.1968911917098446,1.528205128205128,1.2279792746113989,1.3280423280423281,1.1435897435897435,1.1761658031088082,1.9593908629441625,1.3316326530612246,1.4191919191919191,1.3315508021390374,1.3020833333333333
8,0.8783783783783784,1.0384615384615385,1.2244897959183674,1.2745098039215685,2.2549019607843137,1.7254901960784315,2.06,1.5416666666666667,1.3137254901960784,1.4901960784313726,1.8333333333333333,1.3725490196078431,1.4,1.0943396226415094,1.2745098039215685,1.3333333333333333,1.2115384615384615,1.4363636363636363,1.1929824561403508,1.0416666666666667,1.1666666666666667
9,1.368421052631579,1.0476190476190477,1.4666666666666666,2.0,4.066666666666666,3.2142857142857144,3.0714285714285716,2.4,2.5714285714285716,1.9090909090909092,1.9333333333333333,2.076923076923077,1.75,1.5,2.066666666666667,1.0,1.7142857142857142,1.4285714285714286,1.2307692307692308,1.8461538461538463,1.0
10,0.875,2.3333333333333335,3.5,2.6,9.75,5.75,7.5,3.0,3.25,2.6666666666666665,5.333333333333333,2.4,3.25,3.0,2.5,1.75,2.0,2.0,2.0,1.0,1.5
11,2.5,2.6666666666666665,4.5,11.0,16.5,25.0,11.5,5.5,6.5,6.0,11.0,11.0,6.0,8.0,5.0,5.0,3.0,7.0,7.0,4.0,1.0
12,5.0,7.0,8.0,5.0,26.0,10.0,9.0,11.0,11.0,2.0,4.0,5.0,3.0,4.0,1.0,4.0,6.0,3.0,1.0,2.0,2.0
13,6.0,5.0,3.0,4.0,9.0,5.0,7.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
14,1.0,5.0,3.0,2.0,2.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0
15,2.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
