size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[10112, 10009, 10046, 10018, 10074, 9880, 10086, 10020, 9942, 10061]","[9205, 9222, 9455, 9219, 9328, 9381, 9113, 9312, 9430, 9336]","[6482, 6578, 6502, 6349, 6602, 6632, 6385, 6541, 6428, 6497]","[6576, 6509, 6616, 6650, 6510, 6719, 6554, 6628, 6659, 6536]","[6667, 6694, 6545, 6663, 6713, 6409, 6596, 6559, 6560, 6597]","[6438, 6632, 6360, 6411, 6375, 6609, 6614, 6488, 6466, 6430]","[6674, 6605, 6600, 6560, 6288, 6492, 6485, 6679, 6708, 6552]","[6515, 6493, 6387, 6390, 6676, 6443, 6443, 6513, 6500, 6394]","[6507, 6349, 6467, 6455, 6496, 6481, 6557, 6274, 6411, 6411]","[6498, 6255, 6438, 6415, 6306, 6237, 6349, 6244, 6326, 6384]","[6329, 6277, 6325, 6300, 6411, 6264, 6252, 6351, 6507, 6231]","[6161, 6360, 6358, 6223, 6305, 6352, 6242, 6337, 6348, 6257]","[6420, 6166, 6382, 6292, 6185, 6204, 6218, 6156, 6206, 6245]","[6213, 6192, 6216, 6276, 6274, 6393, 6105, 6054, 6146, 6180]","[6367, 6071, 6128, 6301, 6116, 6132, 6019, 6116, 6178, 6259]","[6046, 6186, 6058, 6186, 6175, 6052, 6030, 6076, 6036, 6216]","[5961, 5996, 6027, 5958, 6157, 6076, 5939, 6005, 6041, 6175]","[6091, 5876, 6123, 5944, 5998, 5940, 6074, 5986, 5956, 6124]","[6038, 5934, 5907, 5966, 6029, 5977, 6051, 5989, 6049, 5949]","[6039, 5984, 5963, 5991, 6070, 6030, 5879, 5853, 5956, 5956]","[5935, 5861, 5880, 5884, 5816, 5810, 5863, 6021, 5845, 5865]"
4,"[2672, 2666, 2721, 2807, 2671, 2712, 2761, 2628, 2709, 2688]","[2489, 2379, 2536, 2644, 2556, 2500, 2492, 2539, 2547, 2495]","[1658, 1751, 1669, 1766, 1772, 1787, 1674, 1779, 1767, 1788]","[1790, 1728, 1885, 1811, 1748, 1839, 1818, 1793, 1851, 1779]","[1682, 1886, 1797, 1807, 1834, 1791, 1888, 1804, 1807, 1792]","[1763, 1739, 1790, 1773, 1812, 1828, 1850, 1782, 1723, 1811]","[1783, 1755, 1775, 1826, 1720, 1821, 1787, 1772, 1812, 1755]","[1761, 1724, 1739, 1769, 1834, 1735, 1734, 1794, 1709, 1713]","[1755, 1705, 1767, 1794, 1734, 1722, 1804, 1742, 1774, 1774]","[1680, 1718, 1778, 1783, 1689, 1723, 1785, 1710, 1710, 1723]","[1745, 1692, 1681, 1672, 1734, 1784, 1702, 1718, 1703, 1736]","[1742, 1697, 1660, 1769, 1707, 1628, 1717, 1774, 1703, 1631]","[1697, 1683, 1676, 1615, 1710, 1728, 1682, 1705, 1704, 1684]","[1698, 1695, 1633, 1779, 1683, 1739, 1756, 1693, 1619, 1619]","[1686, 1626, 1676, 1671, 1646, 1707, 1754, 1710, 1646, 1674]","[1649, 1717, 1721, 1628, 1681, 1669, 1655, 1608, 1699, 1641]","[1740, 1707, 1655, 1652, 1738, 1612, 1671, 1669, 1581, 1660]","[1651, 1612, 1614, 1671, 1702, 1625, 1703, 1589, 1636, 1636]","[1665, 1667, 1611, 1585, 1652, 1616, 1632, 1634, 1661, 1648]","[1614, 1632, 1609, 1558, 1601, 1573, 1604, 1529, 1573, 1657]","[1634, 1584, 1645, 1611, 1617, 1587, 1642, 1534, 1646, 1588]"
5,"[737, 747, 761, 735, 746, 736, 778, 768, 720, 718]","[681, 745, 677, 665, 712, 674, 737, 705, 729, 725]","[498, 517, 516, 476, 505, 507, 469, 452, 456, 499]","[500, 463, 480, 527, 501, 450, 492, 483, 448, 463]","[504, 518, 464, 480, 501, 501, 498, 494, 457, 501]","[493, 483, 506, 445, 483, 504, 453, 477, 516, 484]","[500, 467, 483, 465, 498, 472, 503, 505, 525, 500]","[467, 510, 466, 502, 494, 506, 492, 452, 471, 513]","[480, 500, 498, 487, 488, 449, 515, 525, 462, 452]","[513, 425, 492, 461, 454, 489, 438, 474, 436, 453]","[451, 449, 520, 482, 484, 450, 456, 460, 488, 453]","[472, 470, 486, 425, 436, 422, 445, 472, 446, 439]","[479, 455, 488, 473, 449, 465, 507, 459, 473, 454]","[437, 443, 468, 492, 477, 469, 461, 443, 459, 433]","[461, 438, 456, 424, 447, 433, 459, 465, 455, 474]","[425, 422, 435, 424, 445, 463, 500, 429, 455, 481]","[469, 445, 436, 484, 422, 452, 461, 471, 451, 480]","[445, 422, 422, 446, 457, 425, 393, 444, 438, 440]","[469, 430, 442, 437, 481, 474, 452, 421, 454, 402]","[424, 445, 478, 441, 425, 453, 434, 412, 410, 442]","[409, 429, 453, 449, 396, 436, 444, 378, 461, 453]"
6,"[207, 240, 211, 224, 203, 204, 209, 179, 226, 207]","[209, 188, 174, 184, 187, 197, 181, 196, 169, 211]","[139, 142, 141, 116, 125, 135, 142, 156, 127, 141]","[148, 138, 145, 133, 132, 139, 123, 139, 161, 137]","[121, 141, 112, 141, 138, 148, 141, 125, 116, 155]","[131, 128, 147, 131, 134, 135, 156, 141, 143, 109]","[126, 123, 123, 131, 134, 161, 126, 135, 118, 131]","[117, 116, 128, 161, 135, 118, 137, 135, 141, 121]","[127, 108, 129, 118, 127, 109, 137, 114, 130, 131]","[131, 131, 133, 134, 133, 129, 124, 120, 128, 125]","[132, 141, 126, 111, 142, 153, 134, 139, 139, 120]","[134, 134, 130, 120, 140, 133, 135, 145, 135, 142]","[130, 118, 125, 133, 125, 143, 123, 117, 141, 120]","[112, 112, 143, 140, 131, 108, 142, 107, 131, 121]","[118, 118, 115, 131, 125, 134, 106, 131, 108, 122]","[109, 109, 101, 106, 116, 122, 132, 121, 111, 126]","[123, 123, 134, 150, 126, 129, 108, 125, 131, 132]","[120, 113, 117, 124, 131, 132, 120, 126, 112, 112]","[115, 145, 108, 115, 139, 105, 102, 119, 124, 117]","[131, 126, 131, 120, 117, 117, 146, 115, 125, 105]","[115, 121, 111, 125, 108, 135, 117, 128, 124, 128]"
7,"[55, 73, 60, 50, 58, 56, 59, 61, 57, 51]","[60, 57, 54, 50, 58, 56, 60, 60, 47, 51]","[28, 30, 39, 41, 48, 23, 34, 33, 31, 40]","[39, 36, 36, 33, 33, 38, 43, 25, 26, 42]","[33, 35, 24, 45, 30, 36, 28, 32, 31, 33]","[40, 33, 39, 37, 40, 40, 44, 34, 29, 33]","[47, 29, 29, 33, 38, 26, 41, 37, 35, 36]","[35, 37, 34, 36, 34, 27, 40, 46, 30, 26]","[22, 34, 33, 39, 31, 42, 37, 44, 42, 32]","[33, 45, 26, 34, 36, 36, 38, 27, 32, 27]","[38, 34, 33, 38, 39, 37, 36, 36, 33, 40]","[43, 32, 33, 42, 44, 29, 29, 34, 37, 35]","[32, 31, 24, 35, 36, 29, 45, 37, 30, 36]","[45, 25, 21, 36, 40, 46, 39, 28, 32, 29]","[32, 32, 28, 35, 29, 42, 37, 28, 44, 33]","[30, 36, 42, 43, 47, 41, 43, 29, 34, 41]","[35, 37, 33, 36, 29, 28, 32, 26, 33, 37]","[28, 42, 28, 31, 40, 31, 27, 30, 30, 39]","[34, 36, 40, 35, 24, 41, 35, 29, 35, 29]","[32, 25, 34, 43, 23, 37, 40, 28, 29, 32]","[42, 41, 32, 33, 34, 35, 30, 31, 24, 31]"
8,"[16, 18, 24, 17, 20, 20, 21, 24, 16, 17]","[19, 15, 13, 11, 11, 20, 12, 12, 7, 9]","[11, 11, 14, 11, 16, 6, 10, 9, 9, 10]","[9, 10, 9, 13, 17, 9, 16, 15, 13, 16]","[9, 12, 10, 11, 13, 11, 14, 5, 2, 10]","[6, 16, 6, 12, 11, 7, 17, 9, 13, 15]","[9, 8, 9, 4, 9, 13, 10, 10, 11, 8]","[2, 10, 8, 10, 16, 5, 10, 6, 5, 9]","[5, 17, 8, 10, 10, 5, 8, 17, 13, 11]","[7, 7, 8, 5, 13, 8, 10, 9, 15, 11]","[15, 7, 12, 7, 5, 9, 4, 6, 4, 18]","[6, 10, 12, 6, 12, 8, 16, 5, 8, 11]","[8, 8, 8, 8, 10, 8, 7, 6, 9, 9]","[8, 9, 12, 10, 8, 11, 12, 13, 10, 8]","[8, 8, 16, 11, 6, 10, 7, 9, 9, 10]","[15, 16, 6, 13, 15, 3, 12, 18, 6, 9]","[15, 5, 4, 17, 9, 8, 10, 9, 4, 7]","[11, 15, 3, 5, 12, 10, 5, 9, 7, 9]","[13, 7, 11, 11, 9, 7, 14, 10, 7, 8]","[7, 7, 16, 11, 9, 5, 12, 8, 13, 7]","[4, 9, 6, 8, 9, 10, 9, 9, 8, 10]"
9,"[3, 5, 1, 4, 6, 8, 2, 4, 5, 4]","[2, 3, 7, 6, 3, 2, 5, 2, 5, 1]","[4, 1, 4, 1, 6, 2, 0, 3, 4, 5]","[4, 2, 2, 4, 2, 1, 3, 5, 5, 6]","[3, 3, 0, 2, 3, 5, 1, 5, 1, 4]","[5, 3, 1, 1, 2, 3, 2, 3, 2, 1]","[3, 2, 1, 4, 3, 2, 3, 1, 5, 4]","[2, 1, 3, 0, 0, 0, 7, 5, 1, 3]","[4, 0, 5, 1, 4, 3, 6, 3, 2, 1]","[2, 4, 5, 0, 3, 2, 4, 2, 1, 4]","[2, 3, 5, 2, 3, 3, 1, 2, 1, 3]","[4, 2, 4, 5, 2, 2, 4, 2, 1, 2]","[1, 3, 3, 3, 4, 5, 0, 2, 3, 7]","[1, 4, 3, 3, 1, 3, 5, 5, 3, 2]","[2, 1, 1, 3, 2, 4, 2, 2, 1, 3]","[4, 3, 1, 1, 4, 2, 3, 1, 0, 3]","[2, 6, 2, 0, 1, 2, 3, 4, 5, 1]","[0, 3, 3, 4, 4, 2, 2, 3, 1, 5]","[3, 4, 1, 1, 1, 5, 3, 4, 1, 0]","[2, 1, 1, 2, 4, 5, 5, 0, 3, 2]","[2, 3, 0, 6, 1, 4, 2, 1, 1, 1]"
10,"[2, 0, 2, 2, 1, 3, 0, 1, 1, 3]","[1, 2, 2, 1, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 2, 1, 0, 0, 0, 0, 0]","[4, 0, 2, 2, 0, 2, 1, 0, 1, 0]","[0, 1, 2, 0, 0, 3, 2, 2, 2, 1]","[0, 0, 1, 1, 0, 2, 1, 4, 1, 1]","[1, 2, 0, 0, 0, 0, 3, 0, 2, 0]","[0, 1, 2, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0, 0, 2]","[2, 0, 0, 1, 1, 2, 0, 2, 0, 1]","[0, 1, 1, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 2, 0, 3, 1]","[3, 0, 1, 1, 0, 0, 1, 1, 0, 2]","[1, 0, 0, 2, 1, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 2, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 2, 0, 1, 1, 0, 1, 2, 0, 0]"
11,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
12,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[2, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
