size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[850, 881, 906, 908, 901, 853, 856, 927, 859, 897]","[1037, 947, 970, 979, 991, 1010, 978, 952, 991, 973]","[681, 631, 595, 659, 623, 598, 671, 603, 615, 610]","[559, 563, 605, 570, 589, 588, 608, 608, 582, 605]","[654, 619, 648, 635, 602, 609, 598, 651, 649, 691]","[630, 610, 608, 602, 635, 640, 628, 613, 685, 617]","[688, 626, 620, 686, 596, 629, 655, 624, 614, 606]","[613, 638, 617, 652, 596, 599, 656, 645, 613, 619]","[639, 662, 652, 596, 650, 687, 620, 674, 645, 644]","[628, 592, 644, 639, 607, 634, 641, 631, 598, 612]","[651, 661, 706, 669, 651, 620, 635, 581, 594, 606]","[629, 648, 596, 624, 638, 635, 666, 649, 661, 640]","[614, 658, 589, 586, 616, 635, 659, 622, 640, 613]","[650, 623, 607, 638, 642, 631, 567, 642, 617, 673]","[606, 630, 643, 595, 614, 635, 654, 636, 594, 612]","[587, 618, 623, 627, 635, 640, 622, 615, 626, 598]","[649, 617, 664, 621, 633, 586, 595, 621, 632, 660]","[621, 630, 641, 635, 621, 619, 633, 658, 613, 589]","[659, 584, 637, 672, 629, 634, 585, 608, 701, 620]","[612, 645, 604, 614, 633, 706, 669, 599, 622, 656]","[579, 643, 661, 629, 642, 601, 612, 590, 675, 663]"
4,"[232, 241, 233, 249, 252, 256, 246, 236, 269, 259]","[260, 270, 252, 287, 263, 285, 284, 270, 263, 272]","[159, 160, 162, 163, 191, 159, 159, 159, 171, 161]","[151, 156, 152, 162, 137, 178, 155, 157, 159, 156]","[178, 159, 184, 163, 188, 176, 184, 177, 162, 195]","[185, 144, 171, 186, 137, 181, 177, 183, 166, 186]","[186, 203, 180, 163, 172, 172, 163, 163, 169, 160]","[162, 203, 177, 163, 175, 169, 178, 162, 163, 164]","[153, 156, 165, 193, 168, 177, 184, 176, 178, 179]","[180, 166, 170, 171, 160, 154, 173, 183, 179, 166]","[165, 148, 189, 181, 169, 173, 172, 160, 150, 187]","[169, 166, 164, 177, 154, 184, 175, 171, 170, 167]","[173, 156, 173, 153, 168, 185, 171, 156, 180, 150]","[162, 155, 168, 162, 150, 170, 171, 157, 195, 170]","[178, 147, 178, 130, 151, 169, 165, 186, 169, 190]","[170, 178, 148, 155, 165, 151, 189, 166, 167, 167]","[181, 170, 164, 189, 189, 154, 159, 159, 168, 172]","[158, 199, 151, 166, 159, 179, 168, 181, 175, 164]","[150, 177, 175, 193, 181, 199, 204, 151, 174, 152]","[174, 183, 187, 188, 162, 183, 149, 191, 197, 152]","[166, 168, 176, 172, 167, 182, 160, 169, 155, 154]"
5,"[77, 46, 67, 68, 62, 76, 57, 57, 72, 64]","[70, 68, 72, 67, 72, 71, 82, 72, 67, 80]","[37, 46, 51, 42, 43, 63, 45, 31, 36, 45]","[37, 44, 37, 48, 43, 49, 34, 52, 52, 35]","[45, 53, 41, 47, 56, 44, 41, 50, 49, 37]","[41, 52, 47, 45, 48, 53, 49, 49, 55, 55]","[44, 44, 51, 41, 43, 50, 34, 44, 38, 50]","[49, 41, 48, 62, 48, 56, 52, 55, 36, 46]","[58, 49, 48, 44, 38, 56, 37, 38, 30, 35]","[40, 44, 58, 48, 40, 41, 47, 40, 44, 47]","[31, 46, 40, 50, 41, 49, 53, 42, 48, 42]","[38, 48, 61, 34, 48, 46, 51, 44, 40, 63]","[50, 43, 39, 41, 46, 25, 46, 43, 47, 51]","[57, 34, 46, 45, 43, 37, 43, 41, 43, 50]","[34, 65, 48, 47, 53, 49, 49, 52, 42, 41]","[40, 49, 47, 46, 57, 42, 46, 39, 47, 47]","[43, 54, 40, 37, 47, 57, 40, 52, 60, 56]","[54, 42, 37, 50, 41, 45, 44, 47, 42, 53]","[51, 42, 33, 47, 45, 46, 55, 46, 51, 46]","[47, 49, 43, 47, 43, 50, 35, 43, 40, 49]","[53, 46, 43, 46, 47, 40, 45, 41, 36, 43]"
6,"[12, 13, 16, 21, 11, 20, 16, 23, 17, 21]","[14, 19, 17, 16, 13, 16, 19, 15, 17, 30]","[10, 11, 11, 15, 18, 8, 18, 11, 20, 10]","[7, 12, 9, 13, 10, 13, 8, 18, 11, 4]","[12, 13, 16, 10, 14, 6, 12, 14, 14, 10]","[14, 12, 10, 15, 12, 16, 7, 17, 12, 16]","[10, 15, 16, 13, 9, 17, 8, 17, 12, 20]","[13, 15, 9, 19, 11, 11, 14, 14, 10, 11]","[7, 20, 9, 13, 11, 13, 8, 8, 14, 13]","[16, 14, 12, 9, 14, 12, 11, 20, 12, 7]","[15, 20, 11, 14, 11, 10, 13, 17, 18, 14]","[8, 17, 10, 16, 11, 11, 8, 12, 19, 5]","[14, 13, 22, 10, 13, 17, 13, 15, 18, 12]","[10, 14, 11, 10, 15, 15, 12, 7, 10, 15]","[9, 15, 10, 15, 15, 12, 8, 11, 11, 15]","[16, 7, 14, 9, 12, 17, 10, 9, 16, 7]","[12, 13, 9, 15, 12, 11, 14, 17, 11, 14]","[17, 9, 12, 14, 14, 12, 11, 13, 14, 12]","[15, 6, 9, 14, 18, 19, 13, 11, 11, 11]","[10, 11, 14, 12, 9, 11, 16, 11, 13, 15]","[14, 11, 12, 13, 11, 13, 13, 12, 10, 10]"
7,"[3, 7, 5, 4, 6, 3, 6, 3, 7, 9]","[7, 5, 7, 7, 10, 5, 5, 7, 6, 3]","[2, 1, 5, 0, 2, 6, 5, 6, 3, 3]","[5, 3, 6, 4, 3, 3, 2, 1, 2, 1]","[3, 4, 3, 4, 6, 1, 3, 5, 6, 2]","[4, 3, 4, 3, 8, 5, 8, 5, 1, 1]","[3, 4, 2, 7, 5, 3, 2, 5, 4, 0]","[4, 2, 3, 0, 5, 0, 1, 4, 9, 1]","[5, 4, 7, 4, 7, 2, 3, 3, 2, 1]","[0, 2, 6, 5, 4, 1, 1, 2, 3, 11]","[1, 2, 3, 1, 6, 6, 3, 1, 1, 4]","[1, 2, 3, 1, 2, 3, 6, 4, 1, 9]","[2, 2, 4, 7, 1, 2, 2, 3, 2, 3]","[3, 3, 1, 6, 4, 5, 3, 3, 4, 1]","[4, 4, 5, 4, 2, 3, 4, 4, 4, 1]","[6, 3, 4, 5, 4, 3, 5, 4, 4, 0]","[5, 2, 2, 3, 1, 3, 1, 7, 4, 5]","[7, 1, 4, 5, 1, 4, 8, 5, 7, 3]","[1, 1, 4, 3, 8, 3, 2, 4, 4, 2]","[1, 4, 3, 3, 1, 4, 5, 3, 3, 3]","[5, 3, 2, 5, 1, 7, 3, 5, 2, 5]"
8,"[1, 0, 3, 2, 0, 0, 1, 1, 0, 1]","[2, 2, 0, 0, 1, 2, 1, 0, 2, 2]","[0, 0, 1, 1, 0, 1, 2, 1, 1, 2]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[2, 2, 1, 0, 1, 3, 2, 1, 0, 2]","[1, 1, 1, 0, 2, 2, 0, 4, 2, 1]","[1, 0, 2, 0, 1, 0, 0, 3, 1, 1]","[0, 2, 0, 0, 2, 1, 2, 0, 2, 1]","[1, 1, 0, 0, 0, 0, 0, 1, 2, 2]","[0, 0, 1, 0, 1, 0, 2, 1, 0, 0]","[0, 1, 0, 1, 2, 1, 2, 0, 2, 0]","[2, 0, 3, 0, 1, 0, 2, 1, 0, 0]","[2, 0, 4, 0, 1, 1, 1, 0, 2, 1]","[2, 3, 1, 1, 0, 0, 0, 2, 0, 1]","[0, 3, 0, 3, 0, 1, 1, 2, 0, 0]","[0, 2, 1, 2, 1, 0, 0, 0, 0, 2]","[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 2, 0, 1, 1, 2]","[0, 0, 2, 3, 0, 0, 0, 0, 1, 1]","[2, 1, 2, 0, 1, 1, 3, 0, 0, 1]","[0, 1, 1, 2, 0, 2, 0, 0, 0, 2]"
9,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
