size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.7996965098634294,0.8677740863787375,0.9172774869109948,0.96,1.0096670247046187,1.0010416666666666,0.9777070063694268,1.0363636363636364,1.0319488817891374,1.0877005347593582,1.0159744408945688,0.9903640256959315,1.0364415862808145,0.9575821845174973,1.0902173913043478,1.0656620021528525,1.0215982721382288,1.09814612868048,1.025531914893617,1.0064446831364124,0.9817007534983854
4,0.7625698324022346,0.8050632911392405,0.9477911646586346,1.0420168067226891,0.946360153256705,1.168,1.056910569105691,0.9580152671755725,1.027237354085603,1.048582995951417,1.132,1.060483870967742,1.012,1.0470588235294118,1.045267489711934,1.0609756097560976,0.9791666666666666,0.9425287356321839,0.9651162790697675,0.9505703422053232,1.0942622950819672
5,0.5913978494623656,1.2376237623762376,1.1940298507462686,1.1194029850746268,1.234375,1.3636363636363635,1.0694444444444444,0.9,1.0147058823529411,1.144927536231884,1.1384615384615384,1.2463768115942029,0.782608695652174,0.9838709677419355,0.9852941176470589,1.125,0.8260869565217391,1.0,1.2380952380952381,0.875,1.3
6,0.7142857142857143,1.0689655172413792,1.631578947368421,1.8571428571428572,0.8888888888888888,0.9,1.5,1.0,1.25,0.9523809523809523,0.8421052631578947,0.9411764705882353,1.1363636363636365,1.0588235294117647,1.4210526315789473,1.1764705882352942,1.1666666666666667,0.95,1.1176470588235294,1.1111111111111112,0.9047619047619048
7,1.25,1.5,0.8333333333333334,2.0,1.75,3.0,1.1666666666666667,1.2,1.0,0.4,0.8,1.6,0.8,2.0,1.6666666666666667,2.0,0.8,1.3333333333333333,1.75,1.0,0.2
8,1.0,1.3333333333333333,1.0,2.0,1.3333333333333333,1.3333333333333333,1.5,2.0,4.0,1.0,2.0,1.5,1.0,2.5,1.5,1.5,0.5,0.5,1.0,0.5,0.3333333333333333
9,3.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
11,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
