size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[46039, 45570, 45733, 45218, 45677, 45254, 45727, 45276, 45555, 45662]","[48407, 48182, 48583, 48348, 48279, 48138, 48343, 47751, 48148, 48263]","[34622, 34393, 34718, 34758, 34631, 34692, 34589, 34187, 34726, 34934]","[34222, 34271, 34036, 34251, 34083, 34174, 34058, 34012, 34343, 33977]","[34758, 34951, 35251, 35074, 34845, 35031, 35139, 34929, 34831, 35027]","[34840, 34737, 34793, 34837, 34931, 34722, 35182, 34880, 34976, 34726]","[34959, 35007, 34810, 34986, 34440, 34594, 34882, 34682, 34725, 34740]","[35171, 34738, 34724, 34499, 34436, 34507, 34807, 34742, 34330, 34676]","[34477, 34599, 34765, 34701, 35044, 34605, 34468, 35119, 34586, 34526]","[34663, 34374, 34882, 34684, 34322, 34669, 34306, 34557, 34812, 34664]","[34703, 34644, 34680, 34729, 34529, 34616, 34792, 34620, 34430, 34940]","[34753, 34533, 34731, 34546, 34690, 34519, 34992, 34325, 35033, 34633]","[34377, 34446, 34507, 34627, 34632, 34505, 34660, 34733, 34651, 34517]","[34650, 34310, 34372, 34354, 34484, 34364, 34808, 34573, 34884, 34410]","[34392, 34627, 34354, 34578, 34621, 34548, 34585, 34398, 34407, 34341]","[34192, 34485, 34565, 34508, 34288, 34391, 34436, 34341, 34648, 34373]","[34461, 34535, 34435, 34165, 34179, 34253, 34357, 34528, 34417, 34129]","[34457, 34164, 34303, 34098, 34317, 34630, 34270, 33802, 34367, 34320]","[34633, 34147, 34475, 34352, 34458, 34192, 34174, 34265, 34115, 34441]","[34276, 34150, 34186, 33892, 33975, 34220, 34177, 34320, 34098, 34416]","[34393, 34286, 34228, 34549, 34388, 34327, 34101, 34164, 34054, 34036]"
4,"[11972, 11921, 12097, 11870, 12045, 11991, 12091, 12194, 11723, 12033]","[12556, 12555, 12765, 12767, 12797, 12725, 12725, 12670, 12668, 12871]","[9173, 9152, 9272, 9041, 9026, 9215, 9096, 9201, 8925, 9143]","[8958, 8951, 9265, 9094, 8857, 9019, 8849, 8927, 8861, 8970]","[9299, 9332, 9308, 9245, 9118, 9250, 9168, 9251, 9196, 9257]","[9220, 9168, 9359, 9334, 9271, 8965, 9237, 9119, 9234, 9269]","[9174, 9088, 9125, 9183, 9148, 9113, 9019, 9274, 9178, 9167]","[9219, 9288, 9235, 9059, 9084, 9315, 9077, 9143, 9129, 9249]","[9288, 9212, 8979, 9055, 9163, 9179, 9341, 9117, 9123, 9116]","[9162, 9029, 9208, 8982, 9066, 9210, 9101, 9184, 8981, 9348]","[9125, 9138, 9156, 9138, 9247, 9086, 9062, 8828, 9006, 9327]","[9171, 8952, 9262, 9138, 9066, 8993, 9123, 9093, 9007, 9157]","[9042, 9081, 8981, 9059, 8996, 9344, 9055, 9198, 9277, 9137]","[9099, 9332, 9182, 9193, 9140, 9037, 9062, 8912, 9212, 9018]","[9206, 9093, 9309, 9029, 9038, 9114, 9009, 9260, 9185, 9027]","[9145, 9042, 9272, 9259, 8972, 9074, 9155, 9088, 8905, 9089]","[9113, 9227, 9145, 9040, 9165, 8925, 8855, 9072, 8956, 9279]","[9020, 9078, 8943, 9174, 9282, 9036, 9046, 9080, 9124, 9033]","[8966, 8995, 9063, 8955, 9152, 9124, 9176, 8756, 8863, 9155]","[8903, 8909, 9015, 9060, 9223, 8889, 9120, 8899, 8978, 9027]","[8950, 9104, 8886, 8868, 9127, 8920, 9027, 8950, 8876, 9121]"
5,"[3107, 3168, 3164, 3054, 3282, 3145, 3111, 3195, 3210, 3205]","[3367, 3483, 3371, 3413, 3296, 3467, 3374, 3370, 3321, 3333]","[2449, 2423, 2411, 2410, 2373, 2453, 2473, 2378, 2367, 2434]","[2432, 2471, 2362, 2301, 2422, 2377, 2386, 2395, 2326, 2320]","[2436, 2438, 2426, 2487, 2525, 2376, 2491, 2516, 2454, 2458]","[2424, 2459, 2495, 2425, 2421, 2385, 2443, 2482, 2477, 2273]","[2467, 2420, 2448, 2417, 2383, 2413, 2432, 2350, 2431, 2393]","[2423, 2438, 2317, 2487, 2436, 2410, 2389, 2394, 2409, 2367]","[2390, 2361, 2486, 2511, 2475, 2443, 2441, 2436, 2442, 2322]","[2399, 2377, 2456, 2346, 2481, 2428, 2461, 2420, 2425, 2358]","[2409, 2346, 2519, 2367, 2427, 2486, 2410, 2349, 2391, 2441]","[2388, 2481, 2431, 2467, 2387, 2282, 2386, 2383, 2338, 2407]","[2473, 2365, 2372, 2515, 2454, 2395, 2364, 2326, 2329, 2516]","[2332, 2404, 2377, 2442, 2363, 2358, 2427, 2487, 2443, 2497]","[2412, 2470, 2364, 2448, 2395, 2362, 2416, 2449, 2468, 2323]","[2466, 2379, 2384, 2322, 2406, 2328, 2410, 2407, 2326, 2399]","[2405, 2389, 2395, 2345, 2421, 2358, 2429, 2412, 2432, 2444]","[2343, 2415, 2361, 2397, 2413, 2450, 2400, 2312, 2397, 2428]","[2378, 2416, 2441, 2367, 2376, 2350, 2431, 2426, 2387, 2392]","[2474, 2455, 2293, 2364, 2364, 2386, 2357, 2346, 2409, 2352]","[2468, 2417, 2352, 2364, 2338, 2400, 2429, 2345, 2197, 2400]"
6,"[822, 794, 829, 792, 849, 866, 849, 834, 852, 868]","[878, 895, 889, 927, 885, 883, 846, 902, 859, 913]","[642, 634, 611, 635, 650, 672, 616, 633, 634, 602]","[616, 647, 631, 641, 642, 613, 661, 690, 618, 598]","[636, 623, 602, 686, 651, 676, 645, 624, 629, 623]","[682, 640, 624, 676, 631, 681, 589, 638, 666, 630]","[660, 679, 640, 636, 647, 657, 664, 662, 658, 673]","[689, 709, 660, 644, 654, 664, 637, 623, 636, 596]","[636, 624, 598, 653, 624, 645, 639, 654, 662, 643]","[698, 655, 655, 685, 646, 635, 641, 589, 644, 635]","[628, 632, 624, 670, 596, 672, 614, 645, 631, 617]","[626, 692, 617, 667, 636, 628, 621, 673, 611, 591]","[593, 676, 647, 651, 623, 608, 626, 638, 661, 675]","[685, 604, 639, 659, 683, 663, 611, 644, 609, 675]","[641, 604, 638, 611, 641, 671, 642, 616, 598, 657]","[679, 600, 608, 630, 653, 641, 578, 613, 603, 692]","[597, 654, 651, 608, 603, 634, 625, 642, 627, 653]","[645, 650, 644, 585, 634, 636, 617, 633, 658, 674]","[628, 606, 621, 633, 634, 598, 615, 625, 629, 650]","[699, 634, 639, 642, 608, 585, 646, 625, 633, 589]","[606, 610, 638, 630, 637, 640, 668, 637, 613, 630]"
7,"[238, 195, 209, 209, 208, 243, 217, 205, 209, 209]","[243, 182, 230, 252, 206, 275, 216, 231, 235, 218]","[154, 158, 179, 155, 152, 183, 181, 203, 163, 175]","[167, 171, 160, 173, 168, 174, 167, 160, 190, 176]","[170, 173, 155, 170, 173, 189, 137, 159, 193, 164]","[174, 169, 156, 178, 158, 202, 163, 173, 179, 147]","[179, 169, 177, 162, 185, 166, 178, 158, 160, 157]","[148, 163, 169, 171, 171, 173, 166, 160, 178, 156]","[183, 146, 182, 153, 176, 162, 179, 164, 160, 160]","[150, 196, 173, 169, 176, 190, 154, 202, 183, 179]","[179, 172, 166, 166, 156, 150, 163, 157, 148, 178]","[170, 192, 171, 163, 182, 158, 152, 161, 178, 167]","[177, 172, 145, 171, 142, 161, 168, 158, 146, 157]","[180, 157, 189, 154, 167, 185, 178, 180, 152, 144]","[156, 167, 170, 156, 184, 181, 151, 185, 181, 178]","[153, 186, 154, 158, 163, 150, 155, 167, 178, 170]","[177, 164, 170, 142, 143, 149, 145, 166, 145, 165]","[154, 135, 173, 170, 180, 179, 185, 181, 157, 168]","[179, 181, 157, 170, 147, 161, 173, 148, 174, 167]","[152, 153, 179, 201, 170, 171, 133, 168, 162, 154]","[167, 183, 155, 155, 172, 154, 186, 169, 156, 160]"
8,"[49, 63, 53, 40, 49, 51, 50, 56, 52, 54]","[67, 78, 69, 77, 60, 72, 60, 56, 45, 71]","[50, 46, 47, 41, 48, 54, 48, 51, 43, 47]","[47, 43, 27, 40, 49, 38, 41, 35, 41, 42]","[36, 40, 38, 34, 45, 48, 42, 55, 33, 41]","[43, 53, 48, 36, 55, 50, 48, 40, 41, 42]","[52, 34, 37, 37, 42, 52, 55, 58, 45, 35]","[50, 34, 54, 39, 55, 48, 46, 44, 39, 41]","[47, 47, 40, 46, 39, 37, 41, 46, 44, 45]","[41, 49, 51, 43, 36, 55, 52, 48, 39, 68]","[43, 36, 55, 40, 38, 42, 42, 41, 43, 53]","[36, 39, 45, 46, 44, 57, 48, 51, 44, 49]","[45, 48, 43, 44, 50, 44, 59, 42, 42, 45]","[38, 36, 48, 36, 47, 43, 38, 42, 50, 43]","[45, 41, 42, 34, 51, 39, 40, 38, 42, 42]","[41, 39, 62, 37, 42, 49, 42, 45, 40, 34]","[42, 39, 40, 46, 51, 28, 46, 47, 47, 43]","[61, 45, 40, 42, 49, 40, 55, 39, 39, 44]","[36, 58, 43, 41, 50, 47, 36, 47, 50, 40]","[39, 43, 39, 35, 39, 42, 47, 36, 58, 35]","[46, 49, 43, 39, 39, 35, 43, 45, 46, 38]"
9,"[10, 18, 20, 18, 15, 17, 12, 11, 16, 19]","[21, 10, 12, 19, 11, 16, 10, 16, 6, 19]","[9, 13, 10, 11, 12, 9, 17, 5, 12, 10]","[16, 10, 11, 8, 15, 16, 8, 19, 12, 11]","[13, 8, 7, 11, 17, 10, 8, 20, 12, 14]","[12, 14, 14, 15, 9, 15, 7, 13, 9, 10]","[11, 11, 16, 10, 14, 15, 12, 12, 7, 16]","[19, 8, 10, 15, 21, 13, 10, 21, 13, 14]","[12, 14, 18, 12, 12, 11, 12, 14, 8, 7]","[12, 10, 20, 14, 18, 15, 23, 21, 11, 13]","[8, 12, 20, 11, 14, 10, 12, 13, 6, 10]","[6, 11, 11, 17, 8, 17, 14, 6, 12, 11]","[14, 16, 18, 11, 13, 10, 14, 12, 11, 11]","[10, 16, 12, 14, 16, 5, 7, 9, 16, 11]","[9, 11, 11, 8, 5, 6, 12, 11, 8, 8]","[9, 9, 10, 15, 11, 13, 18, 8, 7, 9]","[11, 12, 14, 16, 12, 10, 6, 13, 11, 12]","[9, 19, 17, 15, 7, 9, 13, 9, 7, 11]","[15, 14, 9, 14, 13, 12, 13, 8, 12, 14]","[13, 17, 14, 7, 11, 8, 10, 12, 9, 10]","[12, 9, 10, 15, 7, 14, 7, 15, 13, 20]"
10,"[4, 4, 2, 3, 2, 5, 3, 4, 6, 2]","[1, 2, 5, 6, 7, 4, 4, 7, 5, 8]","[2, 5, 3, 0, 5, 2, 4, 0, 3, 1]","[2, 4, 8, 0, 2, 4, 5, 3, 4, 1]","[2, 2, 2, 5, 4, 5, 3, 5, 5, 3]","[0, 4, 2, 6, 6, 3, 1, 2, 6, 3]","[1, 3, 0, 3, 3, 4, 2, 3, 0, 5]","[4, 3, 2, 1, 4, 0, 5, 2, 4, 3]","[1, 2, 7, 4, 5, 7, 2, 1, 3, 4]","[5, 5, 3, 3, 3, 4, 2, 3, 5, 0]","[1, 3, 1, 4, 1, 1, 1, 0, 0, 2]","[2, 4, 3, 3, 3, 2, 2, 1, 4, 7]","[1, 5, 7, 5, 7, 3, 1, 3, 0, 3]","[3, 3, 4, 1, 3, 3, 3, 5, 1, 4]","[3, 2, 1, 3, 3, 1, 2, 3, 2, 2]","[3, 2, 3, 7, 6, 4, 4, 3, 2, 2]","[5, 4, 2, 1, 7, 6, 3, 5, 1, 1]","[6, 1, 5, 1, 4, 6, 4, 2, 1, 4]","[5, 2, 5, 5, 3, 5, 2, 6, 5, 3]","[4, 4, 2, 3, 3, 3, 2, 7, 3, 3]","[1, 2, 2, 2, 2, 0, 4, 4, 1, 3]"
11,"[1, 1, 1, 1, 0, 2, 1, 0, 0, 0]","[2, 2, 0, 1, 0, 0, 3, 2, 1, 0]","[1, 0, 2, 1, 0, 1, 0, 2, 1, 1]","[1, 0, 1, 3, 1, 1, 1, 1, 0, 0]","[0, 1, 0, 3, 1, 0, 2, 2, 0, 1]","[0, 1, 0, 1, 2, 1, 4, 1, 2, 0]","[0, 4, 0, 1, 1, 1, 0, 0, 1, 1]","[0, 2, 3, 3, 0, 2, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 2, 0, 2, 2]","[1, 0, 1, 1, 1, 1, 1, 0, 2, 1]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 2, 0, 0, 2, 0, 2, 1, 1]","[1, 0, 0, 1, 0, 1, 3, 1, 2, 1]","[0, 2, 2, 0, 2, 0, 1, 3, 0, 0]","[1, 1, 1, 0, 1, 2, 1, 0, 1, 0]","[1, 0, 0, 1, 0, 2, 0, 1, 2, 1]","[0, 1, 1, 1, 0, 1, 2, 0, 2, 0]","[1, 1, 1, 1, 1, 2, 0, 2, 3, 2]","[0, 1, 0, 1, 0, 2, 1, 1, 0, 0]","[1, 0, 0, 1, 2, 1, 1, 2, 0, 2]","[2, 1, 2, 2, 1, 1, 1, 0, 0, 1]"
12,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 2]","[0, 1, 0, 0, 0, 2, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 2, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 2, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 2, 0]"
