size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,3676,4624,3063,3033,3202,3371,3408,3426,3344,3135,3226,3123,3162,3129,3079,3218,3216,3353,3169,3057,2899
4,981,1169,834,765,920,946,896,860,897,929,841,916,814,848,863,838,856,806,836,832,804
5,258,402,242,224,265,277,258,238,211,219,248,225,212,206,241,223,234,246,198,241,228
6,66,110,74,98,95,73,93,89,71,62,68,64,55,46,88,57,78,67,70,55,71
7,33,32,27,34,32,27,26,20,19,20,24,14,34,35,25,23,18,18,22,9,23
8,9,21,8,5,15,9,5,9,10,7,6,9,9,2,8,3,5,5,10,3,4
9,4,3,1,4,11,5,10,3,3,3,2,3,0,2,3,4,4,9,2,2,9
10,2,0,2,4,1,0,1,0,4,4,2,2,2,3,1,3,0,3,2,2,3
11,2,1,1,1,7,0,4,1,1,2,1,4,1,1,0,1,1,2,1,1,0
12,3,1,2,1,2,2,1,0,3,0,2,1,1,0,1,1,0,0,1,0,0
13,0,4,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
14,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
