size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.8614601558772069,0.979481092080719,0.9130642464771913,0.9559971611071683,0.9850675515525006,0.9678800856531049,0.9641148325358851,0.9740072202166065,0.9634502923976608,0.9940490949665262,0.986304780876494,1.023715415019763,1.0161290322580645,0.9566326530612245,0.94726009776177,0.9963973237261966,0.963254593175853,0.9790904338734971,0.9643234672304439,0.9714516563425801,0.9814266487213997
4,0.8531791907514451,0.9626168224299065,0.8913043478260869,1.1017964071856288,1.0939086294416243,1.0595744680851065,0.974561403508772,1.068811438784629,1.0134288272157566,0.9540126239855726,1.0227272727272727,1.1132596685082874,0.963669391462307,0.9632690541781451,0.9622467771639043,0.939906103286385,0.9429657794676806,1.0502415458937198,0.9673390970220941,1.0216322517207472,1.0079522862823063
5,0.7692307692307693,1.0158013544018059,1.0131147540983607,1.3074534161490683,1.0493827160493827,1.2875399361022364,1.0636942675159236,1.0664556962025316,1.0288461538461537,1.0495049504950495,0.9230769230769231,1.0201342281879195,1.0335570469798658,0.9326923076923077,0.9797297297297297,1.1137123745819397,1.055363321799308,1.013986013986014,1.1258992805755397,1.0,1.0763636363636364
6,1.032,1.112,1.2469135802469136,2.8333333333333335,1.7882352941176471,1.315217391304348,1.3222222222222222,1.2560975609756098,0.8681318681318682,1.2564102564102564,1.3333333333333333,1.2873563218390804,1.0674157303370786,1.125,1.036144578313253,1.1973684210526316,1.3670886075949367,1.3376623376623376,0.9342105263157895,1.0,1.144736842105263
7,1.135135135135135,1.2702702702702702,2.7916666666666665,2.9166666666666665,4.708333333333333,1.5,2.269230769230769,1.7083333333333333,1.52,2.409090909090909,2.2916666666666665,1.6666666666666667,1.5454545454545454,1.391304347826087,1.8571428571428572,1.4090909090909092,3.9545454545454546,2.35,1.2,1.173913043478261,1.2173913043478262
8,1.7,1.6,4.375,8.625,11.142857142857142,9.571428571428571,2.5,3.6,2.5714285714285716,2.8333333333333335,5.0,4.571428571428571,2.5,1.6666666666666667,2.125,1.4285714285714286,2.857142857142857,1.7777777777777777,1.6666666666666667,1.8333333333333333,1.5714285714285714
9,2.25,3.25,1.3333333333333333,16.5,5.666666666666667,32.0,3.0,1.6666666666666667,3.0,3.6666666666666665,5.0,4.0,1.3333333333333333,1.3333333333333333,2.5,3.5,3.0,3.6666666666666665,3.6666666666666665,2.6666666666666665,3.0
10,1.5,3.5,6.0,9.5,35.0,12.0,5.0,6.0,2.5,6.0,9.0,6.0,5.0,5.0,4.0,2.5,3.0,3.0,2.0,3.0,3.0
11,5.0,10.0,4.0,9.0,27.0,8.0,8.0,5.0,8.0,2.0,8.0,5.0,6.0,2.0,6.0,2.0,4.0,3.0,1.0,5.0,1.0
12,2.0,2.0,6.0,7.0,27.0,8.0,9.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,14.0,1.0,2.0,5.0
13,3.0,2.0,5.0,6.0,23.0,5.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0
14,1.0,1.0,21.0,2.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,5.0,2.0,2.0
15,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
