size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,70375,55557,32363,39876,37853,40202,38992,37093,38355,38603,38238,37681,38548,37605,37886,38627,37297,37658,38015,37525,36992
4,18623,15865,12233,11413,11370,15216,11432,11018,14066,10904,11464,13949,10840,10991,14104,11005,10813,14231,10887,11147,13594
5,6461,4894,3629,4479,3836,4605,4341,3588,4096,4067,3661,4145,4143,3590,4111,4168,3460,4116,3937,3542,3878
6,2005,1654,1076,1331,1167,1296,1351,1107,1140,1141,1094,1132,1239,1157,1101,1265,1105,1250,1273,1094,1049
7,608,581,461,375,394,537,363,346,436,327,355,415,327,382,462,330,332,429,363,345,429
8,239,201,131,130,135,188,149,118,123,144,114,152,134,140,133,136,116,117,136,145,132
9,78,65,47,34,41,53,42,38,32,44,43,45,53,41,42,45,42,41,37,30,30
10,25,25,14,12,19,22,27,13,13,14,12,13,13,19,18,12,15,13,12,14,18
11,9,14,9,6,20,21,10,13,8,4,9,8,5,4,7,6,5,3,7,8,5
12,2,2,8,1,8,5,3,6,6,1,1,3,3,3,1,4,6,4,1,2,4
13,3,2,1,2,6,3,3,3,4,3,1,2,1,1,0,5,0,0,1,1,0
14,2,0,1,2,2,3,3,1,0,1,1,0,0,0,0,0,2,0,0,0,0
15,1,0,1,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
