size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[71745, 71591, 71377, 71661, 71263, 71327, 71240, 71113, 71923, 71141]","[55902, 55477, 55879, 55731, 55997, 55909, 55899, 56113, 55562, 55563]","[34115, 33935, 34017, 33876, 34104, 34185, 33824, 34158, 34252, 34341]","[40114, 40360, 39933, 40035, 40545, 40579, 40141, 40219, 40255, 40455]","[40153, 39929, 40336, 39839, 40164, 40172, 39974, 40470, 39933, 40088]","[39237, 39177, 39349, 39232, 39131, 39259, 39084, 39001, 39426, 39701]","[39442, 39369, 39458, 39231, 39119, 39443, 39491, 39217, 39290, 39434]","[39674, 39616, 39264, 38995, 39224, 39191, 39395, 39143, 39351, 39316]","[39369, 39256, 39410, 39049, 39740, 38985, 39027, 39324, 39143, 39246]","[39246, 39134, 39242, 39173, 39270, 39358, 39391, 39275, 39504, 39266]","[39132, 39339, 39299, 38965, 39150, 39019, 39017, 39208, 39088, 39350]","[38708, 38973, 39483, 38979, 39043, 39002, 39157, 38963, 38734, 39102]","[39295, 39162, 39112, 39082, 39572, 39034, 39018, 39176, 39425, 38774]","[38870, 38598, 38655, 38801, 39003, 38845, 38927, 39055, 39001, 39308]","[39218, 39112, 38778, 38615, 38855, 38816, 38924, 38673, 38926, 38765]","[39015, 38560, 39240, 38983, 38633, 38815, 39043, 38704, 38589, 38850]","[38592, 38896, 38993, 38624, 39083, 38360, 38966, 38583, 38432, 38534]","[38455, 38452, 39052, 38613, 38342, 38932, 38647, 38824, 38559, 38854]","[38644, 38567, 38643, 38663, 38716, 38545, 38710, 38935, 38819, 38310]","[38847, 38166, 38443, 38653, 38441, 38482, 38231, 38443, 38837, 38369]","[38229, 38471, 38715, 38612, 38864, 38733, 38422, 38597, 38466, 38728]"
4,"[22178, 21780, 21922, 21707, 21825, 21637, 21945, 21576, 21854, 21881]","[17168, 17278, 17052, 17166, 17125, 17079, 17112, 16650, 17102, 16916]","[10261, 10242, 10418, 10314, 10413, 10178, 10422, 10581, 10547, 10504]","[12338, 12209, 12221, 12199, 12247, 12177, 12168, 12433, 12242, 11986]","[12021, 12438, 12270, 12251, 12230, 12205, 12186, 12360, 12308, 12247]","[11909, 11795, 12257, 12116, 11764, 11890, 11677, 11999, 12091, 11804]","[11827, 11969, 12008, 11952, 12063, 11910, 11955, 12004, 11945, 11864]","[12077, 11922, 11786, 12068, 11840, 11969, 11840, 11853, 12163, 12078]","[12055, 11939, 11839, 11816, 11915, 11822, 12140, 11886, 11936, 12070]","[11840, 12033, 11919, 11878, 11925, 11922, 12043, 11956, 11827, 11827]","[11960, 11900, 11751, 11955, 12001, 11826, 11929, 11814, 11940, 11806]","[12080, 11898, 11902, 11907, 11895, 11947, 11726, 11594, 12035, 11819]","[11920, 11818, 11731, 11879, 11811, 11927, 11606, 12124, 11955, 11856]","[11614, 11786, 11811, 11855, 11867, 11840, 11894, 11846, 11860, 12059]","[11661, 11907, 11905, 11854, 11802, 11703, 11858, 11916, 11907, 11662]","[12017, 11901, 11756, 11858, 11894, 11739, 11805, 11801, 11793, 11766]","[11839, 11895, 11806, 11714, 11813, 11838, 11862, 11687, 11680, 11677]","[11722, 11619, 11661, 11680, 11755, 11511, 11808, 11914, 11902, 11716]","[11862, 11676, 11903, 11667, 11687, 11795, 11593, 11594, 11569, 11832]","[11699, 11892, 11777, 11713, 11663, 11689, 11792, 11913, 11546, 11832]","[11617, 11720, 11590, 11854, 11797, 11766, 11750, 11693, 11664, 11807]"
5,"[6803, 6867, 6782, 6868, 6832, 6979, 6925, 6721, 6743, 6889]","[5287, 5409, 5303, 5403, 5385, 5241, 5344, 5275, 5319, 5299]","[3224, 3185, 3161, 3128, 3234, 3258, 3204, 3204, 3120, 3242]","[3715, 3781, 3709, 3809, 3733, 3718, 3755, 3813, 3858, 3786]","[3767, 3742, 3820, 3785, 3731, 3732, 3686, 3744, 3825, 3775]","[3666, 3734, 3747, 3769, 3797, 3733, 3692, 3707, 3784, 3745]","[3632, 3704, 3663, 3716, 3657, 3693, 3703, 3617, 3615, 3672]","[3817, 3742, 3717, 3663, 3621, 3642, 3778, 3718, 3708, 3817]","[3743, 3788, 3641, 3705, 3697, 3805, 3760, 3744, 3777, 3774]","[3699, 3720, 3680, 3690, 3680, 3811, 3633, 3688, 3572, 3632]","[3718, 3656, 3764, 3725, 3828, 3719, 3663, 3652, 3643, 3810]","[3644, 3650, 3762, 3680, 3662, 3817, 3743, 3653, 3630, 3611]","[3695, 3519, 3684, 3662, 3615, 3701, 3621, 3725, 3602, 3594]","[3598, 3631, 3482, 3638, 3712, 3723, 3699, 3679, 3715, 3582]","[3576, 3636, 3650, 3769, 3652, 3632, 3660, 3635, 3557, 3713]","[3718, 3620, 3570, 3647, 3720, 3551, 3690, 3677, 3676, 3645]","[3660, 3658, 3638, 3690, 3664, 3581, 3658, 3596, 3686, 3596]","[3644, 3661, 3647, 3570, 3750, 3633, 3680, 3580, 3603, 3486]","[3576, 3552, 3649, 3679, 3586, 3594, 3555, 3664, 3637, 3589]","[3567, 3703, 3647, 3694, 3687, 3587, 3628, 3737, 3764, 3575]","[3581, 3640, 3635, 3764, 3548, 3599, 3651, 3653, 3673, 3683]"
6,"[2184, 2121, 2194, 2116, 2138, 2042, 2041, 2090, 2159, 2173]","[1734, 1653, 1695, 1579, 1651, 1572, 1693, 1590, 1570, 1682]","[1025, 1000, 1019, 988, 1017, 981, 1033, 1023, 968, 973]","[1221, 1271, 1169, 1154, 1147, 1226, 1201, 1172, 1198, 1143]","[1174, 1160, 1158, 1171, 1227, 1189, 1236, 1155, 1138, 1193]","[1140, 1173, 1125, 1148, 1169, 1138, 1100, 1178, 1163, 1161]","[1114, 1130, 1184, 1200, 1117, 1155, 1131, 1128, 1158, 1106]","[1186, 1172, 1116, 1166, 1205, 1256, 1121, 1181, 1228, 1184]","[1169, 1159, 1085, 1159, 1180, 1087, 1151, 1156, 1172, 1206]","[1249, 1103, 1168, 1176, 1144, 1131, 1137, 1139, 1184, 1146]","[1159, 1153, 1177, 1130, 1152, 1137, 1121, 1119, 1195, 1166]","[1134, 1149, 1077, 1130, 1143, 1098, 1177, 1141, 1173, 1209]","[1130, 1152, 1166, 1122, 1151, 1174, 1069, 1165, 1190, 1074]","[1115, 1174, 1160, 1138, 1110, 1121, 1121, 1159, 1145, 1197]","[1152, 1108, 1144, 1094, 1117, 1158, 1128, 1165, 1157, 1117]","[1137, 1136, 1149, 1153, 1075, 1189, 1137, 1116, 1104, 1127]","[1143, 1090, 1097, 1147, 1117, 1167, 1140, 1193, 1156, 1160]","[1142, 1148, 1125, 1144, 1173, 1172, 1112, 1108, 1179, 1080]","[1119, 1161, 1106, 1143, 1210, 1168, 1154, 1152, 1108, 1116]","[1124, 1144, 1155, 1137, 1132, 1130, 1102, 1121, 1117, 1100]","[1146, 1120, 1163, 1079, 1088, 1114, 1157, 1118, 1120, 1097]"
7,"[724, 667, 608, 646, 680, 699, 673, 667, 683, 663]","[466, 508, 500, 499, 535, 491, 495, 502, 498, 553]","[295, 341, 290, 305, 346, 312, 297, 326, 330, 316]","[378, 364, 383, 350, 352, 399, 368, 352, 380, 346]","[368, 403, 370, 353, 378, 370, 336, 367, 334, 371]","[357, 384, 373, 373, 333, 343, 353, 344, 360, 318]","[385, 371, 366, 355, 373, 336, 408, 371, 346, 350]","[360, 350, 312, 333, 356, 373, 358, 360, 332, 367]","[349, 398, 372, 352, 364, 340, 366, 326, 375, 369]","[339, 424, 373, 362, 372, 336, 354, 354, 307, 320]","[368, 371, 383, 351, 354, 330, 370, 382, 374, 347]","[408, 349, 329, 376, 318, 353, 362, 367, 306, 366]","[374, 360, 361, 359, 371, 349, 393, 371, 356, 312]","[353, 360, 379, 335, 341, 375, 359, 336, 367, 345]","[348, 384, 374, 370, 334, 331, 384, 350, 323, 323]","[344, 382, 353, 363, 349, 359, 358, 343, 334, 349]","[333, 324, 362, 351, 348, 372, 391, 357, 351, 341]","[308, 344, 358, 367, 368, 337, 385, 364, 323, 371]","[392, 347, 320, 366, 351, 347, 329, 350, 373, 345]","[340, 357, 361, 329, 315, 353, 364, 355, 357, 326]","[311, 349, 357, 356, 372, 330, 346, 350, 335, 345]"
8,"[201, 206, 233, 219, 222, 212, 205, 224, 217, 216]","[156, 149, 174, 163, 152, 154, 170, 150, 152, 153]","[92, 96, 102, 71, 91, 87, 95, 100, 107, 95]","[101, 102, 131, 104, 117, 114, 120, 93, 101, 101]","[128, 90, 124, 117, 108, 113, 96, 118, 120, 116]","[139, 130, 138, 122, 102, 99, 107, 110, 118, 105]","[120, 116, 94, 88, 94, 103, 118, 122, 126, 125]","[98, 121, 111, 115, 108, 116, 123, 132, 114, 116]","[113, 115, 113, 100, 136, 103, 117, 108, 120, 113]","[128, 139, 107, 100, 87, 117, 105, 103, 90, 117]","[113, 107, 96, 106, 128, 122, 110, 131, 103, 132]","[124, 110, 113, 117, 135, 105, 118, 108, 100, 117]","[114, 97, 127, 117, 95, 98, 88, 122, 92, 111]","[106, 126, 100, 101, 123, 121, 101, 97, 97, 110]","[102, 111, 122, 123, 118, 117, 99, 90, 122, 92]","[140, 115, 106, 110, 109, 102, 114, 85, 93, 114]","[112, 103, 95, 104, 105, 108, 91, 132, 124, 105]","[102, 116, 107, 105, 115, 93, 109, 99, 115, 100]","[107, 104, 105, 96, 116, 108, 105, 117, 124, 97]","[99, 122, 126, 116, 111, 100, 93, 108, 105, 93]","[131, 108, 114, 115, 96, 96, 117, 131, 126, 123]"
9,"[63, 65, 49, 50, 65, 66, 67, 73, 64, 67]","[37, 50, 52, 50, 48, 52, 51, 53, 46, 42]","[36, 38, 27, 23, 25, 36, 18, 38, 34, 26]","[37, 44, 32, 39, 32, 47, 34, 30, 32, 34]","[32, 42, 41, 39, 29, 40, 23, 39, 36, 27]","[34, 29, 35, 37, 37, 36, 34, 26, 35, 26]","[30, 33, 29, 34, 42, 34, 37, 37, 35, 39]","[35, 35, 43, 28, 40, 42, 43, 26, 33, 36]","[35, 32, 31, 31, 37, 37, 29, 35, 39, 42]","[34, 34, 38, 32, 30, 40, 33, 22, 28, 27]","[36, 47, 33, 28, 43, 34, 24, 35, 37, 40]","[41, 34, 31, 27, 35, 25, 38, 42, 35, 40]","[42, 34, 33, 34, 38, 41, 34, 33, 34, 36]","[31, 33, 31, 37, 34, 28, 36, 32, 36, 32]","[44, 39, 38, 41, 28, 38, 26, 40, 26, 43]","[41, 28, 34, 24, 44, 39, 28, 36, 32, 37]","[31, 47, 27, 44, 34, 32, 26, 31, 28, 36]","[30, 36, 30, 37, 33, 44, 24, 39, 30, 28]","[29, 28, 29, 19, 20, 31, 37, 33, 33, 37]","[33, 39, 36, 37, 28, 23, 33, 34, 28, 38]","[25, 35, 46, 32, 28, 36, 36, 21, 38, 29]"
10,"[26, 17, 21, 28, 14, 24, 23, 18, 18, 17]","[26, 25, 11, 11, 25, 13, 11, 14, 21, 11]","[8, 6, 11, 8, 13, 6, 6, 7, 7, 17]","[12, 18, 11, 14, 4, 17, 11, 6, 6, 15]","[11, 11, 13, 7, 11, 12, 9, 7, 8, 7]","[8, 11, 12, 5, 12, 7, 16, 11, 12, 11]","[5, 5, 17, 14, 9, 14, 9, 9, 8, 14]","[10, 15, 14, 7, 12, 8, 9, 8, 15, 10]","[13, 8, 10, 14, 8, 8, 12, 15, 9, 10]","[11, 7, 9, 10, 15, 7, 10, 5, 8, 7]","[9, 11, 11, 10, 12, 11, 11, 16, 11, 12]","[14, 8, 10, 10, 9, 15, 8, 12, 18, 10]","[14, 19, 11, 10, 11, 10, 20, 7, 8, 6]","[10, 8, 8, 10, 13, 8, 18, 9, 7, 16]","[13, 3, 13, 16, 9, 10, 5, 12, 8, 17]","[9, 11, 11, 9, 11, 16, 9, 11, 14, 9]","[9, 12, 7, 13, 19, 13, 9, 7, 7, 12]","[8, 12, 8, 15, 7, 12, 9, 11, 11, 16]","[8, 8, 14, 10, 10, 8, 16, 12, 5, 10]","[9, 9, 14, 12, 7, 15, 8, 9, 14, 14]","[11, 10, 6, 16, 10, 8, 12, 8, 4, 7]"
11,"[3, 8, 5, 11, 6, 6, 7, 13, 8, 8]","[10, 6, 12, 8, 10, 6, 4, 7, 3, 1]","[3, 3, 4, 1, 6, 1, 5, 2, 2, 5]","[1, 5, 0, 4, 3, 8, 3, 3, 5, 3]","[0, 6, 5, 4, 2, 3, 4, 5, 6, 0]","[5, 3, 2, 4, 4, 1, 2, 2, 5, 3]","[3, 5, 1, 4, 1, 3, 2, 3, 0, 6]","[2, 4, 4, 3, 3, 4, 3, 4, 3, 2]","[4, 5, 2, 4, 4, 2, 3, 3, 5, 7]","[3, 2, 3, 4, 4, 5, 4, 1, 8, 6]","[5, 5, 3, 7, 2, 4, 6, 2, 5, 2]","[3, 3, 3, 0, 5, 2, 3, 3, 3, 2]","[5, 4, 2, 0, 3, 3, 4, 1, 6, 7]","[3, 3, 4, 0, 3, 6, 4, 4, 5, 3]","[2, 7, 2, 4, 5, 2, 5, 3, 3, 3]","[2, 5, 6, 2, 4, 3, 4, 5, 2, 4]","[5, 1, 5, 4, 2, 3, 6, 2, 3, 3]","[4, 2, 5, 3, 0, 5, 1, 6, 5, 4]","[3, 1, 3, 6, 4, 3, 4, 4, 2, 11]","[2, 3, 2, 2, 5, 4, 5, 1, 6, 2]","[6, 1, 6, 3, 3, 2, 6, 2, 2, 1]"
12,"[3, 2, 2, 2, 1, 1, 2, 2, 2, 3]","[2, 3, 1, 1, 3, 1, 3, 2, 0, 1]","[2, 1, 2, 1, 1, 0, 0, 3, 3, 3]","[0, 1, 1, 2, 1, 0, 2, 2, 0, 0]","[1, 1, 2, 0, 2, 0, 0, 2, 2, 0]","[1, 1, 0, 1, 1, 2, 1, 0, 2, 0]","[0, 1, 0, 1, 3, 3, 1, 1, 1, 3]","[0, 1, 1, 0, 3, 0, 2, 1, 1, 1]","[2, 2, 1, 0, 2, 0, 1, 2, 1, 2]","[3, 2, 0, 3, 0, 1, 0, 1, 1, 0]","[2, 1, 1, 0, 1, 4, 0, 2, 2, 0]","[0, 0, 0, 0, 0, 0, 2, 2, 1, 1]","[0, 2, 1, 2, 1, 1, 1, 0, 0, 3]","[0, 2, 0, 3, 0, 1, 2, 2, 0, 4]","[1, 0, 0, 1, 1, 3, 0, 1, 1, 0]","[1, 1, 1, 2, 0, 3, 1, 1, 2, 1]","[0, 2, 2, 3, 1, 2, 2, 1, 3, 2]","[0, 1, 0, 3, 1, 0, 1, 3, 1, 0]","[3, 3, 0, 1, 0, 2, 2, 0, 2, 2]","[2, 2, 1, 1, 1, 1, 2, 0, 1, 1]","[2, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
