size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,22927,17872,10637,13055,12194,13232,12932,12347,12618,12684,12483,12425,12698,12305,12497,12718,12186,12445,12467,12382,12172
4,6391,5161,4088,3750,3691,4886,3806,3481,4657,3566,3762,4486,3591,3643,4672,3647,3619,4669,3624,3630,4536
5,2187,1599,1118,1462,1286,1541,1394,1185,1387,1357,1259,1281,1377,1159,1317,1365,1170,1351,1404,1246,1313
6,625,539,349,409,391,406,479,397,391,411,350,379,428,388,388,432,380,401,425,354,393
7,190,162,135,125,108,150,129,87,142,113,120,144,112,100,148,108,113,134,107,119,131
8,74,57,43,45,35,44,47,33,49,50,41,45,42,40,42,49,28,47,56,30,34
9,25,12,14,6,7,9,12,11,10,12,15,10,10,10,18,11,21,16,12,13,12
10,10,0,4,2,2,3,6,3,2,7,2,3,2,7,4,4,4,5,8,2,3
11,5,2,1,1,1,1,3,3,5,1,1,0,2,3,2,1,2,0,0,2,1
12,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
