size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,21166,25524,19275,19429,21176,22188,20993,21859,21146,21522,21721,21734,21783,21409,21219,21040,21091,21853,21628,21545,21389
4,5423,6623,5255,5107,5590,5916,5833,5811,5620,5676,5607,5832,5534,5344,5474,5656,5477,5865,5547,6020,5761
5,1414,1760,1465,1858,1588,1699,1715,1506,1576,1518,1521,1463,1420,1502,1518,1537,1355,1628,1482,1478,1447
6,397,464,387,423,505,426,465,382,352,426,399,432,403,425,342,459,462,505,423,433,374
7,127,131,97,116,99,134,150,133,146,96,107,136,128,139,89,78,109,344,113,96,85
8,23,47,34,35,45,38,28,34,30,36,26,32,36,33,38,30,42,39,35,30,26
9,14,11,13,25,37,20,18,12,8,6,13,15,10,6,5,16,8,20,12,14,4
10,5,13,8,15,25,19,16,13,12,4,2,5,4,9,0,6,2,5,0,6,9
11,6,4,6,11,21,4,6,6,0,2,6,0,0,0,1,2,0,0,0,0,0
12,2,8,10,9,13,14,10,0,4,4,0,2,1,9,2,2,0,0,0,0,2
13,0,8,2,4,6,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0
14,0,2,4,0,6,2,0,2,0,2,0,0,1,0,2,0,0,1,0,0,0
15,0,0,4,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
16,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
