size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[28390, 28749, 28421, 28435, 28366, 28609, 28680, 28530, 28286, 28430]","[28455, 28362, 28567, 28252, 28390, 28085, 28070, 28508, 28427, 28223]","[21333, 21571, 21413, 21374, 21472, 21421, 21343, 21342, 21383, 21802]","[21508, 21509, 21611, 21551, 21381, 21489, 21400, 21616, 21355, 21545]","[21217, 21385, 21627, 21669, 21612, 21364, 21442, 21397, 21464, 21533]","[21402, 21595, 21575, 21257, 21200, 21186, 21717, 21323, 21074, 21313]","[21547, 21263, 21451, 21462, 21290, 21376, 21581, 21159, 21399, 21153]","[21227, 21325, 21314, 21488, 21350, 21280, 21469, 21485, 21407, 21359]","[21290, 21211, 21340, 21473, 21152, 21354, 21389, 21454, 21299, 21321]","[21265, 21446, 21289, 21332, 21557, 21119, 21173, 21315, 21097, 21138]","[21215, 21145, 21364, 21315, 21010, 21329, 21156, 21420, 21422, 21354]","[21363, 20969, 21060, 21296, 21394, 21135, 21453, 21356, 21219, 21463]","[21204, 21198, 21109, 21373, 21418, 21401, 21423, 21481, 21030, 21287]","[21131, 21099, 21301, 20913, 21157, 21086, 21425, 21402, 21179, 21301]","[20997, 21435, 21078, 21267, 21454, 21297, 21129, 21283, 21193, 21376]","[21417, 21156, 21178, 21253, 21197, 21353, 21088, 21209, 21587, 21108]","[21219, 21232, 21151, 21214, 21032, 21144, 21421, 21471, 21213, 21319]","[21260, 21076, 21337, 20853, 21024, 21311, 21116, 21177, 21154, 21288]","[21002, 21259, 21210, 21337, 21226, 21070, 21097, 21247, 20919, 21474]","[21227, 21530, 20952, 21274, 20998, 20901, 21110, 21284, 21258, 21033]","[21464, 20944, 21176, 20903, 21053, 20987, 21013, 21172, 21286, 21012]"
4,"[7295, 7364, 7328, 7427, 7375, 7517, 7292, 7343, 7374, 7349]","[7146, 7514, 7266, 7351, 7370, 7297, 7423, 7275, 7388, 7425]","[5569, 5523, 5623, 5592, 5573, 5460, 5543, 5527, 5567, 5551]","[5574, 5598, 5557, 5668, 5651, 5502, 5602, 5539, 5513, 5644]","[5576, 5499, 5606, 5638, 5522, 5601, 5595, 5598, 5480, 5555]","[5603, 5539, 5547, 5422, 5575, 5497, 5526, 5485, 5548, 5569]","[5704, 5520, 5563, 5577, 5487, 5465, 5427, 5590, 5522, 5575]","[5576, 5632, 5433, 5485, 5412, 5541, 5567, 5538, 5547, 5602]","[5522, 5361, 5468, 5425, 5675, 5551, 5510, 5450, 5472, 5557]","[5531, 5498, 5521, 5630, 5565, 5387, 5489, 5508, 5565, 5584]","[5497, 5612, 5525, 5584, 5430, 5546, 5527, 5484, 5528, 5611]","[5468, 5574, 5543, 5440, 5569, 5465, 5435, 5420, 5503, 5534]","[5524, 5503, 5469, 5562, 5481, 5527, 5602, 5437, 5543, 5723]","[5561, 5469, 5531, 5391, 5459, 5522, 5487, 5557, 5451, 5470]","[5478, 5390, 5333, 5473, 5459, 5480, 5469, 5463, 5467, 5506]","[5524, 5504, 5529, 5482, 5673, 5479, 5462, 5382, 5587, 5471]","[5389, 5579, 5523, 5378, 5499, 5575, 5502, 5545, 5573, 5490]","[5403, 5592, 5424, 5511, 5577, 5445, 5611, 5402, 5486, 5552]","[5486, 5620, 5415, 5543, 5466, 5565, 5619, 5587, 5512, 5411]","[5402, 5476, 5447, 5438, 5597, 5492, 5394, 5527, 5549, 5407]","[5512, 5441, 5484, 5479, 5330, 5464, 5460, 5509, 5389, 5560]"
5,"[1954, 1896, 1845, 1935, 1897, 1912, 1845, 1955, 1881, 2003]","[1872, 1854, 1948, 1836, 1863, 1885, 1961, 1945, 1949, 1864]","[1450, 1467, 1385, 1477, 1426, 1429, 1457, 1456, 1469, 1462]","[1392, 1454, 1466, 1485, 1450, 1436, 1435, 1479, 1482, 1546]","[1442, 1455, 1439, 1393, 1385, 1439, 1416, 1398, 1427, 1461]","[1401, 1415, 1453, 1429, 1510, 1416, 1525, 1521, 1425, 1470]","[1382, 1468, 1484, 1355, 1424, 1390, 1446, 1445, 1434, 1450]","[1431, 1406, 1449, 1413, 1380, 1407, 1480, 1433, 1493, 1459]","[1437, 1388, 1418, 1397, 1405, 1495, 1437, 1506, 1424, 1348]","[1411, 1370, 1357, 1400, 1388, 1428, 1402, 1369, 1491, 1447]","[1466, 1424, 1419, 1434, 1464, 1436, 1442, 1440, 1401, 1431]","[1451, 1317, 1363, 1428, 1387, 1449, 1417, 1365, 1441, 1421]","[1426, 1409, 1450, 1464, 1429, 1360, 1450, 1464, 1475, 1362]","[1436, 1418, 1394, 1327, 1444, 1360, 1484, 1437, 1336, 1518]","[1440, 1425, 1470, 1432, 1387, 1447, 1413, 1475, 1427, 1408]","[1443, 1412, 1411, 1453, 1393, 1345, 1465, 1372, 1342, 1499]","[1413, 1337, 1466, 1422, 1464, 1491, 1432, 1416, 1404, 1462]","[1432, 1374, 1476, 1363, 1371, 1419, 1459, 1459, 1418, 1381]","[1423, 1390, 1386, 1399, 1404, 1412, 1368, 1404, 1410, 1454]","[1456, 1374, 1399, 1476, 1394, 1439, 1386, 1431, 1400, 1460]","[1451, 1489, 1407, 1405, 1418, 1408, 1443, 1417, 1456, 1411]"
6,"[526, 471, 488, 484, 502, 500, 516, 465, 494, 529]","[473, 495, 481, 456, 511, 515, 496, 508, 533, 475]","[355, 398, 381, 403, 350, 361, 367, 358, 389, 368]","[402, 386, 370, 390, 359, 341, 379, 398, 419, 355]","[367, 385, 369, 395, 362, 377, 390, 335, 340, 357]","[377, 337, 364, 382, 351, 341, 374, 410, 364, 342]","[350, 357, 376, 371, 409, 366, 365, 355, 373, 380]","[414, 355, 355, 387, 348, 350, 358, 377, 409, 357]","[378, 337, 362, 376, 346, 383, 376, 384, 356, 365]","[341, 338, 370, 379, 378, 364, 391, 409, 334, 387]","[386, 401, 383, 355, 359, 421, 390, 363, 405, 363]","[342, 357, 368, 365, 348, 355, 384, 386, 371, 379]","[376, 356, 378, 388, 358, 366, 396, 372, 379, 347]","[402, 345, 378, 392, 393, 353, 359, 381, 371, 386]","[360, 363, 373, 362, 367, 395, 346, 371, 377, 370]","[363, 358, 366, 363, 371, 397, 386, 368, 384, 378]","[381, 358, 375, 360, 352, 374, 345, 391, 360, 361]","[363, 387, 344, 365, 370, 350, 383, 395, 394, 392]","[376, 368, 383, 402, 403, 350, 378, 372, 324, 392]","[352, 380, 388, 365, 385, 343, 391, 353, 409, 407]","[385, 368, 339, 375, 353, 348, 366, 381, 392, 352]"
7,"[138, 129, 149, 108, 132, 132, 133, 104, 139, 138]","[127, 122, 132, 137, 130, 113, 127, 138, 137, 129]","[116, 90, 107, 102, 107, 76, 95, 86, 96, 102]","[92, 104, 120, 101, 84, 84, 97, 78, 89, 91]","[97, 88, 104, 92, 113, 71, 90, 105, 97, 86]","[84, 95, 95, 111, 107, 96, 118, 100, 80, 80]","[96, 105, 96, 95, 94, 92, 86, 82, 104, 107]","[104, 91, 100, 98, 111, 90, 92, 98, 92, 94]","[82, 102, 114, 103, 88, 92, 83, 107, 83, 73]","[95, 109, 96, 94, 94, 92, 100, 94, 107, 107]","[104, 90, 79, 79, 86, 93, 100, 114, 89, 87]","[105, 91, 110, 102, 93, 91, 84, 96, 95, 88]","[110, 99, 102, 102, 83, 97, 109, 92, 104, 96]","[79, 83, 89, 93, 118, 112, 106, 90, 103, 95]","[98, 83, 84, 99, 120, 105, 91, 112, 85, 96]","[85, 92, 88, 95, 76, 102, 104, 96, 94, 112]","[103, 99, 97, 108, 89, 100, 91, 97, 93, 108]","[82, 81, 78, 98, 101, 78, 107, 93, 88, 110]","[94, 92, 93, 96, 94, 90, 97, 106, 78, 109]","[97, 80, 78, 95, 101, 76, 84, 86, 92, 97]","[99, 95, 93, 108, 99, 93, 80, 111, 96, 96]"
8,"[27, 23, 32, 25, 29, 30, 37, 46, 33, 29]","[24, 37, 33, 30, 24, 40, 36, 28, 30, 37]","[24, 17, 21, 21, 12, 21, 31, 34, 25, 26]","[23, 29, 24, 30, 23, 18, 25, 22, 15, 31]","[22, 22, 35, 36, 25, 29, 31, 24, 18, 35]","[30, 32, 26, 22, 26, 31, 23, 26, 21, 24]","[27, 22, 33, 23, 28, 26, 17, 26, 21, 21]","[25, 30, 26, 23, 13, 40, 19, 26, 24, 25]","[28, 30, 12, 25, 14, 24, 27, 26, 27, 23]","[29, 26, 34, 35, 21, 23, 26, 17, 19, 27]","[28, 29, 20, 22, 18, 21, 19, 28, 24, 31]","[29, 31, 26, 34, 24, 20, 36, 23, 35, 21]","[12, 24, 22, 24, 25, 19, 17, 24, 27, 19]","[20, 26, 23, 26, 24, 32, 18, 30, 24, 30]","[34, 28, 15, 32, 26, 19, 25, 26, 25, 34]","[19, 25, 20, 25, 18, 23, 25, 25, 24, 21]","[17, 32, 22, 32, 26, 28, 24, 26, 23, 29]","[26, 18, 24, 25, 32, 22, 24, 31, 15, 25]","[26, 30, 27, 24, 21, 27, 31, 22, 15, 28]","[16, 27, 26, 15, 34, 23, 22, 21, 22, 27]","[20, 21, 26, 21, 22, 19, 19, 28, 34, 19]"
9,"[5, 7, 9, 12, 6, 13, 10, 13, 11, 6]","[8, 7, 4, 7, 11, 8, 6, 12, 7, 10]","[8, 3, 2, 7, 6, 3, 6, 4, 4, 6]","[11, 11, 4, 5, 5, 7, 7, 4, 7, 7]","[6, 9, 1, 8, 3, 2, 3, 5, 4, 4]","[2, 9, 7, 8, 8, 9, 11, 9, 0, 6]","[6, 7, 9, 7, 7, 5, 5, 9, 5, 5]","[7, 5, 4, 7, 5, 3, 7, 9, 9, 12]","[1, 5, 6, 5, 4, 9, 5, 8, 6, 4]","[12, 8, 6, 6, 6, 5, 12, 10, 7, 7]","[12, 5, 7, 7, 4, 9, 7, 11, 4, 5]","[3, 3, 7, 8, 8, 4, 4, 3, 3, 2]","[5, 5, 8, 2, 9, 5, 4, 9, 7, 6]","[8, 4, 7, 12, 9, 6, 5, 7, 11, 9]","[6, 3, 6, 4, 7, 8, 7, 6, 6, 4]","[8, 8, 6, 6, 3, 5, 9, 5, 6, 3]","[5, 10, 10, 7, 6, 7, 7, 9, 5, 8]","[11, 8, 7, 6, 4, 6, 7, 7, 9, 6]","[10, 1, 7, 10, 5, 6, 6, 5, 5, 5]","[2, 6, 14, 8, 11, 6, 4, 8, 5, 4]","[5, 7, 7, 10, 3, 10, 10, 4, 7, 5]"
10,"[2, 2, 0, 1, 2, 1, 1, 2, 4, 1]","[4, 2, 3, 6, 3, 2, 2, 1, 1, 4]","[3, 2, 4, 0, 2, 1, 1, 4, 1, 1]","[2, 3, 1, 2, 4, 2, 2, 1, 1, 3]","[1, 0, 4, 2, 2, 3, 1, 1, 2, 2]","[4, 2, 0, 2, 3, 1, 1, 3, 0, 4]","[0, 2, 1, 2, 1, 4, 0, 4, 0, 0]","[1, 3, 2, 5, 2, 1, 3, 2, 2, 2]","[2, 1, 0, 1, 1, 2, 2, 4, 1, 3]","[1, 4, 0, 2, 0, 2, 2, 0, 1, 1]","[0, 1, 2, 2, 1, 4, 2, 0, 3, 1]","[1, 0, 1, 0, 2, 4, 0, 2, 2, 1]","[0, 3, 2, 1, 2, 0, 3, 5, 3, 4]","[0, 3, 0, 3, 2, 2, 3, 1, 2, 2]","[0, 1, 2, 1, 1, 1, 1, 1, 2, 1]","[3, 2, 1, 2, 1, 1, 1, 0, 2, 1]","[1, 1, 4, 1, 2, 1, 5, 1, 2, 3]","[0, 1, 2, 0, 1, 1, 2, 0, 0, 2]","[1, 1, 3, 1, 0, 0, 2, 0, 0, 0]","[2, 2, 1, 2, 2, 1, 0, 1, 5, 5]","[0, 2, 0, 1, 2, 3, 3, 1, 0, 3]"
11,"[0, 0, 2, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[1, 2, 0, 1, 0, 0, 1, 0, 0, 0]","[0, 2, 2, 0, 0, 1, 0, 0, 2, 3]","[1, 1, 1, 0, 2, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 0, 2, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 2, 0, 1, 0, 1, 0, 2, 0, 1]","[2, 0, 1, 0, 0, 1, 1, 2, 0, 0]","[1, 0, 2, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 2, 2, 1]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
12,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
