size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[1549, 1506, 1592, 1573, 1597, 1605, 1569, 1598, 1495, 1540]","[1639, 1688, 1658, 1567, 1679, 1640, 1643, 1700, 1666, 1657]","[1303, 1304, 1234, 1299, 1309, 1275, 1291, 1312, 1245, 1278]","[1329, 1323, 1177, 1245, 1249, 1190, 1248, 1239, 1207, 1237]","[1189, 1254, 1212, 1257, 1245, 1246, 1347, 1220, 1247, 1269]","[1266, 1244, 1201, 1264, 1245, 1273, 1221, 1264, 1228, 1265]","[1320, 1278, 1268, 1235, 1257, 1314, 1287, 1253, 1260, 1287]","[1278, 1250, 1221, 1252, 1253, 1268, 1233, 1287, 1261, 1215]","[1239, 1211, 1256, 1271, 1253, 1225, 1245, 1259, 1314, 1230]","[1297, 1228, 1324, 1303, 1244, 1276, 1232, 1237, 1305, 1225]","[1233, 1256, 1231, 1246, 1280, 1250, 1209, 1241, 1259, 1268]","[1257, 1229, 1269, 1280, 1233, 1217, 1212, 1242, 1312, 1264]","[1246, 1293, 1224, 1179, 1192, 1244, 1258, 1250, 1284, 1271]","[1206, 1215, 1245, 1212, 1302, 1275, 1195, 1217, 1253, 1262]","[1250, 1236, 1248, 1223, 1265, 1262, 1237, 1185, 1227, 1254]","[1316, 1225, 1248, 1212, 1278, 1259, 1228, 1271, 1247, 1206]","[1304, 1226, 1260, 1270, 1244, 1173, 1289, 1261, 1195, 1221]","[1215, 1278, 1221, 1196, 1263, 1207, 1225, 1200, 1239, 1217]","[1230, 1208, 1254, 1210, 1210, 1215, 1283, 1252, 1275, 1225]","[1218, 1203, 1284, 1219, 1204, 1212, 1279, 1296, 1264, 1247]","[1229, 1222, 1290, 1303, 1187, 1240, 1268, 1256, 1212, 1242]"
4,"[397, 423, 404, 412, 388, 419, 391, 387, 393, 393]","[445, 430, 452, 470, 414, 430, 403, 443, 432, 428]","[376, 342, 334, 337, 342, 359, 338, 313, 335, 302]","[330, 333, 352, 333, 333, 338, 334, 310, 314, 339]","[309, 356, 316, 302, 339, 307, 335, 323, 315, 336]","[314, 311, 292, 290, 277, 341, 318, 332, 340, 313]","[369, 342, 327, 321, 316, 325, 327, 356, 310, 345]","[331, 364, 344, 349, 287, 309, 309, 368, 334, 338]","[323, 326, 362, 323, 332, 361, 329, 344, 360, 325]","[305, 367, 345, 365, 302, 335, 338, 357, 336, 300]","[351, 361, 336, 328, 314, 344, 323, 342, 343, 299]","[307, 338, 299, 284, 295, 316, 319, 322, 335, 314]","[341, 342, 315, 336, 314, 350, 334, 337, 311, 344]","[311, 307, 314, 333, 334, 339, 339, 341, 314, 341]","[323, 319, 325, 317, 293, 337, 348, 336, 331, 335]","[340, 321, 320, 331, 327, 325, 325, 336, 297, 329]","[321, 319, 330, 311, 310, 334, 305, 337, 344, 355]","[335, 307, 314, 323, 281, 353, 333, 280, 318, 333]","[325, 342, 332, 316, 336, 298, 309, 319, 356, 298]","[355, 337, 321, 318, 284, 320, 308, 324, 340, 317]","[277, 361, 317, 312, 316, 301, 287, 296, 299, 326]"
5,"[109, 100, 89, 107, 108, 106, 114, 92, 113, 102]","[109, 103, 114, 105, 97, 119, 115, 125, 108, 107]","[93, 78, 75, 108, 83, 104, 93, 97, 73, 88]","[81, 96, 92, 80, 87, 65, 95, 96, 83, 104]","[78, 90, 90, 90, 72, 79, 71, 79, 84, 89]","[86, 85, 96, 75, 87, 78, 92, 92, 81, 69]","[87, 86, 92, 97, 92, 80, 76, 97, 76, 84]","[83, 93, 90, 86, 85, 93, 80, 97, 81, 93]","[88, 93, 101, 96, 92, 78, 79, 95, 88, 82]","[95, 95, 78, 94, 94, 93, 88, 91, 82, 83]","[83, 82, 96, 83, 100, 66, 93, 66, 90, 81]","[77, 98, 92, 79, 79, 75, 89, 66, 71, 101]","[78, 66, 89, 76, 86, 88, 89, 88, 91, 83]","[96, 95, 96, 76, 88, 81, 87, 90, 101, 91]","[94, 92, 90, 100, 103, 90, 105, 80, 70, 91]","[81, 80, 100, 106, 92, 90, 79, 83, 89, 82]","[71, 66, 90, 68, 70, 90, 90, 78, 91, 81]","[82, 102, 93, 74, 85, 88, 74, 88, 95, 71]","[78, 88, 89, 77, 73, 92, 74, 88, 91, 85]","[90, 82, 82, 91, 73, 83, 84, 91, 79, 84]","[85, 99, 74, 73, 96, 93, 95, 95, 92, 87]"
6,"[38, 24, 26, 21, 27, 26, 27, 19, 26, 26]","[35, 38, 34, 29, 21, 28, 22, 31, 29, 34]","[27, 24, 31, 27, 22, 22, 24, 24, 23, 29]","[25, 23, 19, 29, 21, 27, 25, 18, 16, 20]","[18, 23, 20, 15, 24, 22, 19, 27, 30, 21]","[22, 25, 24, 25, 20, 28, 27, 24, 26, 24]","[26, 21, 24, 17, 10, 19, 26, 24, 17, 17]","[18, 24, 23, 25, 27, 28, 25, 22, 24, 35]","[20, 21, 20, 24, 26, 19, 23, 14, 30, 16]","[25, 18, 27, 19, 26, 19, 34, 19, 20, 29]","[26, 20, 21, 29, 20, 24, 19, 20, 17, 20]","[21, 19, 18, 26, 23, 32, 30, 26, 17, 10]","[21, 23, 32, 16, 24, 27, 27, 16, 21, 24]","[26, 32, 24, 15, 23, 30, 24, 22, 20, 15]","[19, 22, 19, 21, 21, 21, 25, 23, 29, 20]","[18, 25, 19, 28, 18, 22, 19, 19, 28, 16]","[26, 25, 28, 23, 16, 22, 23, 24, 19, 28]","[24, 23, 23, 25, 18, 24, 24, 22, 20, 20]","[14, 25, 19, 18, 23, 24, 17, 22, 19, 27]","[26, 22, 20, 14, 14, 20, 22, 26, 19, 22]","[25, 23, 20, 25, 16, 31, 20, 27, 17, 18]"
7,"[12, 4, 5, 10, 9, 5, 10, 7, 8, 9]","[5, 12, 6, 3, 10, 6, 8, 6, 5, 3]","[8, 4, 7, 9, 3, 6, 6, 5, 7, 8]","[12, 14, 6, 5, 12, 4, 6, 10, 4, 7]","[3, 6, 5, 8, 4, 6, 4, 4, 8, 7]","[4, 5, 6, 5, 8, 5, 6, 4, 4, 10]","[6, 6, 6, 4, 9, 12, 3, 3, 5, 8]","[1, 8, 6, 7, 8, 9, 5, 4, 3, 6]","[3, 3, 7, 9, 5, 5, 6, 6, 4, 10]","[5, 4, 4, 8, 7, 5, 3, 5, 2, 4]","[4, 4, 5, 3, 10, 6, 8, 4, 0, 2]","[9, 7, 5, 6, 5, 4, 6, 3, 4, 4]","[5, 6, 8, 2, 2, 6, 1, 9, 6, 5]","[2, 3, 3, 8, 5, 5, 5, 4, 3, 7]","[7, 5, 4, 7, 5, 2, 6, 4, 5, 4]","[5, 5, 6, 3, 2, 5, 7, 4, 7, 2]","[6, 9, 7, 6, 6, 5, 3, 7, 6, 12]","[2, 3, 7, 9, 9, 3, 3, 2, 7, 7]","[3, 6, 4, 6, 3, 4, 8, 5, 5, 2]","[4, 3, 8, 6, 6, 7, 9, 4, 7, 7]","[2, 2, 6, 4, 4, 9, 6, 6, 5, 5]"
8,"[0, 3, 4, 1, 0, 2, 2, 2, 2, 2]","[3, 2, 3, 1, 3, 3, 1, 5, 3, 1]","[2, 0, 2, 2, 4, 0, 5, 2, 1, 0]","[2, 1, 0, 1, 0, 3, 2, 2, 0, 1]","[1, 3, 2, 1, 3, 2, 4, 1, 1, 2]","[0, 1, 1, 1, 3, 0, 4, 0, 2, 2]","[2, 2, 0, 2, 2, 3, 2, 5, 1, 2]","[2, 1, 0, 2, 0, 2, 3, 2, 3, 0]","[0, 3, 1, 1, 1, 4, 4, 1, 0, 0]","[3, 2, 3, 1, 3, 3, 1, 2, 1, 3]","[1, 0, 1, 2, 5, 1, 0, 4, 2, 1]","[0, 1, 3, 1, 1, 1, 2, 0, 0, 0]","[1, 2, 0, 2, 2, 0, 2, 1, 4, 1]","[1, 1, 0, 1, 1, 0, 3, 2, 3, 0]","[3, 0, 2, 2, 1, 3, 2, 1, 0, 1]","[2, 1, 3, 1, 2, 2, 2, 0, 2, 1]","[3, 2, 1, 1, 2, 0, 0, 0, 3, 2]","[4, 1, 1, 1, 0, 2, 2, 0, 0, 0]","[0, 2, 1, 3, 0, 1, 6, 2, 4, 1]","[1, 0, 4, 1, 3, 2, 0, 0, 1, 2]","[0, 2, 2, 3, 3, 2, 0, 1, 3, 0]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 2, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[2, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 2, 0, 0]","[0, 0, 1, 0, 2, 0, 0, 0, 0, 0]","[0, 2, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[1, 0, 2, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 2, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 1, 0, 2, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
10,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
