size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[422, 454, 429, 433, 459, 415, 427, 442, 438, 439]","[467, 502, 445, 490, 482, 450, 474, 431, 457, 450]","[365, 363, 385, 372, 375, 363, 347, 394, 389, 357]","[368, 386, 364, 348, 375, 383, 346, 368, 356, 351]","[339, 342, 330, 341, 342, 315, 334, 318, 339, 346]","[376, 366, 373, 378, 356, 352, 343, 357, 363, 355]","[351, 276, 389, 357, 394, 345, 369, 343, 336, 374]","[347, 344, 355, 311, 332, 358, 330, 370, 341, 346]","[344, 361, 380, 356, 349, 363, 379, 376, 364, 397]","[338, 308, 351, 352, 377, 343, 338, 349, 320, 392]","[347, 334, 359, 387, 370, 318, 362, 364, 394, 347]","[355, 323, 404, 337, 381, 359, 351, 365, 357, 325]","[376, 400, 377, 326, 365, 361, 340, 359, 355, 319]","[338, 388, 330, 325, 337, 338, 316, 356, 395, 352]","[352, 350, 385, 313, 344, 353, 335, 335, 334, 373]","[344, 332, 345, 344, 347, 368, 330, 372, 348, 327]","[332, 308, 358, 343, 318, 348, 377, 337, 366, 354]","[355, 346, 350, 347, 384, 336, 356, 366, 348, 368]","[329, 353, 359, 323, 341, 337, 343, 315, 340, 361]","[331, 320, 340, 337, 330, 343, 335, 347, 304, 377]","[335, 370, 347, 359, 341, 361, 309, 319, 340, 344]"
4,"[119, 113, 92, 113, 106, 107, 140, 115, 123, 103]","[123, 118, 107, 137, 135, 118, 145, 116, 114, 111]","[106, 90, 100, 102, 79, 88, 100, 114, 95, 109]","[108, 95, 101, 96, 86, 89, 72, 98, 98, 86]","[107, 81, 86, 103, 107, 98, 97, 90, 97, 88]","[96, 89, 101, 96, 83, 81, 91, 87, 95, 89]","[89, 80, 79, 85, 81, 86, 90, 90, 83, 100]","[100, 99, 85, 112, 86, 67, 99, 81, 103, 85]","[80, 95, 90, 87, 87, 101, 100, 104, 106, 81]","[106, 86, 84, 86, 82, 107, 89, 96, 89, 82]","[86, 98, 80, 87, 81, 90, 94, 102, 92, 83]","[86, 112, 109, 88, 94, 94, 112, 97, 84, 103]","[89, 101, 83, 99, 99, 97, 89, 92, 96, 96]","[88, 93, 112, 102, 108, 89, 109, 94, 103, 89]","[72, 90, 79, 97, 90, 97, 93, 89, 98, 100]","[94, 86, 81, 81, 91, 93, 106, 93, 106, 87]","[88, 86, 81, 108, 79, 98, 95, 82, 95, 94]","[75, 90, 108, 104, 82, 112, 105, 91, 94, 85]","[92, 93, 116, 101, 86, 98, 81, 98, 88, 82]","[88, 115, 72, 91, 100, 75, 100, 83, 92, 92]","[83, 94, 81, 97, 80, 92, 90, 75, 93, 102]"
5,"[33, 34, 42, 33, 22, 38, 30, 36, 33, 34]","[37, 27, 30, 25, 28, 33, 39, 37, 39, 34]","[30, 29, 27, 26, 27, 16, 31, 30, 20, 30]","[23, 19, 30, 25, 31, 21, 22, 19, 27, 25]","[24, 23, 29, 31, 27, 25, 22, 23, 19, 24]","[19, 22, 22, 21, 22, 30, 28, 34, 26, 18]","[27, 28, 21, 22, 24, 21, 37, 15, 23, 24]","[16, 26, 27, 19, 14, 27, 21, 33, 26, 27]","[18, 17, 24, 37, 28, 21, 27, 30, 21, 19]","[20, 18, 25, 24, 30, 23, 36, 33, 29, 20]","[24, 17, 28, 19, 15, 17, 27, 30, 22, 18]","[17, 19, 19, 23, 22, 27, 21, 33, 22, 22]","[26, 20, 21, 17, 22, 26, 20, 28, 30, 20]","[32, 21, 21, 16, 18, 16, 15, 34, 26, 28]","[35, 26, 17, 17, 19, 23, 28, 20, 21, 26]","[24, 24, 28, 25, 26, 29, 34, 28, 35, 25]","[25, 23, 23, 17, 21, 29, 26, 33, 24, 17]","[20, 15, 19, 18, 14, 21, 28, 19, 16, 24]","[23, 22, 25, 15, 17, 24, 21, 20, 32, 21]","[23, 23, 25, 22, 21, 20, 23, 17, 27, 24]","[31, 23, 22, 26, 27, 17, 21, 19, 14, 26]"
6,"[10, 2, 6, 7, 7, 7, 12, 8, 9, 5]","[10, 9, 6, 6, 10, 7, 7, 12, 10, 10]","[7, 7, 3, 7, 5, 2, 7, 7, 8, 10]","[3, 6, 9, 7, 7, 7, 5, 7, 10, 9]","[8, 10, 4, 9, 3, 5, 3, 5, 5, 9]","[7, 7, 3, 6, 6, 1, 6, 5, 8, 8]","[3, 7, 6, 5, 2, 7, 9, 2, 6, 7]","[2, 6, 4, 6, 7, 8, 3, 11, 7, 6]","[8, 5, 10, 6, 8, 11, 7, 0, 10, 3]","[5, 10, 11, 14, 7, 6, 6, 7, 7, 8]","[3, 5, 7, 6, 8, 5, 7, 4, 6, 8]","[9, 9, 3, 5, 7, 5, 4, 4, 10, 6]","[12, 6, 5, 6, 4, 6, 4, 6, 8, 7]","[3, 11, 7, 4, 6, 9, 5, 3, 6, 6]","[8, 6, 9, 11, 8, 7, 6, 5, 5, 4]","[3, 1, 4, 6, 5, 4, 9, 9, 2, 7]","[6, 3, 6, 7, 7, 11, 5, 7, 8, 7]","[5, 3, 4, 9, 5, 4, 10, 6, 10, 7]","[5, 4, 10, 7, 6, 12, 3, 3, 12, 7]","[11, 8, 2, 3, 11, 7, 6, 4, 3, 1]","[5, 9, 9, 5, 6, 6, 7, 5, 5, 9]"
7,"[2, 1, 3, 0, 3, 0, 3, 0, 3, 2]","[5, 1, 6, 4, 3, 2, 1, 1, 2, 2]","[2, 2, 1, 1, 2, 1, 2, 2, 5, 1]","[4, 0, 2, 1, 2, 1, 2, 1, 1, 3]","[5, 3, 2, 3, 1, 1, 0, 3, 1, 1]","[3, 2, 1, 0, 5, 5, 3, 0, 1, 0]","[1, 1, 0, 3, 2, 3, 0, 2, 0, 4]","[2, 1, 0, 0, 4, 2, 3, 2, 2, 2]","[4, 3, 2, 1, 0, 1, 2, 1, 1, 0]","[1, 1, 4, 2, 3, 1, 0, 2, 2, 2]","[3, 0, 3, 1, 2, 5, 2, 1, 1, 3]","[1, 1, 2, 1, 2, 1, 2, 0, 1, 6]","[2, 2, 1, 1, 3, 4, 2, 0, 1, 3]","[1, 1, 2, 4, 0, 2, 0, 1, 1, 3]","[1, 3, 2, 1, 1, 0, 1, 1, 1, 1]","[3, 3, 0, 3, 1, 3, 1, 1, 1, 1]","[0, 0, 1, 0, 1, 3, 3, 0, 0, 0]","[3, 1, 1, 5, 2, 1, 0, 0, 1, 3]","[1, 2, 1, 1, 1, 4, 1, 2, 0, 2]","[4, 1, 2, 2, 2, 5, 1, 2, 0, 0]","[5, 3, 2, 2, 1, 1, 2, 0, 1, 0]"
8,"[0, 0, 0, 0, 0, 1, 2, 1, 0, 1]","[0, 1, 1, 2, 0, 0, 0, 0, 1, 1]","[0, 2, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 1, 2, 0, 0]","[0, 1, 1, 0, 2, 2, 0, 0, 2, 0]","[0, 3, 1, 0, 0, 0, 3, 1, 0, 0]","[1, 1, 1, 0, 1, 2, 0, 1, 0, 2]","[1, 0, 0, 0, 1, 2, 0, 0, 0, 1]","[0, 0, 0, 0, 3, 0, 2, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 2, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]","[0, 1, 0, 2, 1, 1, 2, 0, 0, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 2, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 2, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 2, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
