size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[1120, 1065, 1122, 1126, 1131, 1148, 1120, 1159, 1103, 1111]","[1174, 1210, 1191, 1129, 1186, 1156, 1171, 1216, 1178, 1166]","[943, 911, 881, 952, 924, 938, 952, 975, 905, 943]","[930, 958, 869, 879, 900, 849, 920, 897, 856, 859]","[833, 899, 852, 918, 919, 934, 924, 887, 885, 916]","[892, 893, 878, 909, 879, 913, 890, 922, 883, 897]","[950, 923, 916, 895, 908, 943, 916, 910, 893, 907]","[914, 882, 896, 871, 913, 935, 878, 923, 894, 850]","[901, 877, 874, 910, 903, 902, 876, 901, 972, 885]","[963, 893, 931, 931, 896, 912, 897, 868, 960, 863]","[873, 883, 880, 884, 932, 915, 859, 895, 910, 934]","[911, 863, 939, 909, 864, 875, 864, 877, 918, 923]","[878, 917, 879, 847, 861, 893, 883, 876, 926, 899]","[860, 843, 907, 871, 943, 923, 857, 865, 886, 922]","[892, 908, 911, 862, 911, 897, 866, 840, 891, 896]","[944, 857, 869, 876, 876, 912, 875, 906, 903, 850]","[928, 877, 905, 905, 893, 839, 906, 910, 866, 845]","[872, 910, 884, 852, 909, 879, 869, 827, 890, 852]","[852, 878, 881, 878, 873, 849, 924, 921, 921, 870]","[874, 853, 899, 867, 870, 867, 934, 913, 896, 881]","[860, 867, 926, 935, 842, 885, 914, 904, 867, 888]"
4,"[289, 300, 296, 294, 271, 312, 279, 273, 283, 286]","[304, 308, 325, 339, 296, 298, 270, 306, 300, 315]","[268, 246, 231, 245, 240, 258, 241, 226, 226, 217]","[240, 247, 248, 240, 239, 244, 247, 218, 217, 246]","[230, 245, 237, 224, 239, 217, 227, 233, 242, 240]","[220, 231, 217, 212, 197, 234, 231, 224, 241, 211]","[273, 229, 235, 220, 225, 229, 244, 258, 223, 257]","[260, 260, 255, 249, 198, 233, 223, 252, 231, 237]","[229, 245, 249, 225, 234, 252, 232, 262, 269, 228]","[217, 270, 244, 261, 200, 238, 243, 257, 258, 223]","[248, 262, 243, 237, 228, 251, 229, 256, 235, 218]","[227, 224, 222, 207, 211, 222, 233, 223, 248, 234]","[249, 237, 219, 242, 229, 244, 234, 237, 216, 259]","[218, 219, 216, 260, 242, 242, 247, 245, 243, 241]","[226, 220, 238, 223, 209, 224, 252, 234, 238, 246]","[234, 212, 228, 238, 234, 238, 228, 228, 219, 228]","[232, 223, 232, 210, 233, 247, 232, 246, 263, 258]","[236, 230, 228, 236, 217, 247, 247, 208, 219, 236]","[240, 240, 247, 218, 245, 219, 216, 228, 253, 224]","[251, 248, 219, 230, 202, 218, 244, 225, 251, 230]","[202, 249, 222, 229, 232, 221, 208, 202, 226, 230]"
5,"[84, 65, 72, 74, 87, 84, 84, 68, 78, 78]","[81, 77, 79, 79, 67, 93, 77, 92, 84, 68]","[76, 57, 58, 79, 62, 65, 68, 78, 57, 63]","[59, 62, 59, 59, 61, 43, 68, 67, 61, 77]","[54, 63, 61, 66, 50, 58, 49, 62, 54, 71]","[58, 61, 76, 52, 68, 58, 65, 65, 57, 56]","[66, 59, 67, 71, 70, 57, 58, 70, 57, 60]","[65, 68, 62, 58, 64, 68, 57, 68, 53, 67]","[62, 69, 66, 70, 60, 53, 55, 66, 59, 67]","[72, 62, 51, 69, 67, 66, 67, 64, 61, 60]","[62, 58, 81, 58, 69, 44, 71, 49, 65, 55]","[58, 70, 68, 54, 53, 49, 68, 39, 53, 74]","[55, 54, 59, 53, 63, 62, 60, 63, 65, 61]","[72, 67, 72, 51, 55, 56, 64, 57, 61, 64]","[68, 64, 65, 75, 81, 72, 71, 54, 52, 64]","[53, 61, 62, 76, 71, 66, 59, 56, 60, 59]","[48, 50, 66, 52, 48, 62, 63, 53, 76, 57]","[59, 83, 76, 52, 66, 57, 52, 68, 68, 57]","[56, 70, 61, 55, 49, 69, 51, 64, 61, 58]","[76, 63, 60, 72, 48, 60, 63, 63, 55, 63]","[68, 75, 46, 54, 68, 73, 70, 65, 69, 66]"
6,"[27, 22, 17, 14, 21, 19, 17, 16, 19, 16]","[25, 23, 25, 25, 14, 23, 16, 26, 22, 26]","[21, 16, 26, 19, 17, 19, 17, 16, 15, 18]","[18, 16, 16, 23, 13, 21, 21, 12, 9, 15]","[13, 16, 13, 9, 17, 17, 14, 13, 24, 18]","[18, 16, 20, 20, 16, 21, 15, 17, 19, 19]","[21, 17, 16, 14, 6, 13, 25, 19, 15, 12]","[14, 23, 17, 20, 18, 22, 19, 16, 19, 27]","[15, 19, 12, 17, 20, 16, 16, 12, 24, 13]","[16, 17, 22, 13, 24, 15, 27, 14, 15, 17]","[17, 15, 17, 17, 17, 22, 16, 17, 13, 13]","[13, 14, 11, 19, 19, 22, 20, 21, 13, 9]","[11, 14, 21, 10, 17, 20, 16, 13, 17, 20]","[19, 20, 18, 10, 15, 19, 17, 18, 12, 9]","[12, 16, 15, 19, 15, 17, 19, 17, 21, 12]","[11, 19, 16, 24, 11, 16, 12, 11, 19, 9]","[22, 17, 19, 15, 13, 13, 16, 17, 14, 20]","[17, 20, 18, 19, 13, 19, 20, 13, 17, 15]","[10, 16, 11, 13, 21, 20, 12, 17, 12, 16]","[15, 15, 15, 10, 9, 13, 15, 15, 13, 17]","[17, 14, 14, 18, 12, 17, 11, 24, 11, 15]"
7,"[8, 3, 4, 9, 8, 4, 5, 5, 6, 7]","[4, 11, 5, 2, 7, 3, 7, 4, 4, 3]","[6, 4, 5, 8, 3, 4, 5, 4, 2, 5]","[6, 13, 5, 4, 8, 4, 5, 7, 2, 4]","[1, 6, 3, 7, 2, 5, 3, 3, 7, 7]","[3, 2, 4, 5, 7, 4, 6, 4, 1, 8]","[4, 3, 3, 4, 7, 10, 2, 3, 2, 8]","[1, 6, 5, 4, 6, 5, 3, 3, 2, 2]","[1, 1, 5, 6, 3, 4, 3, 4, 4, 8]","[4, 2, 3, 5, 5, 3, 3, 4, 2, 1]","[2, 3, 4, 2, 9, 3, 3, 3, 0, 1]","[7, 5, 5, 4, 4, 1, 3, 3, 4, 3]","[4, 4, 5, 2, 2, 5, 1, 7, 6, 5]","[1, 0, 2, 5, 4, 5, 5, 4, 3, 5]","[2, 5, 3, 5, 1, 2, 4, 3, 2, 4]","[4, 4, 5, 1, 1, 4, 4, 4, 3, 0]","[5, 7, 4, 5, 5, 1, 2, 3, 3, 8]","[0, 2, 6, 5, 6, 2, 3, 1, 6, 7]","[1, 6, 4, 5, 1, 4, 6, 4, 2, 1]","[4, 2, 6, 3, 5, 5, 8, 3, 6, 5]","[2, 1, 5, 4, 2, 8, 4, 3, 3, 4]"
8,"[0, 2, 3, 1, 0, 1, 0, 1, 2, 1]","[3, 2, 2, 1, 3, 3, 1, 5, 3, 1]","[1, 0, 2, 0, 2, 0, 5, 1, 1, 0]","[1, 1, 0, 0, 0, 3, 1, 0, 0, 0]","[1, 3, 1, 1, 3, 1, 3, 0, 1, 1]","[0, 1, 0, 1, 1, 0, 4, 0, 2, 1]","[2, 1, 0, 2, 2, 1, 1, 5, 0, 1]","[2, 1, 0, 1, 0, 2, 2, 2, 3, 0]","[0, 3, 1, 0, 1, 1, 2, 1, 0, 0]","[2, 1, 1, 1, 2, 3, 0, 2, 1, 1]","[1, 0, 0, 2, 2, 1, 0, 3, 2, 1]","[0, 1, 3, 0, 1, 1, 2, 0, 0, 0]","[1, 1, 0, 2, 1, 0, 1, 1, 3, 1]","[1, 1, 0, 1, 0, 0, 2, 0, 2, 0]","[3, 0, 1, 2, 0, 2, 1, 1, 0, 1]","[2, 1, 2, 1, 1, 2, 1, 0, 2, 1]","[3, 2, 1, 1, 2, 0, 0, 0, 2, 0]","[2, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[0, 1, 0, 3, 0, 1, 5, 0, 4, 0]","[1, 0, 3, 0, 2, 1, 0, 0, 0, 1]","[0, 2, 1, 2, 2, 0, 0, 0, 3, 0]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 2, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[0, 0, 1, 0, 2, 0, 0, 0, 0, 0]","[0, 2, 1, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 1, 0, 2, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
