size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.9139344262295082,1.0,1.0510204081632653,1.035,0.9414893617021277,1.0890052356020943,0.9572192513368984,0.9086021505376344,1.1147540983606556,1.092896174863388,0.9621621621621622,1.0324324324324323,0.8952879581151832,1.1467391304347827,0.9553072625698324,0.9210526315789473,0.9259259259259259,0.8979591836734694,0.9548022598870056,1.0601092896174864,0.9627659574468085
4,0.9866666666666667,1.0769230769230769,1.0384615384615385,1.1296296296296295,1.0178571428571428,1.4807692307692308,0.9074074074074074,1.0535714285714286,0.8653846153846154,1.0344827586206897,1.3018867924528301,1.02,1.196078431372549,1.1851851851851851,0.9259259259259259,0.9607843137254902,1.4464285714285714,1.1964285714285714,1.6153846153846154,1.183673469387755,1.2040816326530612
5,0.7727272727272727,0.9166666666666666,1.4705882352941178,1.5333333333333334,1.4375,0.8421052631578947,1.0,1.2352941176470589,1.1764705882352942,0.875,1.125,0.8235294117647058,1.0,1.0,1.1333333333333333,1.5714285714285714,1.0666666666666667,1.2666666666666666,1.0,1.4705882352941178,1.5
6,1.1666666666666667,1.2,1.4,1.25,2.5,1.5,1.1666666666666667,1.0,1.25,1.25,1.4,1.5,1.0,1.0,1.4,1.8,1.3333333333333333,1.4,1.2,1.75,0.6
7,1.5,1.5,1.0,0.5,2.0,0.5,2.5,1.0,0.5,1.0,1.0,1.0,1.5,1.0,0.5,1.0,0.6666666666666666,2.0,1.5,0.5,2.0
8,2.0,3.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
9,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
10,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
12,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
