size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,222,262,205,206,176,207,178,168,203,199,177,190,170,210,170,174,174,175,168,193,180
4,73,83,53,60,56,76,48,58,44,59,68,50,60,63,49,48,80,66,83,57,58
5,16,21,24,22,22,15,14,20,19,13,17,13,14,15,16,21,15,18,13,24,20
6,6,5,6,4,9,8,6,5,4,4,6,5,3,4,6,8,7,6,5,6,2
7,2,2,1,0,1,0,4,0,0,1,1,1,2,1,0,1,1,3,2,0,3
8,1,2,0,0,0,1,0,0,0,3,0,1,0,2,1,0,1,1,0,0,0
9,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
