size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,9597,25048,18672,20020,21119,21442,22805,21134,20776,21519,20628,19917,20729,20182,20266,21102,20278,20482,21673,20569,20460
4,2734,6920,5311,5202,5942,6287,6424,6072,6182,5881,5789,5898,5892,5887,5933,5715,5674,6179,5876,5834,5999
5,781,1957,1557,1472,1651,1824,1847,1735,1739,1784,1603,1745,1745,1578,1741,1727,1704,1697,1682,1604,1710
6,270,596,393,418,439,456,508,476,425,488,523,471,512,499,448,465,467,529,567,497,505
7,59,351,116,143,98,133,139,147,125,144,114,155,141,135,130,138,131,129,119,152,135
8,17,195,36,21,34,31,36,33,30,32,24,39,41,36,41,53,31,40,38,41,47
9,8,55,8,29,4,12,6,23,9,13,10,10,18,6,6,23,11,12,19,15,8
10,1,15,1,1,3,3,2,6,1,3,3,3,3,8,3,9,6,2,7,2,6
11,0,3,0,1,0,0,1,0,1,1,0,1,2,1,2,3,0,4,1,0,0
12,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,1,0
13,0,0,0,0,0,1,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
