size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,1969,7767,2821,3309,3442,3411,3213,2972,3180,3278,3329,3469,3598,3500,3102,3241,3148,3282,3505,3263,3305
4,542,3744,814,935,959,950,949,1035,911,837,914,999,961,852,874,826,938,893,906,904,914
5,153,366,234,339,268,283,311,275,239,208,253,238,248,232,233,199,214,212,260,236,224
6,50,157,102,100,92,111,84,88,70,67,60,78,66,73,112,57,74,76,74,66,53
7,16,68,30,112,30,44,22,24,15,14,18,14,30,24,28,26,10,20,17,25,32
8,4,76,28,9,59,12,11,12,8,16,12,11,11,7,6,10,10,5,4,5,14
9,2,27,58,5,8,8,3,6,6,4,3,8,5,9,10,8,5,2,3,4,5
10,2,14,4,1,6,5,20,13,3,4,6,8,5,3,1,9,3,1,2,1,2
11,2,7,0,0,6,4,6,7,2,11,12,9,6,9,20,6,8,3,1,3,2
12,0,2,1,3,6,14,5,10,10,6,5,10,23,25,17,9,10,7,8,4,5
13,0,1,0,2,4,7,17,7,10,11,22,20,28,23,42,21,17,13,6,10,4
14,0,0,0,2,1,2,11,8,11,17,19,16,32,24,19,15,15,9,4,5,2
15,2,6,1,2,3,2,5,5,9,22,22,22,18,13,13,9,5,2,4,6,4
16,0,1,0,0,0,5,2,5,20,8,12,4,11,9,7,3,1,4,3,1,0
17,0,0,1,1,0,1,5,3,12,7,3,3,3,0,6,1,3,1,0,0,0
18,0,0,0,0,1,1,3,4,11,7,3,1,1,2,0,0,2,0,1,0,0
19,0,0,0,0,0,0,0,3,5,6,4,0,0,1,1,1,0,1,0,0,0
20,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
