size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,13071,16287,13726,14039,14480,14402,14175,14360,14624,13902,14583,14486,13891,14215,14384,13482,14195,14298,13515,13993,14303
4,3658,4165,4066,3776,3914,4424,4000,4022,4383,3923,4042,4332,3927,3751,4246,3819,3840,4249,3831,3811,4279
5,1033,1169,1160,1164,1179,1240,1203,1115,1225,1242,1124,1228,1143,1136,1133,1235,1076,1237,1161,1146,1136
6,322,335,340,340,362,350,325,359,297,305,320,297,349,282,353,377,370,298,340,307,325
7,78,130,123,77,76,97,82,89,111,93,85,92,94,95,103,78,82,106,84,81,102
8,26,34,30,21,27,31,28,23,18,31,35,32,32,26,26,34,28,27,17,19,23
9,9,8,6,5,6,4,3,7,4,8,10,4,10,6,11,7,9,8,12,8,6
10,3,2,2,1,0,0,0,1,3,4,2,1,0,3,2,3,1,4,0,4,4
11,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
