size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.8024691358024691,1.1071428571428572,1.0921052631578947,0.922077922077922,1.1492537313432836,1.0454545454545454,0.7538461538461538,1.0135135135135136,0.8656716417910447,0.7681159420289855,1.1142857142857143,1.0555555555555556,1.1111111111111112,0.927536231884058,0.8823529411764706,0.9857142857142858,1.0,0.84375,0.6805555555555556,1.1911764705882353,1.0952380952380953
4,0.47368421052631576,0.8260869565217391,0.5238095238095238,0.8947368421052632,1.0454545454545454,1.3181818181818181,0.95,1.0434782608695652,1.0,0.8421052631578947,0.6,0.7142857142857143,1.0,0.9523809523809523,1.2,1.125,1.2105263157894737,1.25,0.8095238095238095,1.2222222222222223,0.8823529411764706
5,1.0,1.125,1.1666666666666667,0.5,1.0,1.0,0.5714285714285714,1.0,0.42857142857142855,1.4,0.5714285714285714,1.0,0.6666666666666666,1.5714285714285714,0.42857142857142855,1.2,1.4285714285714286,0.4,2.2,0.8333333333333334,1.0
6,1.0,0.6666666666666666,1.5,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,2.5,2.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,2.0,1.0,0.5,1.5
7,0.5,0.5,0.5,1.5,0.5,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
8,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
