size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[110, 120, 110, 117, 119, 108, 126, 119, 118, 118]","[136, 142, 123, 131, 148, 108, 153, 139, 144, 140]","[109, 132, 110, 97, 115, 106, 122, 143, 108, 107]","[107, 119, 135, 101, 114, 96, 115, 100, 115, 101]","[110, 114, 117, 111, 101, 107, 84, 114, 95, 91]","[111, 112, 94, 127, 95, 121, 106, 103, 101, 107]","[119, 106, 122, 102, 118, 105, 124, 121, 122, 107]","[118, 98, 81, 103, 107, 113, 104, 110, 106, 103]","[130, 108, 93, 106, 121, 91, 90, 96, 126, 106]","[102, 92, 113, 106, 107, 96, 100, 113, 112, 94]","[104, 106, 115, 88, 103, 126, 89, 117, 103, 96]","[111, 139, 99, 110, 107, 106, 102, 104, 108, 117]","[88, 118, 112, 106, 89, 91, 109, 102, 98, 128]","[92, 86, 106, 115, 99, 104, 118, 121, 102, 97]","[101, 98, 95, 115, 97, 101, 120, 116, 104, 101]","[101, 126, 99, 86, 120, 114, 95, 114, 108, 127]","[112, 110, 107, 108, 137, 118, 98, 117, 87, 111]","[97, 107, 102, 105, 100, 118, 111, 106, 104, 125]","[111, 100, 105, 83, 115, 107, 121, 105, 87, 100]","[94, 101, 110, 106, 109, 128, 114, 99, 103, 115]","[115, 111, 107, 113, 110, 111, 134, 121, 108, 89]"
4,"[27, 32, 25, 36, 33, 38, 31, 30, 34, 34]","[33, 44, 38, 59, 31, 43, 31, 28, 36, 37]","[34, 29, 37, 37, 35, 33, 37, 32, 37, 30]","[35, 35, 36, 30, 34, 23, 30, 27, 31, 35]","[24, 28, 35, 32, 30, 28, 29, 24, 42, 30]","[31, 36, 30, 43, 38, 28, 33, 36, 34, 41]","[43, 30, 26, 28, 25, 34, 37, 27, 33, 33]","[28, 26, 29, 24, 32, 22, 22, 22, 35, 42]","[30, 25, 27, 29, 32, 34, 24, 27, 23, 33]","[44, 37, 32, 32, 40, 32, 25, 35, 31, 29]","[27, 42, 27, 31, 28, 27, 36, 29, 34, 27]","[29, 29, 26, 28, 40, 29, 33, 28, 26, 39]","[24, 35, 41, 36, 30, 31, 44, 33, 32, 22]","[26, 29, 36, 41, 31, 24, 28, 36, 17, 39]","[41, 38, 24, 28, 34, 30, 31, 34, 34, 37]","[33, 29, 37, 32, 34, 34, 21, 27, 37, 30]","[32, 31, 34, 26, 27, 32, 28, 26, 32, 27]","[26, 31, 30, 29, 38, 35, 30, 29, 36, 27]","[24, 42, 37, 15, 25, 36, 20, 28, 34, 25]","[34, 34, 25, 23, 32, 36, 33, 43, 30, 28]","[26, 26, 26, 34, 33, 21, 28, 33, 29, 25]"
5,"[8, 10, 11, 10, 8, 13, 8, 10, 10, 13]","[11, 11, 11, 9, 11, 10, 10, 17, 9, 11]","[9, 7, 8, 9, 12, 9, 11, 11, 11, 10]","[10, 12, 13, 7, 9, 9, 8, 8, 8, 8]","[14, 11, 14, 13, 12, 7, 11, 15, 9, 6]","[10, 8, 7, 8, 8, 6, 5, 11, 10, 10]","[6, 11, 6, 4, 11, 11, 11, 17, 7, 16]","[11, 6, 8, 9, 11, 11, 4, 12, 13, 15]","[8, 4, 6, 6, 7, 7, 5, 11, 9, 8]","[5, 5, 8, 10, 11, 9, 8, 12, 11, 11]","[3, 10, 11, 6, 10, 7, 12, 9, 8, 6]","[8, 10, 8, 11, 3, 12, 7, 10, 7, 10]","[4, 6, 7, 9, 11, 12, 4, 5, 7, 9]","[10, 11, 8, 8, 8, 7, 12, 11, 5, 7]","[13, 10, 11, 14, 10, 10, 8, 8, 14, 14]","[7, 8, 13, 12, 7, 7, 6, 8, 8, 12]","[9, 12, 8, 7, 7, 8, 10, 11, 7, 6]","[11, 7, 6, 9, 8, 3, 10, 7, 9, 9]","[9, 9, 7, 8, 9, 8, 13, 12, 10, 8]","[5, 8, 3, 7, 4, 9, 4, 11, 12, 13]","[6, 11, 8, 11, 4, 7, 7, 11, 11, 16]"
6,"[4, 1, 3, 1, 6, 2, 4, 3, 3, 5]","[2, 5, 2, 7, 4, 3, 2, 1, 3, 3]","[4, 5, 1, 0, 2, 0, 2, 2, 4, 2]","[3, 1, 5, 2, 2, 4, 2, 6, 1, 2]","[1, 1, 4, 2, 1, 1, 1, 4, 2, 3]","[3, 2, 3, 2, 2, 2, 2, 3, 1, 3]","[5, 1, 3, 4, 3, 0, 1, 1, 1, 2]","[0, 1, 1, 0, 3, 1, 2, 2, 4, 1]","[5, 3, 3, 3, 3, 3, 1, 2, 4, 2]","[0, 1, 1, 3, 3, 4, 5, 3, 1, 2]","[3, 4, 2, 2, 1, 0, 2, 2, 1, 2]","[1, 2, 1, 1, 1, 3, 6, 4, 1, 2]","[4, 5, 0, 2, 0, 2, 6, 2, 6, 1]","[2, 0, 1, 1, 0, 1, 0, 4, 0, 2]","[4, 0, 1, 1, 5, 2, 3, 0, 2, 3]","[3, 2, 1, 2, 1, 3, 3, 4, 2, 2]","[1, 4, 2, 3, 3, 1, 0, 2, 5, 4]","[5, 3, 3, 5, 3, 2, 0, 5, 1, 1]","[3, 2, 3, 1, 3, 1, 2, 3, 4, 3]","[1, 6, 3, 2, 3, 2, 3, 2, 5, 4]","[1, 3, 4, 2, 4, 5, 1, 2, 0, 3]"
7,"[1, 1, 1, 1, 0, 0, 1, 1, 2, 0]","[1, 2, 1, 1, 0, 0, 0, 0, 2, 1]","[2, 1, 0, 0, 1, 2, 3, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 1]","[0, 3, 1, 1, 0, 0, 1, 0, 2, 0]","[1, 0, 0, 1, 0, 0, 2, 1, 2, 1]","[2, 0, 1, 3, 1, 0, 0, 2, 0, 0]","[0, 2, 1, 1, 0, 1, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0, 0, 2, 2]","[1, 1, 1, 2, 0, 0, 1, 2, 0, 3]","[0, 0, 1, 0, 0, 3, 0, 0, 0, 0]","[1, 2, 1, 0, 0, 0, 1, 2, 2, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 2, 1, 0, 1, 0, 2, 0, 0]","[0, 1, 0, 0, 1, 0, 1, 2, 0, 1]","[0, 1, 1, 0, 1, 0, 1, 3, 3, 1]","[0, 1, 0, 1, 0, 0, 0, 1, 3, 1]","[2, 0, 0, 2, 2, 0, 1, 0, 1, 0]","[0, 0, 0, 1, 2, 0, 1, 0, 1, 0]","[3, 2, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 0, 1, 3, 2, 2, 0, 1]"
8,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 2, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 1]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 2, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 2, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
