size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,0.924812030075188,0.9701492537313433,1.1414141414141414,0.9603960396039604,1.3434343434343434,1.0198019801980198,0.9351851851851852,1.0909090909090908,1.19,0.8712871287128713,1.0693069306930694,1.1515151515151516,0.92,1.0309278350515463,0.8640776699029126,0.9902912621359223,0.9428571428571428,1.0384615384615385,0.979381443298969,1.184782608695652,1.0396039603960396
4,1.025,1.1904761904761905,1.0294117647058822,1.088235294117647,1.3333333333333333,1.4848484848484849,0.7878787878787878,1.2258064516129032,1.1071428571428572,1.4074074074074074,0.7666666666666667,1.0357142857142858,0.9032258064516129,0.6666666666666666,0.9333333333333333,0.9375,1.1935483870967742,1.0,1.40625,1.1142857142857143,1.125
5,1.3846153846153846,1.3333333333333333,1.5,1.2,0.9,0.8,0.7,1.2,1.0,0.5454545454545454,1.5,0.8,1.3,0.7777777777777778,1.5,0.8888888888888888,0.75,0.8,1.1,0.625,1.0833333333333333
6,1.4,0.8333333333333334,0.6,0.75,0.75,0.5,1.0,0.3333333333333333,0.75,2.0,0.4,2.0,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.5,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333
7,1.5,1.0,1.0,0.5,1.5,3.0,2.0,2.5,2.0,0.5,2.0,2.0,2.0,0.5,1.0,1.5,0.5,1.0,1.5,3.0,2.0
8,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
9,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
