size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,17507,28441,21132,22393,23841,24125,24413,22818,23023,23655,23142,22739,23396,23355,23885,23217,22813,23249,23871,22508,22451
4,4791,7356,5603,5965,6550,6734,6851,6418,6540,6120,6438,6651,6099,6109,6341,6539,6152,6302,6283,6271,6296
5,1214,1940,1446,1579,1624,1776,1758,1695,1811,1980,1711,1688,1796,1703,2034,1734,1784,1710,1792,1733,1754
6,289,538,445,422,550,486,535,450,448,457,462,409,474,418,479,542,462,452,536,445,427
7,103,164,85,179,108,144,182,140,144,119,111,128,171,132,141,133,137,184,150,104,117
8,27,32,44,25,144,37,40,49,25,38,36,23,38,91,32,45,30,34,36,45,42
9,7,6,48,22,13,21,9,11,12,8,10,10,18,13,16,31,17,14,11,16,5
10,5,8,7,3,8,25,5,4,5,6,8,6,15,8,6,5,5,9,3,4,5
11,1,3,4,7,12,7,4,4,5,1,2,1,6,3,12,6,9,2,1,4,2
12,5,1,7,6,15,8,6,6,82,3,4,4,14,7,7,2,1,4,4,2,1
13,3,4,4,8,8,6,4,3,2,1,6,14,32,13,16,3,2,5,2,3,3
14,3,5,9,8,10,6,3,1,4,5,2,9,25,14,5,5,2,3,1,0,1
15,4,15,10,1,10,13,7,5,4,6,17,11,14,15,6,5,1,3,1,0,1
16,5,6,6,5,11,6,4,2,5,5,8,12,7,10,2,3,1,0,1,1,0
17,10,5,10,2,7,3,7,6,10,17,9,18,6,2,4,1,0,0,1,2,3
18,2,3,2,4,4,2,4,2,17,9,7,8,3,1,1,0,2,0,0,1,1
19,2,2,0,2,0,4,2,5,6,9,2,1,0,0,0,0,0,0,0,0,0
20,1,1,1,2,2,1,4,1,1,2,2,2,0,1,0,0,1,0,0,0,0
21,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
