size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[6285, 6290, 6341, 6438, 6295, 6183, 6313, 6337, 6301, 6363]","[6115, 6065, 6024, 6245, 5941, 6152, 6038, 6101, 6087, 6173]","[4472, 4416, 4514, 4474, 4352, 4415, 4444, 4460, 4342, 4425]","[4453, 4557, 4554, 4560, 4432, 4419, 4457, 4477, 4528, 4524]","[4523, 4480, 4483, 4446, 4521, 4383, 4501, 4488, 4432, 4319]","[4492, 4353, 4598, 4464, 4453, 4497, 4467, 4526, 4414, 4294]","[4325, 4575, 4492, 4633, 4475, 4513, 4444, 4482, 4399, 4472]","[4351, 4356, 4448, 4425, 4357, 4281, 4382, 4421, 4308, 4475]","[4536, 4453, 4397, 4390, 4433, 4354, 4353, 4336, 4408, 4364]","[4348, 4385, 4188, 4338, 4419, 4298, 4337, 4333, 4360, 4458]","[4413, 4344, 4287, 4274, 4330, 4517, 4449, 4402, 4451, 4316]","[4306, 4302, 4281, 4324, 4298, 4367, 4284, 4331, 4304, 4251]","[4303, 4246, 4246, 4311, 4282, 4229, 4200, 4334, 4295, 4356]","[4337, 4239, 4182, 4323, 4273, 4297, 4225, 4250, 4349, 4351]","[4314, 4255, 4132, 4252, 4273, 4226, 4332, 4328, 4191, 4308]","[4252, 4122, 4257, 4333, 4238, 4292, 4299, 4235, 4199, 4240]","[4267, 4158, 4228, 4168, 4083, 4226, 4240, 4224, 4175, 4205]","[4265, 4170, 4249, 4192, 4144, 4042, 4175, 4210, 4169, 4193]","[4125, 4170, 4175, 4221, 4083, 4271, 4253, 4114, 4267, 4197]","[4154, 4275, 4128, 4200, 4133, 4157, 4145, 4235, 4173, 4062]","[4178, 4187, 4189, 4031, 4109, 4134, 4053, 4173, 4142, 4090]"
4,"[1782, 1672, 1739, 1724, 1728, 1733, 1731, 1619, 1696, 1670]","[1748, 1688, 1721, 1612, 1703, 1628, 1679, 1681, 1649, 1640]","[1232, 1226, 1213, 1167, 1207, 1208, 1272, 1196, 1179, 1207]","[1206, 1131, 1261, 1273, 1257, 1167, 1274, 1233, 1163, 1230]","[1229, 1195, 1232, 1166, 1215, 1119, 1189, 1201, 1189, 1215]","[1209, 1189, 1202, 1228, 1125, 1133, 1276, 1193, 1197, 1185]","[1170, 1218, 1191, 1274, 1176, 1190, 1177, 1250, 1220, 1162]","[1171, 1173, 1177, 1150, 1203, 1135, 1172, 1185, 1201, 1159]","[1154, 1230, 1174, 1116, 1125, 1214, 1130, 1253, 1111, 1190]","[1202, 1225, 1136, 1152, 1161, 1192, 1116, 1132, 1205, 1201]","[1179, 1109, 1174, 1185, 1157, 1142, 1116, 1193, 1165, 1161]","[1108, 1198, 1200, 1161, 1217, 1102, 1164, 1122, 1161, 1163]","[1135, 1149, 1130, 1137, 1163, 1187, 1240, 1212, 1247, 1180]","[1102, 1158, 1184, 1150, 1078, 1172, 1153, 1169, 1133, 1181]","[1138, 1165, 1137, 1144, 1162, 1165, 1147, 1130, 1145, 1135]","[1186, 1146, 1179, 1089, 1119, 1162, 1177, 1130, 1181, 1156]","[1145, 1181, 1169, 1181, 1158, 1181, 1210, 1109, 1115, 1149]","[1158, 1158, 1178, 1067, 1130, 1106, 1155, 1128, 1157, 1125]","[1173, 1165, 1094, 1138, 1176, 1146, 1105, 1114, 1143, 1155]","[1162, 1152, 1158, 1182, 1096, 1132, 1114, 1133, 1128, 1116]","[1179, 1110, 1113, 1100, 1089, 1132, 1148, 1148, 1075, 1133]"
5,"[484, 414, 477, 457, 482, 489, 473, 482, 414, 455]","[449, 457, 447, 449, 438, 437, 448, 451, 440, 448]","[329, 329, 337, 334, 340, 312, 317, 348, 349, 320]","[318, 322, 345, 347, 336, 320, 303, 301, 323, 315]","[337, 313, 335, 326, 325, 300, 309, 365, 323, 311]","[309, 330, 330, 353, 325, 328, 329, 302, 317, 366]","[311, 326, 279, 298, 303, 323, 332, 358, 309, 338]","[332, 324, 332, 297, 326, 326, 340, 333, 296, 341]","[297, 342, 294, 321, 322, 322, 338, 303, 338, 324]","[338, 344, 318, 331, 322, 306, 338, 329, 323, 334]","[313, 307, 336, 318, 335, 299, 329, 318, 331, 328]","[339, 318, 327, 329, 285, 302, 300, 307, 308, 312]","[306, 312, 326, 312, 323, 310, 291, 310, 308, 323]","[328, 304, 341, 314, 328, 318, 295, 312, 320, 321]","[296, 329, 313, 319, 309, 365, 319, 327, 306, 330]","[338, 296, 306, 322, 311, 348, 307, 307, 329, 298]","[288, 322, 307, 297, 286, 326, 290, 291, 313, 313]","[305, 336, 293, 344, 315, 303, 308, 291, 291, 329]","[302, 320, 294, 309, 298, 283, 260, 325, 293, 293]","[302, 293, 315, 293, 316, 329, 315, 316, 314, 306]","[291, 293, 309, 318, 301, 328, 297, 309, 318, 312]"
6,"[128, 126, 127, 133, 129, 143, 120, 127, 112, 128]","[111, 125, 102, 124, 112, 121, 126, 126, 115, 106]","[82, 86, 90, 90, 93, 100, 111, 86, 96, 92]","[96, 93, 93, 98, 110, 93, 100, 95, 72, 92]","[99, 74, 91, 99, 96, 73, 85, 94, 89, 87]","[60, 103, 88, 105, 95, 87, 80, 77, 95, 94]","[96, 92, 88, 77, 92, 90, 94, 79, 81, 72]","[71, 84, 87, 93, 90, 99, 86, 77, 76, 90]","[84, 82, 80, 96, 97, 92, 86, 83, 87, 103]","[74, 84, 90, 83, 67, 82, 70, 76, 101, 89]","[77, 79, 90, 79, 82, 89, 85, 80, 98, 88]","[83, 92, 70, 83, 86, 90, 73, 101, 76, 105]","[88, 96, 83, 76, 83, 95, 89, 90, 83, 105]","[82, 87, 78, 88, 75, 84, 73, 100, 82, 74]","[98, 71, 85, 83, 95, 88, 91, 79, 92, 93]","[87, 84, 84, 74, 77, 83, 79, 94, 87, 93]","[82, 99, 91, 83, 79, 77, 79, 88, 72, 80]","[72, 98, 87, 75, 69, 71, 87, 74, 67, 87]","[83, 82, 86, 84, 79, 77, 87, 91, 71, 78]","[84, 100, 93, 74, 84, 75, 84, 85, 72, 91]","[95, 83, 96, 85, 78, 78, 83, 69, 80, 94]"
7,"[37, 31, 24, 41, 33, 29, 36, 32, 34, 36]","[32, 28, 41, 28, 30, 31, 26, 33, 33, 27]","[19, 30, 30, 23, 23, 23, 25, 20, 24, 32]","[31, 22, 22, 22, 25, 17, 23, 24, 26, 23]","[21, 33, 21, 23, 29, 26, 31, 23, 31, 37]","[25, 27, 31, 20, 37, 23, 21, 22, 29, 21]","[27, 39, 21, 22, 24, 25, 21, 28, 18, 30]","[23, 25, 24, 19, 22, 28, 15, 27, 25, 20]","[21, 22, 25, 22, 27, 20, 33, 30, 22, 25]","[20, 20, 26, 22, 22, 26, 17, 19, 20, 29]","[17, 30, 27, 22, 21, 12, 17, 31, 22, 31]","[26, 20, 26, 16, 19, 29, 22, 29, 35, 25]","[20, 28, 15, 21, 30, 21, 21, 36, 29, 19]","[25, 25, 21, 27, 25, 17, 22, 23, 25, 29]","[16, 17, 26, 28, 20, 21, 23, 28, 26, 16]","[17, 32, 20, 22, 38, 33, 21, 27, 28, 27]","[23, 23, 19, 26, 22, 25, 22, 16, 26, 19]","[20, 17, 19, 17, 16, 29, 23, 18, 20, 26]","[22, 31, 30, 30, 26, 15, 28, 27, 25, 20]","[26, 23, 21, 25, 18, 25, 24, 21, 29, 17]","[19, 23, 24, 27, 18, 22, 19, 32, 23, 26]"
8,"[12, 12, 11, 8, 5, 7, 13, 8, 11, 12]","[9, 7, 9, 11, 11, 12, 9, 9, 9, 10]","[4, 4, 8, 8, 5, 9, 6, 6, 6, 6]","[3, 5, 6, 8, 10, 6, 6, 10, 9, 5]","[5, 6, 8, 2, 6, 9, 6, 9, 8, 4]","[6, 3, 7, 3, 5, 7, 8, 7, 5, 8]","[7, 6, 6, 1, 3, 9, 4, 3, 7, 11]","[2, 6, 4, 2, 7, 5, 7, 5, 8, 3]","[8, 2, 4, 11, 5, 7, 6, 10, 8, 5]","[8, 7, 5, 4, 4, 6, 8, 10, 8, 4]","[6, 6, 6, 2, 9, 6, 11, 5, 8, 5]","[6, 4, 7, 12, 5, 3, 5, 6, 7, 10]","[6, 2, 6, 7, 4, 5, 7, 7, 5, 5]","[3, 3, 6, 6, 6, 7, 6, 5, 4, 5]","[6, 6, 4, 5, 4, 6, 5, 6, 10, 6]","[8, 10, 7, 7, 6, 2, 6, 8, 5, 7]","[7, 7, 7, 11, 2, 4, 11, 9, 5, 4]","[7, 3, 2, 4, 6, 2, 9, 4, 7, 9]","[5, 4, 5, 5, 4, 3, 8, 5, 7, 7]","[5, 2, 8, 7, 8, 2, 4, 5, 7, 8]","[3, 12, 9, 7, 5, 6, 5, 8, 9, 4]"
9,"[1, 1, 1, 2, 4, 5, 5, 1, 2, 2]","[1, 6, 7, 3, 2, 2, 3, 1, 3, 2]","[1, 4, 2, 2, 1, 1, 2, 1, 0, 1]","[0, 0, 3, 0, 5, 4, 2, 1, 3, 4]","[1, 4, 0, 1, 1, 2, 2, 1, 0, 2]","[1, 4, 2, 2, 1, 0, 3, 4, 2, 3]","[1, 1, 0, 1, 1, 1, 0, 2, 1, 2]","[2, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[1, 2, 1, 2, 1, 2, 3, 0, 3, 1]","[0, 0, 2, 2, 7, 4, 0, 4, 0, 2]","[1, 1, 1, 0, 0, 1, 2, 1, 3, 0]","[2, 2, 1, 1, 1, 3, 2, 2, 1, 1]","[0, 2, 0, 0, 3, 2, 1, 2, 6, 3]","[1, 0, 1, 3, 1, 1, 1, 2, 4, 1]","[0, 1, 1, 2, 4, 1, 1, 1, 2, 4]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 4]","[0, 2, 1, 1, 2, 2, 0, 1, 3, 0]","[6, 0, 0, 0, 2, 2, 2, 3, 0, 1]","[1, 2, 2, 2, 4, 0, 1, 1, 1, 2]","[3, 1, 3, 1, 1, 2, 3, 3, 3, 2]","[0, 2, 0, 0, 1, 1, 2, 1, 2, 2]"
10,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[2, 0, 3, 1, 1, 0, 1, 2, 1, 2]","[0, 1, 0, 0, 0, 0, 2, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 1, 2, 1, 1, 1, 0, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 1, 2, 0, 1, 0, 1, 0, 0]","[1, 0, 3, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 2, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 2, 2, 2, 0]","[0, 0, 0, 0, 0, 2, 1, 0, 0, 1]","[0, 0, 2, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 2, 1, 0]","[1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 2, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
