IR count,origin,ID-replicon
602486,obs,chromosome_GCF_002951835.1_ASM295183v1
624861,sim,chromosome_GCF_002951835.1_ASM295183v1
624921,sim,chromosome_GCF_002951835.1_ASM295183v1
625752,sim,chromosome_GCF_002951835.1_ASM295183v1
623494,sim,chromosome_GCF_002951835.1_ASM295183v1
624857,sim,chromosome_GCF_002951835.1_ASM295183v1
626080,sim,chromosome_GCF_002951835.1_ASM295183v1
625363,sim,chromosome_GCF_002951835.1_ASM295183v1
626582,sim,chromosome_GCF_002951835.1_ASM295183v1
625182,sim,chromosome_GCF_002951835.1_ASM295183v1
624822,sim,chromosome_GCF_002951835.1_ASM295183v1
535676,obs,chromosome_GCF_014054985.1_ASM1405498v1
576329,sim,chromosome_GCF_014054985.1_ASM1405498v1
576454,sim,chromosome_GCF_014054985.1_ASM1405498v1
577095,sim,chromosome_GCF_014054985.1_ASM1405498v1
576141,sim,chromosome_GCF_014054985.1_ASM1405498v1
576995,sim,chromosome_GCF_014054985.1_ASM1405498v1
576811,sim,chromosome_GCF_014054985.1_ASM1405498v1
578126,sim,chromosome_GCF_014054985.1_ASM1405498v1
577164,sim,chromosome_GCF_014054985.1_ASM1405498v1
577324,sim,chromosome_GCF_014054985.1_ASM1405498v1
576403,sim,chromosome_GCF_014054985.1_ASM1405498v1
1769,obs,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1795,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1790,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1784,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1825,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1779,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1817,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1783,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1784,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1770,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
1784,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
599350,obs,chromosome_GCF_014054525.1_ASM1405452v1
633091,sim,chromosome_GCF_014054525.1_ASM1405452v1
633428,sim,chromosome_GCF_014054525.1_ASM1405452v1
632455,sim,chromosome_GCF_014054525.1_ASM1405452v1
633459,sim,chromosome_GCF_014054525.1_ASM1405452v1
632421,sim,chromosome_GCF_014054525.1_ASM1405452v1
633605,sim,chromosome_GCF_014054525.1_ASM1405452v1
633160,sim,chromosome_GCF_014054525.1_ASM1405452v1
633219,sim,chromosome_GCF_014054525.1_ASM1405452v1
633857,sim,chromosome_GCF_014054525.1_ASM1405452v1
634720,sim,chromosome_GCF_014054525.1_ASM1405452v1
533940,obs,chromosome_GCF_022354465.1_ASM2235446v1
558869,sim,chromosome_GCF_022354465.1_ASM2235446v1
559697,sim,chromosome_GCF_022354465.1_ASM2235446v1
559428,sim,chromosome_GCF_022354465.1_ASM2235446v1
560782,sim,chromosome_GCF_022354465.1_ASM2235446v1
560777,sim,chromosome_GCF_022354465.1_ASM2235446v1
559797,sim,chromosome_GCF_022354465.1_ASM2235446v1
561612,sim,chromosome_GCF_022354465.1_ASM2235446v1
560470,sim,chromosome_GCF_022354465.1_ASM2235446v1
560359,sim,chromosome_GCF_022354465.1_ASM2235446v1
559405,sim,chromosome_GCF_022354465.1_ASM2235446v1
700319,obs,chromosome_GCF_016894345.1_ASM1689434v1
729913,sim,chromosome_GCF_016894345.1_ASM1689434v1
728906,sim,chromosome_GCF_016894345.1_ASM1689434v1
728621,sim,chromosome_GCF_016894345.1_ASM1689434v1
728871,sim,chromosome_GCF_016894345.1_ASM1689434v1
729776,sim,chromosome_GCF_016894345.1_ASM1689434v1
727671,sim,chromosome_GCF_016894345.1_ASM1689434v1
729647,sim,chromosome_GCF_016894345.1_ASM1689434v1
729160,sim,chromosome_GCF_016894345.1_ASM1689434v1
729368,sim,chromosome_GCF_016894345.1_ASM1689434v1
729530,sim,chromosome_GCF_016894345.1_ASM1689434v1
679009,obs,chromosome_GCF_022870845.1_ASM2287084v1
700310,sim,chromosome_GCF_022870845.1_ASM2287084v1
702190,sim,chromosome_GCF_022870845.1_ASM2287084v1
700296,sim,chromosome_GCF_022870845.1_ASM2287084v1
701477,sim,chromosome_GCF_022870845.1_ASM2287084v1
700130,sim,chromosome_GCF_022870845.1_ASM2287084v1
700897,sim,chromosome_GCF_022870845.1_ASM2287084v1
699626,sim,chromosome_GCF_022870845.1_ASM2287084v1
698569,sim,chromosome_GCF_022870845.1_ASM2287084v1
699496,sim,chromosome_GCF_022870845.1_ASM2287084v1
701525,sim,chromosome_GCF_022870845.1_ASM2287084v1
546356,obs,chromosome_GCF_022749515.1_ASM2274951v1
577802,sim,chromosome_GCF_022749515.1_ASM2274951v1
577294,sim,chromosome_GCF_022749515.1_ASM2274951v1
575990,sim,chromosome_GCF_022749515.1_ASM2274951v1
576566,sim,chromosome_GCF_022749515.1_ASM2274951v1
577877,sim,chromosome_GCF_022749515.1_ASM2274951v1
576866,sim,chromosome_GCF_022749515.1_ASM2274951v1
577324,sim,chromosome_GCF_022749515.1_ASM2274951v1
577481,sim,chromosome_GCF_022749515.1_ASM2274951v1
578118,sim,chromosome_GCF_022749515.1_ASM2274951v1
576610,sim,chromosome_GCF_022749515.1_ASM2274951v1
