IR count,origin,ID-replicon
1037375,obs,chromosome_GCF_000005845.2_ASM584v2
1069514,sim,chromosome_GCF_000005845.2_ASM584v2
1069867,sim,chromosome_GCF_000005845.2_ASM584v2
1070720,sim,chromosome_GCF_000005845.2_ASM584v2
1070108,sim,chromosome_GCF_000005845.2_ASM584v2
1070115,sim,chromosome_GCF_000005845.2_ASM584v2
1069933,sim,chromosome_GCF_000005845.2_ASM584v2
1069935,sim,chromosome_GCF_000005845.2_ASM584v2
1068811,sim,chromosome_GCF_000005845.2_ASM584v2
1071023,sim,chromosome_GCF_000005845.2_ASM584v2
1071070,sim,chromosome_GCF_000005845.2_ASM584v2
1937300,obs,chromosome_GCF_000006765.1_ASM676v1
1972830,sim,chromosome_GCF_000006765.1_ASM676v1
1971123,sim,chromosome_GCF_000006765.1_ASM676v1
1970843,sim,chromosome_GCF_000006765.1_ASM676v1
1970416,sim,chromosome_GCF_000006765.1_ASM676v1
1971299,sim,chromosome_GCF_000006765.1_ASM676v1
1971553,sim,chromosome_GCF_000006765.1_ASM676v1
1971444,sim,chromosome_GCF_000006765.1_ASM676v1
1973807,sim,chromosome_GCF_000006765.1_ASM676v1
1971405,sim,chromosome_GCF_000006765.1_ASM676v1
1971481,sim,chromosome_GCF_000006765.1_ASM676v1
1151963,obs,chromosome_GCF_000006945.2_ASM694v2
1177236,sim,chromosome_GCF_000006945.2_ASM694v2
1176595,sim,chromosome_GCF_000006945.2_ASM694v2
1176483,sim,chromosome_GCF_000006945.2_ASM694v2
1176546,sim,chromosome_GCF_000006945.2_ASM694v2
1178099,sim,chromosome_GCF_000006945.2_ASM694v2
1177048,sim,chromosome_GCF_000006945.2_ASM694v2
1176370,sim,chromosome_GCF_000006945.2_ASM694v2
1175617,sim,chromosome_GCF_000006945.2_ASM694v2
1178258,sim,chromosome_GCF_000006945.2_ASM694v2
1175625,sim,chromosome_GCF_000006945.2_ASM694v2
18481,obs,plasmid_pSLT_GCF_000006945.2_ASM694v2
18818,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18947,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
19112,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18763,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
