IR count,origin,ID-replicon
137819,obs,chromosome_GCF_000009045.1_ASM904v1
137548,sim,chromosome_GCF_000009045.1_ASM904v1
138570,sim,chromosome_GCF_000009045.1_ASM904v1
138072,sim,chromosome_GCF_000009045.1_ASM904v1
138993,sim,chromosome_GCF_000009045.1_ASM904v1
137374,sim,chromosome_GCF_000009045.1_ASM904v1
139062,sim,chromosome_GCF_000009045.1_ASM904v1
137957,sim,chromosome_GCF_000009045.1_ASM904v1
138268,sim,chromosome_GCF_000009045.1_ASM904v1
137955,sim,chromosome_GCF_000009045.1_ASM904v1
138340,sim,chromosome_GCF_000009045.1_ASM904v1
175982,obs,chromosome_GCF_000013425.1_ASM1342v1
174655,sim,chromosome_GCF_000013425.1_ASM1342v1
174287,sim,chromosome_GCF_000013425.1_ASM1342v1
174408,sim,chromosome_GCF_000013425.1_ASM1342v1
174267,sim,chromosome_GCF_000013425.1_ASM1342v1
174326,sim,chromosome_GCF_000013425.1_ASM1342v1
174610,sim,chromosome_GCF_000013425.1_ASM1342v1
174320,sim,chromosome_GCF_000013425.1_ASM1342v1
174145,sim,chromosome_GCF_000013425.1_ASM1342v1
175021,sim,chromosome_GCF_000013425.1_ASM1342v1
174001,sim,chromosome_GCF_000013425.1_ASM1342v1
