IR count,origin,ID-replicon
2607556,obs,chromosome_1_GCF_001718895.1_ASM171889v1
2613182,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2611876,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2610569,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2612050,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2612420,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2611838,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2613482,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2612376,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2614714,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2610215,sim,chromosome_1_GCF_001718895.1_ASM171889v1
2516141,obs,chromosome_2_GCF_001718895.1_ASM171889v1
2554720,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2552545,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2554674,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2556650,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2555743,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2552770,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2553045,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2552908,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2555671,sim,chromosome_2_GCF_001718895.1_ASM171889v1
2552361,sim,chromosome_2_GCF_001718895.1_ASM171889v1
883258,obs,chromosome_3_GCF_001718895.1_ASM171889v1
889471,sim,chromosome_3_GCF_001718895.1_ASM171889v1
888696,sim,chromosome_3_GCF_001718895.1_ASM171889v1
888501,sim,chromosome_3_GCF_001718895.1_ASM171889v1
889538,sim,chromosome_3_GCF_001718895.1_ASM171889v1
888777,sim,chromosome_3_GCF_001718895.1_ASM171889v1
888941,sim,chromosome_3_GCF_001718895.1_ASM171889v1
888159,sim,chromosome_3_GCF_001718895.1_ASM171889v1
889845,sim,chromosome_3_GCF_001718895.1_ASM171889v1
888706,sim,chromosome_3_GCF_001718895.1_ASM171889v1
890142,sim,chromosome_3_GCF_001718895.1_ASM171889v1
