IR count,origin,ID-replicon
1252503,obs,chromosome_GCF_009769205.1_ASM976920v1
1251314,sim,chromosome_GCF_009769205.1_ASM976920v1
1251104,sim,chromosome_GCF_009769205.1_ASM976920v1
1248662,sim,chromosome_GCF_009769205.1_ASM976920v1
1249900,sim,chromosome_GCF_009769205.1_ASM976920v1
1251493,sim,chromosome_GCF_009769205.1_ASM976920v1
1253626,sim,chromosome_GCF_009769205.1_ASM976920v1
1251597,sim,chromosome_GCF_009769205.1_ASM976920v1
1251658,sim,chromosome_GCF_009769205.1_ASM976920v1
1252609,sim,chromosome_GCF_009769205.1_ASM976920v1
1249842,sim,chromosome_GCF_009769205.1_ASM976920v1
9019,obs,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8820,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8833,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8949,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8834,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
9016,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8862,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8684,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8964,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8912,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8920,sim,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
