IR count,origin,ID-replicon
732377,obs,chromosome_GCF_002951835.1_ASM295183v1
753050,sim,chromosome_GCF_002951835.1_ASM295183v1
752757,sim,chromosome_GCF_002951835.1_ASM295183v1
753823,sim,chromosome_GCF_002951835.1_ASM295183v1
751740,sim,chromosome_GCF_002951835.1_ASM295183v1
753035,sim,chromosome_GCF_002951835.1_ASM295183v1
754186,sim,chromosome_GCF_002951835.1_ASM295183v1
753556,sim,chromosome_GCF_002951835.1_ASM295183v1
754776,sim,chromosome_GCF_002951835.1_ASM295183v1
753211,sim,chromosome_GCF_002951835.1_ASM295183v1
752950,sim,chromosome_GCF_002951835.1_ASM295183v1
1289602,obs,chromosome_GCF_014054985.1_ASM1405498v1
1403792,sim,chromosome_GCF_014054985.1_ASM1405498v1
1403595,sim,chromosome_GCF_014054985.1_ASM1405498v1
1402487,sim,chromosome_GCF_014054985.1_ASM1405498v1
1403141,sim,chromosome_GCF_014054985.1_ASM1405498v1
1404940,sim,chromosome_GCF_014054985.1_ASM1405498v1
1404062,sim,chromosome_GCF_014054985.1_ASM1405498v1
1406872,sim,chromosome_GCF_014054985.1_ASM1405498v1
1402729,sim,chromosome_GCF_014054985.1_ASM1405498v1
1404731,sim,chromosome_GCF_014054985.1_ASM1405498v1
1403831,sim,chromosome_GCF_014054985.1_ASM1405498v1
6121,obs,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6387,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6337,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6376,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6407,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6348,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6423,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6483,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6313,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6415,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
6322,sim,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
719270,obs,chromosome_GCF_014054525.1_ASM1405452v1
749401,sim,chromosome_GCF_014054525.1_ASM1405452v1
750771,sim,chromosome_GCF_014054525.1_ASM1405452v1
749857,sim,chromosome_GCF_014054525.1_ASM1405452v1
750800,sim,chromosome_GCF_014054525.1_ASM1405452v1
750140,sim,chromosome_GCF_014054525.1_ASM1405452v1
750677,sim,chromosome_GCF_014054525.1_ASM1405452v1
750131,sim,chromosome_GCF_014054525.1_ASM1405452v1
750717,sim,chromosome_GCF_014054525.1_ASM1405452v1
751198,sim,chromosome_GCF_014054525.1_ASM1405452v1
752378,sim,chromosome_GCF_014054525.1_ASM1405452v1
