size,gap,z,ID,ID-replicon
1,12,26.0,GCF_000005845.2_ASM584v2,chromosome_GCF_000005845.2_ASM584v2
2,12,27.0,GCF_000009045.1_ASM904v1,chromosome_GCF_000009045.1_ASM904v1
13,15,12.0,GCF_000013425.1_ASM1342v1,chromosome_GCF_000013425.1_ASM1342v1
1,13,28.0,GCF_000006765.1_ASM676v1,chromosome_GCF_000006765.1_ASM676v1
-3,13,7.0,GCF_000195955.2_ASM19595v2,chromosome_GCF_000195955.2_ASM19595v2
1,12,43.0,GCF_000006945.2_ASM694v2,chromosome_GCF_000006945.2_ASM694v2
9,9,4.0,GCF_000006945.2_ASM694v2,plasmid_pSLT_GCF_000006945.2_ASM694v2
-3,13,27.0,GCF_018885085.1_ASM1888508v1,chromosome_GCF_018885085.1_ASM1888508v1
5,7,3.0,GCF_018885085.1_ASM1888508v1,plasmid_unnamed_GCF_018885085.1_ASM1888508v1
4,13,15.0,GCF_009769205.1_ASM976920v1,chromosome_GCF_009769205.1_ASM976920v1
6,8,5.0,GCF_009769205.1_ASM976920v1,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
1,12,70.0,GCF_008369605.1_ASM836960v1,chromosome_1_GCF_008369605.1_ASM836960v1
2,12,16.0,GCF_008369605.1_ASM836960v1,chromosome_2_GCF_008369605.1_ASM836960v1
1,10,7.0,GCF_008369605.1_ASM836960v1,plasmid_unnamed_GCF_008369605.1_ASM836960v1
11,11,6.0,GCF_017821535.1_ASM1782153v1,chromosome_GCF_017821535.1_ASM1782153v1
9,7,4.0,GCF_017821535.1_ASM1782153v1,plasmid_pMT5135_GCF_017821535.1_ASM1782153v1
1,12,29.0,GCF_000022005.1_ASM2200v1,chromosome_GCF_000022005.1_ASM2200v1
