IR count,origin,ID-replicon
170556,obs,chromosome_GCF_000005845.2_ASM584v2
169687,sim,chromosome_GCF_000005845.2_ASM584v2
170045,sim,chromosome_GCF_000005845.2_ASM584v2
170011,sim,chromosome_GCF_000005845.2_ASM584v2
170526,sim,chromosome_GCF_000005845.2_ASM584v2
169514,sim,chromosome_GCF_000005845.2_ASM584v2
170317,sim,chromosome_GCF_000005845.2_ASM584v2
169138,sim,chromosome_GCF_000005845.2_ASM584v2
169902,sim,chromosome_GCF_000005845.2_ASM584v2
169672,sim,chromosome_GCF_000005845.2_ASM584v2
169734,sim,chromosome_GCF_000005845.2_ASM584v2
1485875,obs,chromosome_GCF_000006945.2_ASM694v2
1464058,sim,chromosome_GCF_000006945.2_ASM694v2
1466317,sim,chromosome_GCF_000006945.2_ASM694v2
1464102,sim,chromosome_GCF_000006945.2_ASM694v2
1466213,sim,chromosome_GCF_000006945.2_ASM694v2
1465111,sim,chromosome_GCF_000006945.2_ASM694v2
1466755,sim,chromosome_GCF_000006945.2_ASM694v2
1464998,sim,chromosome_GCF_000006945.2_ASM694v2
1465479,sim,chromosome_GCF_000006945.2_ASM694v2
1465015,sim,chromosome_GCF_000006945.2_ASM694v2
1464063,sim,chromosome_GCF_000006945.2_ASM694v2
28043,obs,plasmid_pSLT_GCF_000006945.2_ASM694v2
28202,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28102,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28000,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
27912,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
27981,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28091,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28067,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28091,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28051,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
28031,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
