range_start,range_end
2260,2580
11282,11608
45815,46098
53401,53626
78337,78755
84086,84309
89650,89983
106456,106668
110429,110649
112237,112463
116158,116495
116979,117211
125289,125632
131096,131432
176379,176668
179665,179897
180381,180718
188390,188709
195045,195381
214170,214389
221131,221470
222339,222763
222774,223231
224927,225197
232141,232368
275965,276195
278551,278771
298205,298487
305157,305387
305775,306124
320588,320929
340485,340712
343418,343633
355854,356205
358433,358652
376702,376934
404376,404620
414268,414659
432835,433119
443865,444086
449038,449413
473335,473555
493985,494295
496171,496498
500831,501179
508142,508453
546854,547170
568107,568379
629225,629543
630274,630615
673222,673450
685297,685563
700254,700600
730604,730972
731354,731570
732299,732598
732777,733067
734712,734929
771161,771377
779913,780244
780779,780996
787784,788093
797392,797624
799252,799589
802760,803075
843332,843653
859863,860106
871249,871496
877564,877794
878512,878725
887347,887717
889948,890176
912700,912987
914169,914442
923282,923594
931687,931918
946893,947125
947609,947946
950725,950940
988009,988252
991199,991491
993587,993819
994303,994640
1002236,1002456
1017142,1017480
1023871,1024087
1024762,1024976
1032250,1032581
1034177,1034552
1035704,1035932
1043059,1043364
1050275,1050492
1052502,1052827
1057845,1058184
1066145,1066364
1067143,1067448
1073842,1074079
1075614,1075844
1079941,1080176
1081552,1081862
1090928,1091196
1093181,1093577
1100542,1100850
1102525,1102862
1103347,1103699
1109562,1109863
1114677,1114897
1123193,1123432
1127373,1127593
1127627,1127979
1135151,1135450
1139180,1139517
1160837,1161069
1161553,1161890
1163764,1164092
1176446,1176678
1177162,1177499
1201912,1202198
1206786,1207016
1207151,1207378
1209258,1209472
1219377,1219761
1239710,1239939
1242897,1243122
1270100,1270324
1281093,1281317
1285673,1286004
1301160,1301449
1314275,1314501
1331913,1332129
1332809,1333023
1338824,1339071
1370241,1370469
1387213,1387562
1388172,1388493
1389030,1389302
1396302,1396673
1400199,1400762
1445380,1445734
1449562,1449889
1487310,1487639
1491009,1491230
1494316,1494568
1495664,1495939
1514014,1514355
1520145,1520584
1560095,1560411
1568691,1568915
1585744,1585976
1587209,1587435
1614937,1615290
1627729,1628022
1638356,1638591
1649254,1649476
1656252,1656482
1663877,1664214
1665210,1665526
1666385,1666610
1668838,1669058
1671937,1672196
1684453,1684808
1691172,1691398
1701861,1702091
1719982,1720203
1747975,1748285
1753222,1753464
1802511,1802732
1807100,1807356
1812588,1812933
1818294,1818584
1821352,1821680
1843074,1843294
1847626,1847872
1854143,1854382
1855667,1855927
1867705,1867937
1868505,1868757
1878673,1878902
1914423,1914730
1954736,1954979
1964943,1965167
1969772,1970118
1978350,1978693
1987648,1987881
2004633,2004913
2010826,2011178
2092542,2092996
2099904,2100133
2107881,2108113
2119378,2119646
2125482,2125861
2138211,2138440
2148333,2148590
2155985,2156220
2158975,2159230
2163393,2163760
2164985,2165213
2186305,2186609
2199204,2199559
2225402,2225627
2225944,2226166
2244896,2245250
2254984,2255356
2256248,2256478
2257435,2257664
2257872,2258165
2265025,2265342
2270089,2270410
2285449,2285786
2286270,2286603
2291156,2291388
2291872,2292209
2296998,2297229
2299981,2300199
2322646,2322863
2357358,2357575
2357762,2357992
2358414,2358642
2359215,2359442
2376260,2376711
2377977,2378288
2383262,2383604
2385141,2385364
2414964,2415260
2422625,2422855
2434480,2434747
2441099,2441428
2451256,2451486
2453582,2453802
2471107,2471330
2495077,2495303
2519405,2519636
2525363,2525693
2546878,2547097
2573250,2573548
2577830,2578043
2580555,2580785
2594866,2595100
2596911,2597170
2608630,2608862
2693133,2693353
2695275,2695579
2700500,2700818
2701415,2701631
2733180,2733462
2733925,2734177
