ID,PC1,PC2,superkingdom,Replicons_type
chromosome_GCF_000005845.2_ASM584v2,-6.094722957527095,2.5916988980709132,Bacteria,chromosome
chromosome_GCF_000006765.1_ASM676v1,-12.2995887537058,16.434047999620574,Bacteria,chromosome
chromosome_GCF_000006945.2_ASM694v2,-6.116500733923456,2.256826879030158,Bacteria,chromosome
plasmid_pSLT_GCF_000006945.2_ASM694v2,-4.87674566795825,1.0429151584129344,Bacteria,plasmid_pSLT
chromosome_1_GCF_008369605.1_ASM836960v1,-2.474266775121359,-2.000453565148754,Bacteria,chromosome_1
chromosome_2_GCF_008369605.1_ASM836960v1,-2.329800447500067,-2.9358325787830286,Bacteria,chromosome_2
plasmid_unnamed_GCF_008369605.1_ASM836960v1,-2.058847433184693,-5.805408446800239,Bacteria,plasmid_unnamed
chromosome_GCF_017821535.1_ASM1782153v1,-2.449040924366503,-32.279263490997366,Bacteria,chromosome
plasmid_pMT5135_GCF_017821535.1_ASM1782153v1,48.96123497564124,5.848973854434672,Bacteria,plasmid_pMT5135
chromosome_GCF_000022005.1_ASM2200v1,-10.261721282354026,14.846495292160158,Bacteria,chromosome
