IR count,origin,ID-replicon
602486,obs,chromosome_GCF_002951835.1_ASM295183v1
624861,sim,chromosome_GCF_002951835.1_ASM295183v1
624921,sim,chromosome_GCF_002951835.1_ASM295183v1
625752,sim,chromosome_GCF_002951835.1_ASM295183v1
623494,sim,chromosome_GCF_002951835.1_ASM295183v1
624857,sim,chromosome_GCF_002951835.1_ASM295183v1
626080,sim,chromosome_GCF_002951835.1_ASM295183v1
625363,sim,chromosome_GCF_002951835.1_ASM295183v1
626582,sim,chromosome_GCF_002951835.1_ASM295183v1
625182,sim,chromosome_GCF_002951835.1_ASM295183v1
624822,sim,chromosome_GCF_002951835.1_ASM295183v1
