size,gap,z,ID,ID-replicon
7,1,62.0,GCF_002951835.1_ASM295183v1,chromosome_GCF_002951835.1_ASM295183v1
10,14,95.0,GCF_014054985.1_ASM1405498v1,chromosome_GCF_014054985.1_ASM1405498v1
5,11,4.0,GCF_014054985.1_ASM1405498v1,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
7,1,109.0,GCF_014054525.1_ASM1405452v1,chromosome_GCF_014054525.1_ASM1405452v1
6,2,26.666666666666668,GCF_022354465.1_ASM2235446v1,chromosome_GCF_022354465.1_ASM2235446v1
6,2,26.5,GCF_016894345.1_ASM1689434v1,chromosome_GCF_016894345.1_ASM1689434v1
6,2,111.5,GCF_022870845.1_ASM2287084v1,chromosome_GCF_022870845.1_ASM2287084v1
10,12,32.0,GCF_022749515.1_ASM2274951v1,chromosome_GCF_022749515.1_ASM2274951v1
10,4,36.0,GCF_001718895.1_ASM171889v1,chromosome_1_GCF_001718895.1_ASM171889v1
10,4,13.0,GCF_001718895.1_ASM171889v1,chromosome_2_GCF_001718895.1_ASM171889v1
9,4,5.0,GCF_001718895.1_ASM171889v1,chromosome_3_GCF_001718895.1_ASM171889v1
6,20,10.0,GCF_000009145.1_ASM914v1,chromosome_GCF_000009145.1_ASM914v1
16,15,14.0,GCA_019038085.1_ASM1903808v1,chromosome_GCA_019038085.1_ASM1903808v1
