IR count,origin,ID-replicon
1006502,obs,chromosome_GCF_000009045.1_ASM904v1
1019344,sim,chromosome_GCF_000009045.1_ASM904v1
1019908,sim,chromosome_GCF_000009045.1_ASM904v1
1019545,sim,chromosome_GCF_000009045.1_ASM904v1
1018404,sim,chromosome_GCF_000009045.1_ASM904v1
1017394,sim,chromosome_GCF_000009045.1_ASM904v1
1019242,sim,chromosome_GCF_000009045.1_ASM904v1
1018846,sim,chromosome_GCF_000009045.1_ASM904v1
1017611,sim,chromosome_GCF_000009045.1_ASM904v1
1016816,sim,chromosome_GCF_000009045.1_ASM904v1
1018775,sim,chromosome_GCF_000009045.1_ASM904v1
