IR count,origin,ID-replicon
193064,obs,chromosome_GCF_000006765.1_ASM676v1
190366,sim,chromosome_GCF_000006765.1_ASM676v1
190396,sim,chromosome_GCF_000006765.1_ASM676v1
191427,sim,chromosome_GCF_000006765.1_ASM676v1
190310,sim,chromosome_GCF_000006765.1_ASM676v1
191163,sim,chromosome_GCF_000006765.1_ASM676v1
191474,sim,chromosome_GCF_000006765.1_ASM676v1
190013,sim,chromosome_GCF_000006765.1_ASM676v1
189994,sim,chromosome_GCF_000006765.1_ASM676v1
190966,sim,chromosome_GCF_000006765.1_ASM676v1
190135,sim,chromosome_GCF_000006765.1_ASM676v1
