ID,ID-replicon,Replicons_name,GC,size
GCF_001718895.1_ASM171889v1,chromosome_1_GCF_001718895.1_ASM171889v1,chromosome_1,0.67,3588848
GCF_001718895.1_ASM171889v1,chromosome_2_GCF_001718895.1_ASM171889v1,chromosome_2,0.674,3069864
GCF_001718895.1_ASM171889v1,chromosome_3_GCF_001718895.1_ASM171889v1,chromosome_3,0.676,1121886
