,ID,PC1,PC2,order,Replicons_type,Type,Explained Variance 1,Explained Variance 2
0,chromosome_1_GCF_001718895.1_ASM171889v1,29.562746761259287,-12.908288464801638,Burkholderiales,chromosome_1,chromosome,?,?
1,chromosome_2_GCF_001718895.1_ASM171889v1,1.988670230533463,23.520489072681883,Burkholderiales,chromosome_2,chromosome,?,?
2,chromosome_3_GCF_001718895.1_ASM171889v1,-31.551416991792756,-10.612200607880208,Burkholderiales,chromosome_3,chromosome,?,?
