size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[239, 238, 252, 240, 263, 259, 235, 239, 243, 227]","[267, 256, 265, 247, 255, 285, 265, 236, 263, 241]","[179, 166, 215, 196, 210, 206, 196, 172, 202, 188]","[183, 186, 242, 196, 184, 175, 179, 181, 157, 181]","[191, 187, 171, 198, 168, 185, 190, 187, 169, 158]","[176, 207, 171, 198, 193, 198, 182, 203, 179, 200]","[181, 178, 185, 172, 196, 192, 181, 188, 195, 176]","[194, 188, 201, 189, 168, 212, 197, 155, 190, 198]","[186, 173, 184, 223, 208, 213, 173, 195, 194, 192]","[189, 183, 190, 168, 180, 215, 179, 197, 189, 190]","[179, 208, 213, 200, 179, 181, 209, 205, 195, 197]","[195, 169, 168, 190, 164, 194, 190, 186, 189, 188]","[164, 194, 180, 188, 191, 190, 196, 172, 177, 191]","[187, 197, 184, 189, 174, 200, 186, 187, 195, 194]","[172, 177, 172, 181, 168, 190, 181, 195, 192, 166]","[152, 173, 147, 208, 185, 204, 190, 200, 196, 173]","[178, 183, 175, 186, 203, 188, 177, 189, 180, 196]","[179, 191, 181, 178, 186, 184, 190, 192, 175, 199]","[208, 176, 208, 201, 196, 167, 189, 159, 192, 172]","[169, 170, 197, 179, 165, 166, 160, 174, 185, 183]","[183, 190, 185, 202, 177, 211, 185, 178, 162, 192]"
4,"[60, 56, 69, 66, 79, 72, 64, 71, 63, 57]","[73, 91, 84, 86, 62, 48, 79, 74, 67, 70]","[33, 45, 55, 60, 47, 60, 54, 70, 59, 49]","[57, 69, 57, 62, 53, 54, 58, 53, 54, 44]","[47, 50, 59, 58, 62, 36, 49, 64, 49, 40]","[52, 47, 54, 48, 55, 51, 47, 55, 51, 59]","[58, 56, 56, 55, 51, 64, 63, 45, 63, 51]","[41, 52, 50, 55, 48, 65, 54, 45, 43, 54]","[41, 62, 51, 59, 45, 59, 40, 62, 59, 42]","[53, 38, 55, 60, 46, 59, 64, 40, 63, 62]","[54, 60, 55, 41, 55, 53, 51, 55, 66, 51]","[52, 67, 57, 60, 47, 47, 55, 47, 62, 42]","[43, 57, 57, 43, 47, 58, 49, 48, 45, 53]","[54, 48, 56, 48, 53, 39, 62, 58, 44, 44]","[53, 46, 38, 50, 65, 49, 54, 65, 45, 51]","[59, 58, 48, 55, 64, 57, 44, 38, 54, 47]","[52, 41, 57, 52, 49, 54, 46, 47, 41, 40]","[54, 51, 43, 63, 40, 42, 54, 56, 49, 56]","[38, 54, 48, 44, 67, 44, 41, 54, 45, 54]","[37, 57, 61, 63, 53, 45, 43, 71, 54, 44]","[47, 47, 67, 50, 39, 56, 45, 60, 43, 45]"
5,"[13, 16, 18, 26, 19, 25, 18, 20, 14, 23]","[16, 29, 23, 21, 26, 20, 21, 21, 32, 21]","[24, 21, 17, 10, 22, 16, 13, 16, 14, 19]","[18, 16, 9, 14, 19, 16, 16, 16, 13, 16]","[16, 13, 12, 16, 11, 14, 22, 12, 15, 11]","[14, 11, 15, 16, 19, 13, 20, 18, 9, 26]","[10, 15, 12, 14, 19, 16, 13, 20, 17, 19]","[10, 8, 13, 17, 6, 10, 9, 8, 15, 10]","[22, 10, 13, 16, 18, 18, 16, 16, 14, 19]","[13, 14, 13, 14, 9, 13, 13, 14, 15, 25]","[17, 13, 15, 17, 14, 15, 15, 16, 22, 20]","[18, 16, 14, 19, 13, 18, 18, 15, 15, 13]","[10, 20, 21, 15, 9, 22, 19, 14, 11, 19]","[8, 14, 14, 16, 19, 15, 12, 14, 15, 13]","[16, 15, 20, 30, 17, 11, 18, 18, 11, 14]","[18, 21, 20, 11, 16, 13, 22, 11, 12, 20]","[12, 8, 17, 9, 9, 17, 15, 24, 20, 15]","[18, 23, 12, 18, 24, 11, 16, 16, 15, 14]","[15, 14, 15, 10, 19, 12, 12, 11, 15, 18]","[13, 11, 15, 8, 11, 16, 17, 14, 16, 12]","[17, 9, 13, 13, 12, 15, 12, 16, 15, 17]"
6,"[7, 5, 4, 6, 5, 3, 7, 5, 8, 2]","[3, 9, 4, 3, 4, 5, 6, 5, 6, 7]","[4, 3, 3, 9, 6, 5, 6, 3, 6, 5]","[3, 2, 3, 6, 2, 8, 4, 4, 2, 4]","[4, 4, 4, 4, 5, 3, 1, 5, 4, 2]","[4, 0, 3, 3, 5, 3, 5, 6, 1, 2]","[2, 5, 7, 2, 8, 2, 2, 2, 5, 5]","[5, 3, 4, 5, 3, 9, 5, 6, 6, 6]","[3, 7, 2, 6, 3, 3, 3, 2, 6, 5]","[5, 6, 2, 2, 5, 4, 4, 3, 4, 2]","[5, 2, 3, 4, 2, 7, 5, 0, 4, 4]","[7, 4, 7, 3, 6, 6, 6, 5, 3, 6]","[5, 5, 5, 1, 5, 2, 4, 2, 6, 6]","[7, 4, 6, 8, 4, 4, 3, 6, 5, 3]","[6, 4, 7, 8, 3, 3, 8, 6, 4, 5]","[6, 5, 4, 5, 3, 3, 3, 6, 5, 6]","[5, 4, 4, 2, 5, 7, 3, 2, 4, 2]","[5, 7, 4, 6, 2, 5, 4, 3, 3, 8]","[1, 2, 6, 2, 4, 6, 3, 5, 5, 0]","[5, 8, 3, 2, 4, 4, 8, 4, 3, 5]","[2, 5, 5, 4, 0, 5, 5, 3, 7, 3]"
7,"[6, 2, 3, 2, 3, 1, 4, 0, 4, 3]","[4, 3, 2, 1, 2, 2, 3, 2, 1, 2]","[3, 2, 1, 3, 2, 1, 1, 3, 0, 2]","[4, 0, 1, 0, 0, 4, 1, 1, 0, 0]","[1, 0, 1, 1, 0, 4, 4, 0, 1, 0]","[1, 1, 1, 1, 2, 2, 1, 2, 0, 2]","[1, 2, 2, 1, 2, 1, 1, 2, 1, 0]","[2, 1, 1, 0, 1, 1, 3, 2, 2, 2]","[2, 1, 0, 1, 0, 2, 1, 4, 0, 1]","[0, 1, 0, 1, 1, 0, 2, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 0, 2, 1]","[0, 2, 0, 1, 0, 0, 1, 1, 1, 2]","[2, 0, 1, 1, 1, 1, 2, 0, 0, 1]","[1, 0, 2, 1, 1, 0, 3, 2, 2, 0]","[0, 0, 0, 0, 1, 0, 3, 2, 1, 4]","[0, 4, 2, 2, 2, 2, 1, 1, 1, 1]","[2, 0, 1, 0, 4, 1, 1, 0, 2, 2]","[1, 1, 0, 0, 3, 0, 1, 1, 0, 5]","[3, 0, 0, 0, 0, 1, 2, 0, 2, 2]","[4, 1, 0, 1, 0, 5, 2, 1, 4, 1]","[2, 3, 0, 2, 1, 2, 2, 3, 1, 1]"
8,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 1, 1, 1, 2]","[1, 0, 0, 0, 0, 1, 1, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]","[0, 0, 1, 1, 0, 2, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 2, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 2, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1, 2, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 1]","[0, 0, 1, 0, 2, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 2, 1, 0, 0, 2]","[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
9,"[0, 0, 1, 0, 2, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
