IR count,origin,ID-replicon
678931,obs,chromosome_1_GCF_008369605.1_ASM836960v1
688105,sim,chromosome_1_GCF_008369605.1_ASM836960v1
687677,sim,chromosome_1_GCF_008369605.1_ASM836960v1
687630,sim,chromosome_1_GCF_008369605.1_ASM836960v1
686495,sim,chromosome_1_GCF_008369605.1_ASM836960v1
687021,sim,chromosome_1_GCF_008369605.1_ASM836960v1
687703,sim,chromosome_1_GCF_008369605.1_ASM836960v1
688358,sim,chromosome_1_GCF_008369605.1_ASM836960v1
687318,sim,chromosome_1_GCF_008369605.1_ASM836960v1
686890,sim,chromosome_1_GCF_008369605.1_ASM836960v1
687575,sim,chromosome_1_GCF_008369605.1_ASM836960v1
230837,obs,chromosome_2_GCF_008369605.1_ASM836960v1
237543,sim,chromosome_2_GCF_008369605.1_ASM836960v1
236098,sim,chromosome_2_GCF_008369605.1_ASM836960v1
236472,sim,chromosome_2_GCF_008369605.1_ASM836960v1
236985,sim,chromosome_2_GCF_008369605.1_ASM836960v1
237052,sim,chromosome_2_GCF_008369605.1_ASM836960v1
236560,sim,chromosome_2_GCF_008369605.1_ASM836960v1
237011,sim,chromosome_2_GCF_008369605.1_ASM836960v1
236836,sim,chromosome_2_GCF_008369605.1_ASM836960v1
235391,sim,chromosome_2_GCF_008369605.1_ASM836960v1
236213,sim,chromosome_2_GCF_008369605.1_ASM836960v1
10027,obs,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10211,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10188,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10388,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10215,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10286,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10187,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10276,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10291,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10353,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
10304,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
