IR count,origin,ID-replicon
2130231,obs,chromosome_GCF_000006765.1_ASM676v1
2163196,sim,chromosome_GCF_000006765.1_ASM676v1
2161519,sim,chromosome_GCF_000006765.1_ASM676v1
2162270,sim,chromosome_GCF_000006765.1_ASM676v1
2160726,sim,chromosome_GCF_000006765.1_ASM676v1
2162462,sim,chromosome_GCF_000006765.1_ASM676v1
2163027,sim,chromosome_GCF_000006765.1_ASM676v1
2161457,sim,chromosome_GCF_000006765.1_ASM676v1
2163801,sim,chromosome_GCF_000006765.1_ASM676v1
2162371,sim,chromosome_GCF_000006765.1_ASM676v1
2161616,sim,chromosome_GCF_000006765.1_ASM676v1
