IR count,origin,ID-replicon
1331087,obs,chromosome_GCF_000195955.2_ASM19595v2
1337822,sim,chromosome_GCF_000195955.2_ASM19595v2
1338022,sim,chromosome_GCF_000195955.2_ASM19595v2
1337665,sim,chromosome_GCF_000195955.2_ASM19595v2
1337005,sim,chromosome_GCF_000195955.2_ASM19595v2
1337802,sim,chromosome_GCF_000195955.2_ASM19595v2
1338863,sim,chromosome_GCF_000195955.2_ASM19595v2
1337980,sim,chromosome_GCF_000195955.2_ASM19595v2
1338415,sim,chromosome_GCF_000195955.2_ASM19595v2
1338723,sim,chromosome_GCF_000195955.2_ASM19595v2
1338474,sim,chromosome_GCF_000195955.2_ASM19595v2
