IR count,origin,ID-replicon
929212,obs,chromosome_GCF_000013425.1_ASM1342v1
933126,sim,chromosome_GCF_000013425.1_ASM1342v1
930540,sim,chromosome_GCF_000013425.1_ASM1342v1
931325,sim,chromosome_GCF_000013425.1_ASM1342v1
931050,sim,chromosome_GCF_000013425.1_ASM1342v1
930597,sim,chromosome_GCF_000013425.1_ASM1342v1
931090,sim,chromosome_GCF_000013425.1_ASM1342v1
931521,sim,chromosome_GCF_000013425.1_ASM1342v1
931316,sim,chromosome_GCF_000013425.1_ASM1342v1
930650,sim,chromosome_GCF_000013425.1_ASM1342v1
930244,sim,chromosome_GCF_000013425.1_ASM1342v1
