IR count,origin,ID-replicon
1803180,obs,chromosome_1_GCF_008369605.1_ASM836960v1
1813675,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1813600,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1811954,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1812334,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1811631,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1811975,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1815332,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1811312,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1811672,sim,chromosome_1_GCF_008369605.1_ASM836960v1
1813703,sim,chromosome_1_GCF_008369605.1_ASM836960v1
845971,obs,chromosome_2_GCF_008369605.1_ASM836960v1
859865,sim,chromosome_2_GCF_008369605.1_ASM836960v1
858571,sim,chromosome_2_GCF_008369605.1_ASM836960v1
858826,sim,chromosome_2_GCF_008369605.1_ASM836960v1
859474,sim,chromosome_2_GCF_008369605.1_ASM836960v1
858972,sim,chromosome_2_GCF_008369605.1_ASM836960v1
857680,sim,chromosome_2_GCF_008369605.1_ASM836960v1
860344,sim,chromosome_2_GCF_008369605.1_ASM836960v1
860805,sim,chromosome_2_GCF_008369605.1_ASM836960v1
857483,sim,chromosome_2_GCF_008369605.1_ASM836960v1
860394,sim,chromosome_2_GCF_008369605.1_ASM836960v1
35606,obs,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36267,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36609,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36553,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36444,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36088,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36373,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36375,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36100,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36420,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
36614,sim,plasmid_unnamed_GCF_008369605.1_ASM836960v1
