IR count,origin,ID-replicon
1207781,obs,chromosome_GCF_000005845.2_ASM584v2
1239201,sim,chromosome_GCF_000005845.2_ASM584v2
1239912,sim,chromosome_GCF_000005845.2_ASM584v2
1240731,sim,chromosome_GCF_000005845.2_ASM584v2
1240634,sim,chromosome_GCF_000005845.2_ASM584v2
1239629,sim,chromosome_GCF_000005845.2_ASM584v2
1240250,sim,chromosome_GCF_000005845.2_ASM584v2
1239073,sim,chromosome_GCF_000005845.2_ASM584v2
1238713,sim,chromosome_GCF_000005845.2_ASM584v2
1240695,sim,chromosome_GCF_000005845.2_ASM584v2
1240804,sim,chromosome_GCF_000005845.2_ASM584v2
