IR count,origin,ID-replicon
1468045,obs,chromosome_GCF_000195955.2_ASM19595v2
1473183,sim,chromosome_GCF_000195955.2_ASM19595v2
1473941,sim,chromosome_GCF_000195955.2_ASM19595v2
1473403,sim,chromosome_GCF_000195955.2_ASM19595v2
1472918,sim,chromosome_GCF_000195955.2_ASM19595v2
1473295,sim,chromosome_GCF_000195955.2_ASM19595v2
1474764,sim,chromosome_GCF_000195955.2_ASM19595v2
1473601,sim,chromosome_GCF_000195955.2_ASM19595v2
1473630,sim,chromosome_GCF_000195955.2_ASM19595v2
1474421,sim,chromosome_GCF_000195955.2_ASM19595v2
1474126,sim,chromosome_GCF_000195955.2_ASM19595v2
