size,gap,z,ID,ID-replicon
11,15,20.0,GCF_002951835.1_ASM295183v1,chromosome_GCF_002951835.1_ASM295183v1
10,10,8.0,GCF_014054985.1_ASM1405498v1,chromosome_GCF_014054985.1_ASM1405498v1
4,1,3.0,GCF_014054985.1_ASM1405498v1,plasmid_pDSM18271_GCF_014054985.1_ASM1405498v1
8,17,5.0,GCF_014054525.1_ASM1405452v1,chromosome_GCF_014054525.1_ASM1405452v1
8,1,5.0,GCF_022354465.1_ASM2235446v1,chromosome_GCF_022354465.1_ASM2235446v1
8,5,4.0,GCF_016894345.1_ASM1689434v1,chromosome_GCF_016894345.1_ASM1689434v1
9,13,6.0,GCF_022870845.1_ASM2287084v1,chromosome_GCF_022870845.1_ASM2287084v1
9,8,75.0,GCF_022749515.1_ASM2274951v1,chromosome_GCF_022749515.1_ASM2274951v1
9,14,4.0,GCF_001718895.1_ASM171889v1,chromosome_1_GCF_001718895.1_ASM171889v1
9,15,4.0,GCF_001718895.1_ASM171889v1,chromosome_2_GCF_001718895.1_ASM171889v1
8,7,4.0,GCF_001718895.1_ASM171889v1,chromosome_3_GCF_001718895.1_ASM171889v1
8,14,7.0,GCF_000009145.1_ASM914v1,chromosome_GCF_000009145.1_ASM914v1
9,3,8.0,GCA_019038085.1_ASM1903808v1,chromosome_GCA_019038085.1_ASM1903808v1
