size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[2229, 2231, 2296, 2158, 2216, 2173, 2194, 2208, 2196, 2202]","[2514, 2498, 2492, 2432, 2481, 2494, 2533, 2497, 2454, 2526]","[1565, 1520, 1647, 1573, 1613, 1570, 1609, 1485, 1626, 1568]","[1453, 1472, 1470, 1380, 1430, 1471, 1532, 1487, 1523, 1434]","[1551, 1500, 1550, 1640, 1571, 1512, 1617, 1639, 1647, 1600]","[1625, 1633, 1601, 1577, 1589, 1597, 1619, 1596, 1565, 1586]","[1571, 1515, 1629, 1587, 1486, 1575, 1603, 1543, 1529, 1578]","[1605, 1581, 1570, 1607, 1525, 1539, 1576, 1503, 1586, 1568]","[1609, 1689, 1536, 1575, 1526, 1561, 1590, 1519, 1645, 1517]","[1507, 1593, 1593, 1590, 1613, 1553, 1594, 1639, 1541, 1569]","[1563, 1547, 1562, 1634, 1554, 1597, 1473, 1593, 1586, 1472]","[1554, 1552, 1537, 1573, 1575, 1580, 1554, 1584, 1614, 1549]","[1534, 1535, 1610, 1566, 1519, 1549, 1553, 1565, 1561, 1566]","[1643, 1582, 1609, 1599, 1562, 1545, 1604, 1555, 1537, 1605]","[1577, 1583, 1549, 1503, 1560, 1571, 1523, 1499, 1571, 1585]","[1555, 1609, 1505, 1543, 1579, 1560, 1564, 1503, 1547, 1558]","[1552, 1583, 1565, 1541, 1585, 1549, 1554, 1582, 1554, 1541]","[1559, 1549, 1527, 1571, 1510, 1587, 1626, 1498, 1514, 1625]","[1500, 1591, 1542, 1547, 1538, 1545, 1461, 1567, 1633, 1563]","[1595, 1503, 1543, 1603, 1623, 1615, 1548, 1508, 1567, 1532]","[1525, 1577, 1569, 1507, 1553, 1589, 1540, 1549, 1528, 1526]"
4,"[606, 599, 579, 589, 566, 591, 616, 611, 637, 592]","[679, 671, 668, 628, 661, 610, 612, 695, 651, 664]","[369, 380, 443, 416, 443, 422, 375, 431, 378, 426]","[421, 378, 393, 383, 384, 408, 393, 371, 349, 362]","[405, 437, 445, 438, 424, 449, 403, 444, 418, 417]","[431, 395, 418, 397, 440, 425, 412, 411, 431, 414]","[444, 434, 448, 428, 465, 443, 383, 391, 402, 426]","[401, 438, 426, 426, 418, 439, 424, 425, 411, 443]","[461, 450, 424, 399, 384, 441, 434, 414, 403, 403]","[428, 424, 453, 409, 419, 392, 417, 430, 454, 403]","[403, 426, 440, 440, 390, 373, 438, 390, 410, 421]","[392, 408, 452, 434, 397, 426, 393, 386, 415, 416]","[389, 425, 424, 414, 395, 358, 392, 426, 418, 457]","[429, 377, 431, 397, 426, 410, 407, 423, 401, 430]","[455, 427, 403, 401, 411, 409, 443, 423, 381, 434]","[429, 399, 412, 390, 392, 414, 423, 441, 451, 416]","[395, 445, 420, 410, 357, 446, 395, 423, 406, 425]","[469, 421, 362, 454, 439, 403, 414, 437, 459, 397]","[409, 420, 443, 403, 439, 429, 400, 451, 443, 398]","[419, 452, 448, 416, 424, 461, 400, 409, 407, 456]","[430, 423, 410, 417, 410, 425, 435, 393, 439, 419]"
5,"[146, 167, 158, 144, 150, 162, 174, 151, 134, 155]","[182, 171, 182, 159, 171, 183, 159, 172, 173, 189]","[110, 124, 100, 99, 120, 89, 140, 123, 111, 128]","[95, 109, 115, 120, 120, 100, 110, 89, 113, 102]","[107, 88, 127, 93, 99, 147, 86, 112, 104, 100]","[115, 95, 106, 122, 119, 117, 104, 121, 126, 135]","[118, 109, 139, 112, 106, 129, 121, 101, 113, 111]","[109, 99, 112, 106, 116, 111, 126, 112, 106, 117]","[127, 114, 109, 116, 108, 125, 113, 95, 115, 93]","[114, 134, 90, 129, 126, 107, 110, 103, 113, 113]","[95, 96, 95, 109, 132, 98, 102, 104, 132, 112]","[101, 138, 120, 92, 126, 121, 104, 112, 122, 97]","[118, 118, 101, 108, 120, 110, 119, 113, 120, 114]","[111, 117, 97, 116, 113, 105, 85, 103, 118, 100]","[109, 126, 114, 119, 113, 99, 117, 108, 89, 116]","[115, 108, 113, 117, 108, 118, 113, 96, 111, 113]","[104, 108, 102, 100, 111, 109, 119, 120, 109, 109]","[119, 115, 119, 116, 87, 108, 95, 106, 107, 108]","[106, 121, 110, 102, 114, 100, 113, 120, 117, 105]","[118, 119, 100, 104, 105, 134, 100, 100, 94, 94]","[109, 106, 107, 115, 114, 123, 119, 113, 97, 96]"
6,"[43, 47, 41, 45, 41, 49, 49, 44, 38, 39]","[41, 42, 42, 46, 46, 43, 48, 45, 56, 47]","[42, 37, 23, 29, 31, 29, 28, 26, 33, 30]","[26, 32, 21, 34, 19, 23, 24, 22, 37, 25]","[29, 27, 30, 31, 28, 38, 27, 36, 25, 29]","[36, 44, 25, 38, 31, 25, 27, 34, 31, 25]","[35, 36, 28, 26, 34, 28, 25, 40, 31, 40]","[30, 33, 31, 28, 33, 28, 28, 28, 30, 37]","[34, 28, 23, 25, 31, 36, 33, 36, 28, 30]","[26, 36, 30, 32, 37, 29, 30, 23, 38, 25]","[27, 24, 19, 29, 35, 30, 32, 33, 28, 39]","[33, 32, 29, 25, 24, 36, 26, 29, 24, 26]","[31, 25, 42, 37, 24, 24, 34, 33, 37, 29]","[20, 29, 27, 26, 34, 29, 34, 26, 26, 38]","[31, 29, 21, 31, 38, 33, 32, 29, 30, 32]","[27, 20, 39, 25, 41, 25, 30, 28, 24, 36]","[34, 20, 40, 23, 22, 29, 32, 30, 31, 28]","[36, 31, 26, 39, 28, 37, 25, 31, 30, 22]","[38, 29, 28, 29, 24, 28, 28, 38, 21, 27]","[37, 26, 22, 30, 31, 38, 29, 34, 20, 22]","[31, 32, 32, 31, 32, 31, 23, 43, 31, 21]"
7,"[15, 11, 8, 5, 13, 8, 16, 7, 17, 15]","[8, 10, 15, 15, 13, 11, 9, 13, 14, 19]","[7, 11, 10, 6, 5, 7, 10, 7, 7, 10]","[10, 4, 4, 10, 10, 8, 6, 5, 5, 13]","[6, 5, 1, 8, 10, 9, 12, 4, 8, 5]","[4, 7, 5, 5, 6, 9, 4, 10, 12, 9]","[18, 9, 7, 10, 7, 8, 3, 13, 12, 9]","[8, 5, 8, 6, 9, 10, 8, 8, 5, 7]","[11, 6, 5, 7, 6, 9, 8, 10, 9, 8]","[11, 7, 7, 6, 5, 8, 9, 9, 7, 16]","[9, 11, 5, 4, 6, 4, 8, 11, 11, 6]","[6, 9, 2, 9, 7, 11, 11, 8, 7, 11]","[9, 12, 9, 10, 2, 11, 10, 8, 6, 6]","[6, 6, 8, 8, 10, 10, 8, 5, 6, 7]","[11, 8, 7, 9, 8, 9, 10, 10, 7, 6]","[6, 9, 14, 5, 7, 7, 8, 10, 5, 8]","[12, 8, 9, 9, 5, 6, 4, 6, 6, 11]","[4, 8, 6, 8, 8, 8, 6, 12, 13, 9]","[11, 5, 11, 10, 4, 4, 11, 8, 4, 7]","[6, 5, 10, 11, 6, 12, 6, 6, 10, 10]","[14, 10, 8, 4, 8, 6, 10, 8, 7, 4]"
8,"[3, 2, 1, 3, 4, 4, 0, 2, 1, 2]","[4, 2, 3, 1, 4, 3, 6, 4, 4, 6]","[2, 3, 1, 1, 0, 3, 1, 4, 2, 1]","[1, 1, 2, 3, 4, 3, 0, 2, 2, 5]","[2, 4, 4, 1, 1, 4, 4, 3, 5, 1]","[1, 2, 5, 4, 2, 2, 2, 3, 2, 2]","[2, 0, 3, 1, 1, 2, 2, 2, 2, 3]","[3, 1, 1, 3, 3, 2, 3, 2, 0, 2]","[2, 0, 4, 3, 1, 2, 4, 1, 3, 1]","[3, 2, 2, 1, 2, 0, 2, 1, 0, 2]","[2, 0, 3, 1, 2, 2, 2, 2, 2, 1]","[1, 4, 4, 3, 0, 1, 3, 1, 2, 2]","[0, 3, 3, 1, 1, 1, 1, 1, 5, 3]","[3, 1, 0, 2, 3, 4, 1, 2, 1, 2]","[1, 2, 3, 1, 3, 2, 3, 2, 3, 2]","[1, 1, 2, 4, 1, 3, 1, 3, 1, 1]","[2, 4, 0, 2, 3, 2, 5, 4, 2, 0]","[3, 1, 1, 1, 2, 2, 3, 2, 2, 1]","[2, 3, 3, 1, 1, 3, 1, 2, 3, 1]","[2, 4, 4, 2, 0, 2, 1, 3, 1, 5]","[6, 3, 2, 2, 0, 3, 2, 1, 1, 3]"
9,"[2, 1, 2, 1, 0, 0, 0, 2, 2, 0]","[0, 0, 1, 0, 2, 2, 1, 1, 2, 2]","[0, 2, 1, 0, 0, 0, 0, 0, 2, 0]","[0, 1, 0, 0, 0, 2, 0, 0, 1, 0]","[1, 1, 2, 2, 0, 0, 1, 0, 0, 1]","[1, 2, 0, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 3, 0, 1, 1, 0, 0, 1, 0]","[2, 1, 0, 4, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 3, 0, 0, 0, 1, 0, 0]","[0, 2, 2, 0, 0, 0, 1, 1, 1, 2]","[1, 0, 3, 0, 0, 4, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 2, 1, 1, 0, 2]","[2, 1, 0, 0, 0, 0, 0, 0, 0, 2]","[1, 0, 0, 0, 1, 0, 0, 1, 2, 1]","[2, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 2, 1, 0, 0, 0, 2]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 2]","[0, 1, 0, 1, 0, 0, 2, 0, 1, 1]","[0, 1, 0, 0, 2, 1, 3, 0, 2, 0]","[0, 0, 1, 0, 0, 0, 1, 2, 0, 0]","[0, 3, 0, 1, 0, 0, 1, 0, 0, 2]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 4, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
