size,gap,z,ID,ID-replicon
8,4,5.0,GCF_000005845.2_ASM584v2,chromosome_GCF_000005845.2_ASM584v2
9,7,4.0,GCF_000009045.1_ASM904v1,chromosome_GCF_000009045.1_ASM904v1
8,12,5.0,GCF_000013425.1_ASM1342v1,chromosome_GCF_000013425.1_ASM1342v1
9,7,5.0,GCF_000006765.1_ASM676v1,chromosome_GCF_000006765.1_ASM676v1
10,0,6.0,GCF_000195955.2_ASM19595v2,chromosome_GCF_000195955.2_ASM19595v2
8,4,5.0,GCF_000006945.2_ASM694v2,chromosome_GCF_000006945.2_ASM694v2
6,1,3.0,GCF_000006945.2_ASM694v2,plasmid_pSLT_GCF_000006945.2_ASM694v2
10,0,4.0,GCF_018885085.1_ASM1888508v1,chromosome_GCF_018885085.1_ASM1888508v1
4,6,3.0,GCF_018885085.1_ASM1888508v1,plasmid_unnamed_GCF_018885085.1_ASM1888508v1
7,10,3.0,GCF_009769205.1_ASM976920v1,chromosome_GCF_009769205.1_ASM976920v1
3,10,3.0,GCF_009769205.1_ASM976920v1,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
8,5,4.0,GCF_008369605.1_ASM836960v1,chromosome_1_GCF_008369605.1_ASM836960v1
7,13,4.0,GCF_008369605.1_ASM836960v1,chromosome_2_GCF_008369605.1_ASM836960v1
5,7,4.0,GCF_008369605.1_ASM836960v1,plasmid_unnamed_GCF_008369605.1_ASM836960v1
11,3,3.0,GCF_017821535.1_ASM1782153v1,chromosome_GCF_017821535.1_ASM1782153v1
4,3,3.0,GCF_017821535.1_ASM1782153v1,plasmid_pMT5135_GCF_017821535.1_ASM1782153v1
11,18,4.0,GCF_000022005.1_ASM2200v1,chromosome_GCF_000022005.1_ASM2200v1
