IR count,origin,ID-replicon
1037375,obs,chromosome_GCF_000005845.2_ASM584v2
1069514,sim,chromosome_GCF_000005845.2_ASM584v2
1069867,sim,chromosome_GCF_000005845.2_ASM584v2
1070720,sim,chromosome_GCF_000005845.2_ASM584v2
1070108,sim,chromosome_GCF_000005845.2_ASM584v2
1070115,sim,chromosome_GCF_000005845.2_ASM584v2
1069933,sim,chromosome_GCF_000005845.2_ASM584v2
1069935,sim,chromosome_GCF_000005845.2_ASM584v2
1068811,sim,chromosome_GCF_000005845.2_ASM584v2
1071023,sim,chromosome_GCF_000005845.2_ASM584v2
1071070,sim,chromosome_GCF_000005845.2_ASM584v2
1151963,obs,chromosome_GCF_000006945.2_ASM694v2
1177236,sim,chromosome_GCF_000006945.2_ASM694v2
1176595,sim,chromosome_GCF_000006945.2_ASM694v2
1176483,sim,chromosome_GCF_000006945.2_ASM694v2
1176546,sim,chromosome_GCF_000006945.2_ASM694v2
1178099,sim,chromosome_GCF_000006945.2_ASM694v2
1177048,sim,chromosome_GCF_000006945.2_ASM694v2
1176370,sim,chromosome_GCF_000006945.2_ASM694v2
1175617,sim,chromosome_GCF_000006945.2_ASM694v2
1178258,sim,chromosome_GCF_000006945.2_ASM694v2
1175625,sim,chromosome_GCF_000006945.2_ASM694v2
18481,obs,plasmid_pSLT_GCF_000006945.2_ASM694v2
18818,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18947,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
19112,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18763,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18662,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18820,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18718,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18560,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18955,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
18778,sim,plasmid_pSLT_GCF_000006945.2_ASM694v2
