size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,"[51147, 51539, 51675, 51315, 51364, 51659, 51432, 51470, 51432, 51399]","[55090, 54876, 54927, 54965, 54590, 55123, 54943, 54877, 54723, 55005]","[39361, 39544, 39741, 39576, 39421, 39791, 39697, 40168, 39377, 39545]","[39055, 39104, 39272, 39127, 39117, 39084, 39228, 38810, 39038, 39301]","[39561, 40056, 39992, 40220, 39650, 39990, 40197, 39636, 39815, 40043]","[40080, 39774, 39933, 39325, 39168, 39674, 39556, 39602, 39918, 39539]","[39085, 39441, 39280, 39269, 39606, 39425, 39381, 39676, 39572, 39474]","[39290, 39506, 39503, 39740, 39550, 39673, 39444, 39429, 39452, 39391]","[39822, 39354, 39409, 39290, 39261, 38980, 39139, 39421, 39218, 39548]","[39408, 39503, 39546, 39556, 39022, 39509, 39204, 39014, 39146, 39366]","[39278, 39567, 39130, 39329, 39104, 39176, 39200, 39011, 38916, 39671]","[38970, 39099, 39470, 39114, 39195, 39015, 39671, 39336, 39076, 39304]","[39054, 39217, 39032, 39125, 38823, 39115, 39019, 39070, 39024, 38863]","[38973, 39143, 38735, 39111, 38780, 38943, 38832, 39315, 39199, 39327]","[39167, 39151, 38579, 38805, 38857, 38784, 39118, 39005, 38708, 38818]","[38962, 38757, 38683, 39028, 38784, 38662, 38727, 39005, 38745, 38956]","[38680, 38899, 38740, 38842, 38991, 38867, 38676, 38634, 38644, 38738]","[38845, 39012, 38720, 38484, 38786, 38669, 38552, 38515, 38342, 38638]","[38668, 38705, 38439, 38805, 38465, 38537, 38497, 38352, 38456, 38564]","[38653, 38580, 38492, 38302, 38617, 38676, 38332, 38530, 38549, 38631]","[38408, 38646, 38338, 38493, 38499, 38603, 38434, 38499, 38491, 38229]"
4,"[13867, 13662, 13597, 14067, 13605, 13721, 13689, 13747, 13552, 13703]","[14701, 14536, 14493, 14504, 14703, 14591, 14631, 14278, 14421, 14685]","[10509, 10453, 10600, 10567, 10647, 10724, 10431, 10459, 10309, 10481]","[10529, 10504, 10364, 10531, 10504, 10475, 10373, 10467, 10279, 10508]","[10592, 10550, 10710, 10373, 10600, 10588, 10533, 10748, 10825, 10702]","[10482, 10575, 10567, 10397, 10634, 10514, 10472, 10616, 10460, 10543]","[10380, 10486, 10485, 10332, 10403, 10335, 10506, 10538, 10640, 10398]","[10403, 10355, 10283, 10703, 10411, 10565, 10557, 10489, 10562, 10388]","[10454, 10458, 10453, 10484, 10446, 10627, 10584, 10323, 10461, 10435]","[10383, 10392, 10334, 10380, 10542, 10394, 10450, 10445, 10321, 10324]","[10327, 10577, 10347, 10359, 10490, 10237, 10357, 10271, 10413, 10410]","[10455, 10499, 10411, 10330, 10201, 10387, 10413, 10375, 10413, 10355]","[10253, 10461, 10502, 10301, 10440, 10576, 10309, 10447, 10496, 10408]","[10374, 10214, 10536, 10307, 10302, 10558, 10376, 10267, 10357, 10397]","[10310, 10381, 10172, 10310, 10405, 10311, 10344, 10143, 10396, 10406]","[10374, 10350, 10442, 10341, 10269, 10252, 10045, 10094, 10310, 10399]","[10137, 10363, 10393, 10262, 10194, 10400, 10381, 10355, 10347, 9977]","[10317, 10115, 10424, 10267, 10223, 10245, 10181, 10224, 10177, 10187]","[10385, 10248, 10226, 10301, 10188, 10107, 10211, 10300, 10203, 10287]","[10218, 10470, 10109, 10126, 10315, 10322, 10283, 10322, 10039, 10066]","[10089, 10092, 10232, 10058, 10005, 10193, 10297, 10275, 10134, 10102]"
5,"[3603, 3666, 3635, 3564, 3687, 3609, 3729, 3580, 3694, 3653]","[3837, 3774, 3982, 3832, 3892, 3883, 3911, 3793, 3790, 3822]","[2735, 2773, 2835, 2837, 2873, 2854, 2873, 2858, 2733, 2867]","[2721, 2717, 2819, 2813, 2659, 2832, 2781, 2717, 2726, 2836]","[2836, 2756, 2900, 2850, 2778, 2843, 2799, 2744, 2792, 2884]","[2770, 2778, 2694, 2758, 2726, 2880, 2845, 2705, 2848, 2746]","[2877, 2799, 2744, 2809, 2778, 2739, 2914, 2708, 2808, 2693]","[2857, 2782, 2737, 2941, 2755, 2822, 2824, 2726, 2831, 2780]","[2762, 2735, 2780, 2756, 2808, 2779, 2821, 2761, 2808, 2876]","[2788, 2824, 2841, 2745, 2738, 2811, 2699, 2755, 2706, 2772]","[2741, 2747, 2785, 2820, 2782, 2752, 2817, 2797, 2832, 2678]","[2693, 2712, 2761, 2809, 2806, 2740, 2729, 2709, 2831, 2754]","[2756, 2746, 2765, 2820, 2768, 2792, 2700, 2767, 2790, 2770]","[2670, 2809, 2791, 2763, 2750, 2804, 2773, 2856, 2806, 2777]","[2859, 2713, 2806, 2741, 2646, 2708, 2667, 2875, 2730, 2734]","[2723, 2677, 2752, 2730, 2827, 2814, 2682, 2704, 2726, 2807]","[2750, 2695, 2750, 2742, 2651, 2747, 2827, 2716, 2717, 2724]","[2774, 2722, 2817, 2800, 2726, 2726, 2660, 2670, 2724, 2730]","[2805, 2689, 2719, 2693, 2728, 2880, 2695, 2648, 2724, 2692]","[2631, 2747, 2702, 2655, 2852, 2708, 2801, 2718, 2762, 2745]","[2741, 2749, 2716, 2703, 2783, 2705, 2702, 2744, 2693, 2716]"
6,"[969, 996, 1010, 1007, 893, 935, 974, 985, 993, 936]","[1042, 997, 1033, 1061, 1024, 1024, 996, 1012, 1045, 1026]","[773, 731, 749, 743, 708, 751, 738, 767, 759, 736]","[703, 707, 768, 770, 737, 756, 735, 675, 717, 719]","[740, 740, 708, 765, 750, 748, 807, 765, 729, 732]","[763, 728, 716, 748, 742, 742, 794, 756, 768, 694]","[732, 721, 792, 755, 713, 714, 750, 739, 731, 756]","[739, 737, 748, 814, 786, 808, 761, 726, 721, 708]","[772, 799, 712, 759, 759, 718, 711, 726, 787, 666]","[768, 744, 739, 747, 730, 740, 735, 739, 751, 700]","[729, 711, 729, 735, 756, 719, 772, 788, 734, 736]","[766, 710, 760, 771, 700, 747, 763, 702, 685, 735]","[688, 740, 752, 800, 694, 742, 738, 720, 753, 729]","[718, 768, 731, 734, 739, 721, 721, 787, 733, 744]","[748, 709, 722, 672, 688, 738, 698, 759, 750, 745]","[745, 716, 774, 731, 656, 780, 717, 716, 757, 719]","[728, 769, 749, 702, 724, 714, 726, 729, 747, 763]","[744, 727, 735, 722, 760, 733, 738, 704, 704, 704]","[776, 681, 743, 783, 691, 721, 726, 692, 701, 692]","[667, 727, 758, 748, 734, 708, 758, 692, 719, 715]","[720, 724, 744, 773, 679, 755, 704, 722, 711, 693]"
7,"[238, 233, 238, 230, 254, 259, 273, 244, 232, 220]","[285, 268, 298, 241, 295, 250, 270, 269, 287, 278]","[198, 207, 182, 171, 180, 202, 208, 210, 205, 207]","[209, 184, 215, 203, 199, 174, 191, 213, 199, 212]","[211, 178, 177, 204, 177, 188, 190, 177, 182, 201]","[196, 193, 190, 205, 194, 207, 203, 203, 211, 192]","[183, 209, 216, 202, 222, 222, 203, 200, 186, 209]","[199, 226, 194, 205, 190, 193, 210, 201, 197, 213]","[214, 208, 209, 193, 224, 181, 210, 201, 183, 206]","[171, 201, 217, 198, 212, 194, 178, 219, 196, 196]","[217, 203, 196, 212, 223, 180, 192, 197, 196, 194]","[173, 211, 179, 209, 204, 194, 194, 207, 197, 194]","[165, 201, 189, 203, 196, 189, 200, 185, 208, 213]","[192, 181, 199, 189, 195, 210, 202, 195, 182, 204]","[208, 188, 178, 188, 182, 200, 211, 184, 190, 190]","[228, 190, 192, 191, 190, 169, 195, 192, 201, 198]","[165, 191, 193, 181, 211, 189, 197, 172, 167, 193]","[205, 185, 221, 177, 194, 213, 188, 165, 208, 174]","[197, 202, 170, 190, 193, 218, 211, 189, 220, 207]","[189, 192, 197, 178, 193, 203, 196, 224, 199, 182]","[209, 181, 168, 192, 234, 205, 189, 214, 218, 210]"
8,"[78, 55, 66, 65, 80, 69, 56, 73, 70, 65]","[78, 66, 75, 84, 71, 52, 65, 79, 73, 84]","[51, 62, 58, 43, 51, 47, 56, 62, 64, 49]","[51, 60, 58, 56, 52, 54, 53, 56, 53, 50]","[49, 56, 55, 47, 48, 62, 48, 63, 57, 64]","[53, 61, 47, 55, 49, 53, 56, 70, 41, 55]","[56, 52, 50, 46, 60, 73, 56, 72, 47, 51]","[55, 53, 62, 53, 50, 56, 42, 54, 56, 49]","[52, 55, 67, 63, 51, 58, 53, 61, 55, 58]","[60, 50, 55, 58, 46, 52, 61, 51, 47, 59]","[44, 51, 46, 57, 61, 41, 57, 40, 32, 49]","[65, 51, 60, 49, 54, 50, 46, 56, 49, 48]","[53, 49, 56, 56, 43, 53, 53, 61, 38, 52]","[47, 56, 52, 45, 50, 48, 53, 52, 46, 53]","[55, 49, 40, 48, 53, 65, 51, 53, 47, 72]","[48, 62, 49, 59, 64, 48, 53, 53, 52, 56]","[52, 51, 51, 73, 50, 53, 28, 65, 55, 69]","[62, 50, 50, 60, 39, 62, 49, 42, 49, 59]","[71, 39, 50, 67, 55, 51, 47, 67, 55, 56]","[43, 49, 69, 45, 36, 44, 51, 52, 52, 55]","[64, 56, 54, 52, 66, 44, 56, 43, 44, 50]"
9,"[24, 21, 18, 12, 30, 24, 15, 18, 17, 16]","[22, 15, 21, 24, 22, 13, 17, 14, 22, 15]","[7, 14, 14, 15, 15, 15, 14, 13, 12, 7]","[15, 16, 15, 11, 12, 20, 15, 11, 15, 16]","[14, 19, 11, 11, 19, 11, 17, 15, 10, 13]","[19, 16, 19, 15, 12, 11, 13, 11, 8, 16]","[18, 17, 15, 19, 17, 20, 12, 16, 18, 17]","[13, 12, 21, 17, 8, 20, 12, 9, 17, 15]","[8, 13, 19, 15, 8, 10, 17, 9, 16, 17]","[10, 15, 11, 11, 13, 13, 13, 14, 19, 8]","[11, 22, 14, 11, 14, 20, 16, 16, 11, 7]","[16, 13, 17, 10, 21, 12, 13, 16, 14, 18]","[8, 12, 14, 12, 11, 14, 17, 15, 11, 7]","[16, 16, 15, 14, 15, 8, 12, 9, 16, 19]","[13, 16, 9, 15, 17, 14, 10, 10, 13, 13]","[19, 14, 17, 12, 13, 11, 17, 15, 10, 13]","[8, 20, 17, 12, 11, 19, 5, 11, 16, 15]","[9, 13, 13, 15, 11, 10, 11, 17, 8, 17]","[15, 11, 8, 15, 14, 18, 15, 14, 12, 15]","[11, 9, 9, 12, 11, 8, 12, 13, 13, 12]","[16, 6, 17, 13, 14, 14, 9, 17, 21, 17]"
10,"[3, 2, 3, 5, 9, 4, 5, 6, 2, 3]","[1, 10, 5, 5, 11, 6, 4, 8, 5, 1]","[2, 2, 5, 3, 4, 5, 4, 2, 2, 5]","[5, 5, 2, 5, 4, 3, 5, 2, 3, 3]","[4, 2, 4, 4, 2, 9, 5, 4, 7, 3]","[6, 6, 4, 4, 3, 3, 4, 5, 6, 2]","[2, 1, 7, 2, 1, 3, 4, 3, 1, 5]","[3, 1, 5, 5, 2, 3, 2, 3, 5, 1]","[6, 3, 2, 5, 3, 5, 3, 3, 5, 3]","[6, 3, 5, 5, 1, 6, 3, 3, 4, 3]","[3, 3, 5, 4, 1, 0, 6, 3, 3, 5]","[5, 4, 3, 1, 6, 2, 3, 5, 3, 4]","[1, 2, 2, 3, 5, 4, 3, 2, 2, 4]","[1, 5, 2, 5, 2, 4, 3, 4, 6, 2]","[8, 5, 3, 6, 5, 4, 1, 0, 8, 6]","[3, 4, 1, 4, 2, 2, 5, 3, 1, 4]","[3, 5, 5, 5, 4, 2, 4, 5, 4, 6]","[2, 1, 4, 0, 5, 3, 1, 4, 1, 2]","[2, 2, 5, 0, 4, 2, 3, 4, 6, 6]","[5, 3, 1, 6, 3, 3, 1, 4, 3, 5]","[3, 2, 3, 7, 2, 4, 5, 4, 4, 8]"
11,"[0, 0, 0, 3, 2, 0, 2, 2, 1, 0]","[2, 2, 4, 2, 0, 1, 2, 1, 2, 0]","[0, 0, 0, 2, 2, 2, 0, 0, 2, 2]","[1, 2, 0, 0, 1, 3, 0, 0, 0, 2]","[0, 0, 0, 1, 4, 0, 2, 0, 1, 1]","[2, 1, 1, 0, 2, 0, 1, 1, 1, 3]","[0, 3, 0, 1, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 2, 0, 2]","[0, 2, 1, 1, 0, 1, 1, 0, 2, 1]","[1, 1, 0, 2, 2, 1, 1, 0, 0, 0]","[2, 1, 1, 4, 3, 0, 3, 4, 0, 0]","[3, 1, 1, 0, 0, 2, 0, 1, 1, 1]","[4, 0, 0, 0, 0, 2, 1, 0, 1, 1]","[3, 1, 1, 2, 1, 1, 1, 1, 1, 0]","[3, 3, 0, 1, 2, 0, 1, 2, 1, 0]","[0, 2, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 2, 0, 3, 0, 0, 1, 0]","[4, 1, 2, 0, 0, 0, 3, 3, 1, 0]","[1, 1, 0, 1, 3, 1, 4, 0, 0, 1]","[0, 0, 1, 5, 0, 1, 0, 1, 2, 1]","[0, 1, 1, 2, 2, 0, 1, 0, 1, 1]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 2, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 3]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 2, 0, 2, 0]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
