IR count,origin,ID-replicon
175982,obs,chromosome_GCF_000013425.1_ASM1342v1
174655,sim,chromosome_GCF_000013425.1_ASM1342v1
174287,sim,chromosome_GCF_000013425.1_ASM1342v1
174408,sim,chromosome_GCF_000013425.1_ASM1342v1
174267,sim,chromosome_GCF_000013425.1_ASM1342v1
174326,sim,chromosome_GCF_000013425.1_ASM1342v1
174610,sim,chromosome_GCF_000013425.1_ASM1342v1
174320,sim,chromosome_GCF_000013425.1_ASM1342v1
174145,sim,chromosome_GCF_000013425.1_ASM1342v1
175021,sim,chromosome_GCF_000013425.1_ASM1342v1
174001,sim,chromosome_GCF_000013425.1_ASM1342v1
