range_start,range_end
12205,12537
19205,19749
23719,24010
32759,33158
39728,39955
46064,46684
57973,58365
65479,65700
74667,75601
82759,82988
108919,109237
111024,111299
136846,137068
144160,144466
144489,144809
147177,147546
154073,154402
160225,160512
160912,161147
188246,188498
206561,206781
258507,258722
262868,263204
269457,269707
273948,274198
283227,283473
284272,284496
291920,292281
304704,304937
308676,308960
327596,327994
331960,332408
334861,335216
338360,338595
343843,344087
355784,356004
363858,364096
365891,366183
380436,380659
380959,381263
382979,383355
384013,384665
385695,386052
402086,402414
406775,407061
436252,436499
440278,440535
447699,447922
453229,453459
458482,458804
476502,476730
484640,484914
487916,488239
497202,497434
507294,507671
509463,509716
512875,513177
523883,524236
531395,531766
535532,535763
540664,540893
556564,556778
560127,560444
570430,570681
588556,588785
602232,602555
610411,610641
612058,612322
629474,629844
637482,637731
640622,640866
660254,660559
660664,660950
666610,666958
676549,676810
684084,684353
687565,687911
693211,693456
706773,707099
718961,719313
734176,734390
741616,741845
742864,743081
745166,745569
765354,765674
773687,774017
783091,783325
791596,791827
797863,798245
811799,812203
812962,813196
821381,821653
843000,843316
861686,861967
863872,864275
882257,882488
897134,897469
902184,902479
922748,923039
941068,941342
945348,945576
951495,951731
954504,954802
969305,969522
973996,974330
983546,983920
1007569,1007819
1026518,1026781
1049211,1049483
1065071,1065385
1065581,1065839
1076253,1076557
1105570,1105901
1110679,1110942
1119564,1119779
1131679,1132000
1143561,1143794
1144530,1144959
1151486,1151830
1162926,1163336
1177814,1178164
1180363,1180647
1227576,1227806
1246731,1247033
1263519,1263830
1290393,1290651
1292850,1293126
1308849,1309082
1335423,1335760
1337744,1338098
1342806,1343083
1346309,1346525
1356804,1357228
1364668,1365144
1367065,1367466
1376138,1376703
1385973,1386202
1387601,1387844
1396677,1396926
1398165,1398544
1418699,1418918
1421569,1421799
1441636,1441868
1476908,1477347
1482148,1482420
1487693,1488036
1510042,1510272
1511689,1511953
1578583,1579069
1590474,1590769
1594176,1594526
1597874,1598196
1612101,1612429
1641490,1641724
1652471,1652706
1654734,1654965
1665402,1665744
1666271,1666507
1683516,1683863
1699659,1699882
1703693,1704026
1709512,1709855
1721921,1722153
1739348,1739676
1749634,1750033
1764615,1764986
1772754,1772983
1787774,1788038
1790719,1791096
1803132,1803603
1821782,1822113
1832815,1833199
1838395,1838623
1842660,1842994
1852294,1852546
1924155,1924387
1935779,1936083
1948454,1948767
1951559,1951856
2004691,2005081
2059157,2059485
2117522,2117752
2123398,2123761
2128788,2129029
2134252,2134467
2138585,2138899
2140670,2140919
2147675,2147994
2148905,2149244
2149796,2150207
2151181,2151511
2151640,2151997
2152055,2152284
2156829,2157059
2158476,2158740
2174036,2174265
2179166,2179397
2183163,2183534
2190694,2191047
2195364,2195600
2200594,2200866
2205431,2205656
2209743,2210107
2210645,2210932
2212422,2212670
2232060,2232279
2235962,2236356
2244583,2244905
2263799,2264131
2265777,2266000
2279243,2279474
2282303,2282617
2286162,2286604
2294762,2294980
2299561,2299829
2304349,2304615
2307674,2308044
2380484,2380756
2383996,2384221
2421205,2421490
2432414,2432668
2436778,2437086
2449980,2450212
2458604,2458939
2459729,2460444
2461728,2462056
