IR count,origin,ID-replicon
137819,obs,chromosome_GCF_000009045.1_ASM904v1
137548,sim,chromosome_GCF_000009045.1_ASM904v1
138570,sim,chromosome_GCF_000009045.1_ASM904v1
138072,sim,chromosome_GCF_000009045.1_ASM904v1
138993,sim,chromosome_GCF_000009045.1_ASM904v1
137374,sim,chromosome_GCF_000009045.1_ASM904v1
139062,sim,chromosome_GCF_000009045.1_ASM904v1
137957,sim,chromosome_GCF_000009045.1_ASM904v1
138268,sim,chromosome_GCF_000009045.1_ASM904v1
137955,sim,chromosome_GCF_000009045.1_ASM904v1
138340,sim,chromosome_GCF_000009045.1_ASM904v1
