IR count,origin,ID-replicon
753352,obs,chromosome_GCF_000013425.1_ASM1342v1
758471,sim,chromosome_GCF_000013425.1_ASM1342v1
756253,sim,chromosome_GCF_000013425.1_ASM1342v1
756917,sim,chromosome_GCF_000013425.1_ASM1342v1
756783,sim,chromosome_GCF_000013425.1_ASM1342v1
756271,sim,chromosome_GCF_000013425.1_ASM1342v1
756480,sim,chromosome_GCF_000013425.1_ASM1342v1
757201,sim,chromosome_GCF_000013425.1_ASM1342v1
757171,sim,chromosome_GCF_000013425.1_ASM1342v1
755629,sim,chromosome_GCF_000013425.1_ASM1342v1
756243,sim,chromosome_GCF_000013425.1_ASM1342v1
