IR count,origin,ID-replicon
1937300,obs,chromosome_GCF_000006765.1_ASM676v1
1972830,sim,chromosome_GCF_000006765.1_ASM676v1
1971123,sim,chromosome_GCF_000006765.1_ASM676v1
1970843,sim,chromosome_GCF_000006765.1_ASM676v1
1970416,sim,chromosome_GCF_000006765.1_ASM676v1
1971299,sim,chromosome_GCF_000006765.1_ASM676v1
1971553,sim,chromosome_GCF_000006765.1_ASM676v1
1971444,sim,chromosome_GCF_000006765.1_ASM676v1
1973807,sim,chromosome_GCF_000006765.1_ASM676v1
1971405,sim,chromosome_GCF_000006765.1_ASM676v1
1971481,sim,chromosome_GCF_000006765.1_ASM676v1
