size,gap,z,id
11,11,4.0,chromosome_GCF_000009045.1_ASM904v1
11,12,5.0,chromosome_GCF_000013425.1_ASM1342v1
10,10,3.0,chromosome_GCF_009769205.1_ASM976920v1
6,10,3.0,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1
